"cn","Aou","BCR","mean.PopEst","med.PopEst","Coeff.var","LCI80.PopEst","UCI80.PopEst","LCI95.PopEst","UCI95.PopEst","rounded.mean.PopEst","rounded.med.PopEst","rounded.LCI80.PopEst","rounded.UCI80.PopEst","rounded.LCI95.PopEst","rounded.UCI95.PopEst"
"Lark Sparrow",5520,"34",124359.47,112813,0.489444769072716,59070.1,202697.9,41289.5,280939.45,124000,113000,59100,203000,41300,281000
"Lark Sparrow",5520,"35",314591.18,279041,0.404140626575903,186988.3,474297.7,140481.3,613198.275,315000,279000,187000,474000,140000,613000
"Lark Sparrow",5520,"21",731386.06,670140,0.29079805896372,493559.8,1043752.6,440314.1,1175782.3,731000,670000,494000,1040000,440000,1180000
"Lark Sparrow",5520,"20",511248.67,496815,0.303673562884729,320325.4,716659.4,279258.55,850448.075,511000,497000,320000,717000,279000,850000
"Lark Sparrow",5520,"36",205239.89,183522.5,0.363836815608469,130506,291581.2,112584.35,397704.45,205000,184000,131000,292000,113000,398000
"Lark Sparrow",5520,"37",12696.12,11614,0.735831692747858,1504.7,25348.9,313.5,33665.875,12700,11600,1500,25300,314,33700
"Lark Sparrow",5520,"12",1482.85,1393,0.924725803756153,0,3120.6,0,4269.875,1480,1390,0,3120,0,4270
"Brewer's Sparrow",5620,"9",8529385.81,8212829.5,0.228586298390074,6415842.2,11022781.5,5780578.875,12610633.4,8530000,8210000,6420000,1.1e+07,5780000,12600000
"Brewer's Sparrow",5620,"15",103445.85,89551,0.603103394621586,45868.9,159115.2,15105.2,252667.5,103000,89600,45900,159000,15100,253000
"Brewer's Sparrow",5620,"32",6575.96,4983,1.26980563581714,0,16112.6,0,29846.9249999999,6580,4980,0,16100,0,29800
"Brewer's Sparrow",5620,"33",47279.52,46287,0.553348134522043,16138.4,82397.6,10869.55,108377.85,47300,46300,16100,82400,10900,108000
"Brewer's Sparrow",5620,"5",6041.88,5030,1.22117547618196,0,15180.6,0,25260.125,6040,5030,0,15200,0,25300
"Brewer's Sparrow",5620,"10",4569738.98,4401394.5,0.220206272387643,3310264.1,6001741.9,3027075.225,6482595.15,4570000,4400000,3310000,6e+06,3030000,6480000
"Brewer's Sparrow",5620,"16",1571528.51,1532686,0.224195275147239,1171397.3,2083556.5,1031932.35,2214402.225,1570000,1530000,1170000,2080000,1030000,2210000
"Brewer's Sparrow",5620,"18",37275.22,34382.5,0.447073912684423,18603.1,54709.9,13948.075,77712.5999999999,37300,34400,18600,54700,13900,77700
"Brewer's Sparrow",5620,"11",211685.57,191395.5,0.463671369977559,115634.8,347167,91539.825,456417.175,212000,191000,116000,347000,91500,456000
"Brewer's Sparrow",5620,"17",1098466.88,1023794.5,0.294018791413339,731732.3,1484112.3,559280.3,1779181.25,1100000,1020000,732000,1480000,559000,1780000
"Brewer's Sparrow",5620,"34",4346.09,3713,0.911147742210229,0,9432.6,0,13034.225,4350,3710,0,9430,0,13000
"Spotted Towhee",5880,"10",2708496.25,2705526.5,0.193407355762733,2103824.2,3461873.2,1853415.575,3735280.525,2710000,2710000,2100000,3460000,1850000,3740000
"Spotted Towhee",5880,"5",8926507.36,8978086,0.117330937451493,7605165.9,10229292.6,6956998.7,10898941.575,8930000,8980000,7610000,10200000,6960000,10900000
"Spotted Towhee",5880,"9",5117243.36,5013409,0.158407083666199,4162943,6223774.7,3815357.025,6765026.625,5120000,5010000,4160000,6220000,3820000,6770000
"Spotted Towhee",5880,"15",1473981.52,1445929,0.200271706804544,1099744.8,1861220.3,944370.275,2048131.625,1470000,1450000,1100000,1860000,944000,2050000
"Spotted Towhee",5880,"32",6267575.22,6114972.5,0.23272913731385,4514075.3,8226873.2,4021058.925,9485787.74999999,6270000,6110000,4510000,8230000,4020000,9490000
"Spotted Towhee",5880,"33",99184.3,94826.5,0.664053705591629,10225.8,169963.4,0,246919.275,99200,94800,10200,170000,0,247000
"Spotted Towhee",5880,"16",6336820,6268670.5,0.16116248076846,5051907.4,7706514.9,4387028.525,8574082.5,6340000,6270000,5050000,7710000,4390000,8570000
"Spotted Towhee",5880,"18",194400.98,191297.5,0.412819560132585,104327.9,295636.5,40910.925,358474.775,194000,191000,104000,296000,40900,358000
"Spotted Towhee",5880,"19",469983.2,456249,1.06101973814228,19019.6,1107631.8,6486.425,1612249.225,470000,456000,19000,1110000,6490,1610000
"Spotted Towhee",5880,"11",603055.9,563607,0.378865135320901,344171.4,894010.3,295145.025,1086555.275,603000,564000,344000,894000,295000,1090000
