"cn","Aou","GL.mean.PopEst","GL.med.PopEst","GL.80LCI.PopEst","GL.80UCI.PopEst","GL.95LCI.PopEst","GL.95UCI.PopEst","WH.mean.PopEst","WH.med.PopEst","WH.80LCI.PopEst","WH.80UCI.PopEst","WH.95LCI.PopEst","WH.95UCI.PopEst","USCAN.mean.PopEst","USCAN.med.PopEst","USCAN.80LCI.PopEst","USCAN.80UCI.PopEst","USCAN.95LCI.PopEst","USCAN.95UCI.PopEst","rounded.GL.mean.PopEst","rounded.GL.med.PopEst","rounded.GL.80LCI.PopEst","rounded.GL.80UCI.PopEst","rounded.GL.95LCI.PopEst","rounded.GL.95UCI.PopEst","rounded.WH.mean.PopEst","rounded.WH.med.PopEst","rounded.WH.80LCI.PopEst","rounded.WH.80UCI.PopEst","rounded.WH.95LCI.PopEst","rounded.WH.95UCI.PopEst","rounded.USCAN.mean.PopEst","rounded.USCAN.med.PopEst","rounded.USCAN.80LCI.PopEst","rounded.USCAN.80UCI.PopEst","rounded.USCAN.95LCI.PopEst","rounded.USCAN.95UCI.PopEst","PS.Score","PS.80LCI.Score","PS.80UCI.Score","PS.95LCI.Score","PS.95UCI.Score","Distance","Availability"
"American Goldfinch",5290,40468102.94,40450712.5,39167605.1,41838079.1,38555773.725,42333390.075,40468102.94,40450712.5,39167605.1,41838079.1,38555773.725,42333390.075,40468102.94,40450712.5,39167605.1,41838079.1,38555773.725,42333390.075,40500000,40500000,39200000,41800000,38600000,42300000,40500000,40500000,39200000,41800000,38600000,42300000,40500000,40500000,39200000,41800000,38600000,42300000,2,2,2,2,2,"existing","existing"
"Lesser Goldfinch",5300,9739206.25937032,9869544.60269865,8253974.13793103,10979218.8905547,7543630.85644678,11612260.7290105,9739206.25937032,9869544.60269865,8253974.13793103,10979218.8905547,7543630.85644678,11612260.7290105,5196840.46,5266389,4404320.6,5858511.2,4025281.425,6196302.325,9740000,9870000,8250000,1.1e+07,7540000,11600000,9740000,9870000,8250000,1.1e+07,7540000,11600000,5200000,5270000,4400000,5860000,4030000,6200000,2,2,2,2,2,"existing","existing"
"Lawrence's Goldfinch",5310,433762.119571755,396324.431613136,284051.96679899,641823.0482377,204923.042223024,695786.539155539,433762.119571755,396324.431613136,284051.96679899,641823.0482377,204923.042223024,695786.539155539,360586.45,329464.5,236132.4,533547.5,170352.525,578407.35,434000,396000,284000,642000,205000,696000,434000,396000,284000,642000,205000,696000,361000,329000,236000,534000,170000,578000,4,4,3,4,3,"existing","existing"
"Pine Siskin",5330,48296315.5934007,47625401.2772751,42386766.8972858,54939367.4294838,40300272.8579031,58114956.5992549,48296315.5934007,47625401.2772751,42386766.8972858,54939367.4294838,40300272.8579031,58114956.5992549,45374388.5,44744064.5,39822367.5,51615535.7,37862106.35,54599001.725,48300000,47600000,42400000,54900000,40300000,58100000,48300000,47600000,42400000,54900000,40300000,58100000,45400000,44700000,39800000,51600000,37900000,54600000,2,2,1,2,1,"existing","existing"
"Snow Bunting",5340,757301.38,641983,0,1603093.4,0,2398698.65,378650.69,320991.5,0,801546.7,0,1199349.325,378650.69,320991.5,0,801546.7,0,1199349.325,757000,642000,0,1600000,0,2400000,379000,321000,0,802000,0,1200000,379000,321000,0,802000,0,1200000,3,5,3,5,3,"existing","existing"
"Lapland Longspur",5360,339940510.92,326689207,196433776,488773151.2,157481038.5,613776010.55,169970255.46,163344603.5,98216888,244386575.6,78740519.25,306888005.275,169970255.46,163344603.5,98216888,244386575.6,78740519.25,306888005.275,3.4e+08,3.27e+08,1.96e+08,4.89e+08,1.57e+08,6.14e+08,1.7e+08,1.63e+08,98200000,2.44e+08,78700000,3.07e+08,1.7e+08,1.63e+08,98200000,2.44e+08,78700000,3.07e+08,1,1,1,1,1,"existing","existing"
"Smith's Longspur",5370,414308.31,380322,51935.7,752856.2,2907.8,1007485.825,414308.31,380322,51935.7,752856.2,2907.8,1007485.825,414308.31,380322,51935.7,752856.2,2907.8,1007485.825,414000,380000,51900,753000,2910,1010000,414000,380000,51900,753000,2910,1010000,414000,380000,51900,753000,2910,1010000,4,4,3,5,3,"existing","existing"
"Chestnut-collared Longspur",5380,2595007.5,2543177.5,2017453.3,3288432.6,1605396.025,3818537.6,2595007.5,2543177.5,2017453.3,3288432.6,1605396.025,3818537.6,2595007.5,2543177.5,2017453.3,3288432.6,1605396.025,3818537.6,2600000,2540000,2020000,3290000,1610000,3820000,2600000,2540000,2020000,3290000,1610000,3820000,2600000,2540000,2020000,3290000,1610000,3820000,3,3,3,3,3,"existing","existing"
"Thick-billed Longspur",5390,795221.72,756105,468930.1,1207438.7,334596.075,1328797.75,795221.72,756105,468930.1,1207438.7,334596.075,1328797.75,795221.72,756105,468930.1,1207438.7,334596.075,1328797.75,795000,756000,469000,1210000,335000,1330000,795000,756000,469000,1210000,335000,1330000,795000,756000,469000,1210000,335000,1330000,3,4,3,4,3,"existing","existing"
"Vesper Sparrow",5400,33730409.52,33261886.5,30338917.2,37898706.3,29415187.075,39193027.075,33730409.52,33261886.5,30338917.2,37898706.3,29415187.075,39193027.075,33730409.52,33261886.5,30338917.2,37898706.3,29415187.075,39193027.075,33700000,33300000,30300000,37900000,29400000,39200000,33700000,33300000,30300000,37900000,29400000,39200000,33700000,33300000,30300000,37900000,29400000,39200000,2,2,2,2,2,"existing","existing"
"Savannah Sparrow",5420,209058593.470188,208132024.448112,174656825.562203,243265895.296059,161492436.997112,263948095.574582,209058593.470188,208132024.448112,174656825.562203,243265895.296059,161492436.997112,263948095.574582,202661400.51,201763184.5,169312326.7,235821958.9,156550768.425,255871283.85,2.09e+08,2.08e+08,1.75e+08,2.43e+08,1.61e+08,2.64e+08,2.09e+08,2.08e+08,1.75e+08,2.43e+08,1.61e+08,2.64e+08,2.03e+08,2.02e+08,1.69e+08,2.36e+08,1.57e+08,2.56e+08,1,1,1,1,1,"existing","existing"
"Baird's Sparrow",5450,2924187.86,2865328,2280200.6,3559907.6,2067677.1,3856545.7,2924187.86,2865328,2280200.6,3559907.6,2067677.1,3856545.7,2924187.86,2865328,2280200.6,3559907.6,2067677.1,3856545.7,2920000,2870000,2280000,3560000,2070000,3860000,2920000,2870000,2280000,3560000,2070000,3860000,2920000,2870000,2280000,3560000,2070000,3860000,3,3,3,3,3,"existing","existing"
"Grasshopper Sparrow",5460,30628983.2004143,30640693.4230968,27481306.0590368,33644495.8052822,26127084.0756085,35595832.9621958,30628983.2004143,30640693.4230968,27481306.0590368,33644495.8052822,26127084.0756085,35595832.9621958,29572283.28,29583589.5,26533201,32483760.7,25225699.675,34367776.725,30600000,30600000,27500000,33600000,26100000,35600000,30600000,30600000,27500000,33600000,26100000,35600000,29600000,29600000,26500000,32500000,25200000,34400000,2,2,2,2,2,"existing","existing"
"Henslow's Sparrow",5470,261637.05,257654.5,205720.4,325811.1,183641.725,375370,261637.05,257654.5,205720.4,325811.1,183641.725,375370,261637.05,257654.5,205720.4,325811.1,183641.725,375370,262000,258000,206000,326000,184000,375000,262000,258000,206000,326000,184000,375000,262000,258000,206000,326000,184000,375000,4,4,4,4,4,"existing","existing"
"LeConte's Sparrow",5480,4613971.1,4587118,3740365.9,5467433.2,3429910.475,5886401.5,4613971.1,4587118,3740365.9,5467433.2,3429910.475,5886401.5,4613971.1,4587118,3740365.9,5467433.2,3429910.475,5886401.5,4610000,4590000,3740000,5470000,3430000,5890000,4610000,4590000,3740000,5470000,3430000,5890000,4610000,4590000,3740000,5470000,3430000,5890000,3,3,2,3,2,"existing","existing"
"Nelson's Sparrow",5491,503128.91,489471.5,403787.1,622392.2,370702.175,703471.45,503128.91,489471.5,403787.1,622392.2,370702.175,703471.45,503128.91,489471.5,403787.1,622392.2,370702.175,703471.45,503000,489000,404000,622000,371000,703000,503000,489000,404000,622000,371000,703000,503000,489000,404000,622000,371000,703000,4,4,3,4,3,"existing","existing"
"Seaside Sparrow",5500,217940.35,193063,31680.6,490328.2,19650.6,663675.824999999,217940.35,193063,31680.6,490328.2,19650.6,663675.824999999,217940.35,193063,31680.6,490328.2,19650.6,663675.824999999,218000,193000,31700,490000,19700,664000,218000,193000,31700,490000,19700,664000,218000,193000,31700,490000,19700,664000,4,5,4,5,3,"existing","existing"
"Lark Sparrow",5520,10917902.1111354,10849448.1513892,9870266.57186611,12046098.2279589,9577719.67293809,12608761.2666812,10917902.1111354,10849448.1513892,9870266.57186611,12046098.2279589,9577719.67293809,12608761.2666812,9981146.11,9918565.5,9023397.7,11012543,8755951.325,11526929.55,10900000,10800000,9870000,1.2e+07,9580000,12600000,10900000,10800000,9870000,1.2e+07,9580000,12600000,9980000,9920000,9020000,1.1e+07,8760000,11500000,2,2,2,2,2,"existing","existing"
"White-crowned Sparrow",5540,96042830.31,96074840,75049425.3,116079188.3,66123434.25,126933805.725,96042830.31,96074840,75049425.3,116079188.3,66123434.25,126933805.725,96042830.31,96074840,75049425.3,116079188.3,66123434.25,126933805.725,9.6e+07,96100000,7.5e+07,1.16e+08,66100000,1.27e+08,9.6e+07,96100000,7.5e+07,1.16e+08,66100000,1.27e+08,9.6e+07,96100000,7.5e+07,1.16e+08,66100000,1.27e+08,1,1,1,1,1,"existing","existing"
"Golden-crowned Sparrow",5570,8031250.17,7702428.5,5339496.5,11175073.3,4986526.425,12993115.725,8031250.17,7702428.5,5339496.5,11175073.3,4986526.425,12993115.725,8031250.17,7702428.5,5339496.5,11175073.3,4986526.425,12993115.725,8030000,7700000,5340000,11200000,4990000,1.3e+07,8030000,7700000,5340000,11200000,4990000,1.3e+07,8030000,7700000,5340000,11200000,4990000,1.3e+07,2,2,2,3,2,"existing","existing"
"White-throated Sparrow",5580,152882146.6,152334972,136934273.8,169788261.9,131435623.05,184301192.35,152882146.6,152334972,136934273.8,169788261.9,131435623.05,184301192.35,152882146.6,152334972,136934273.8,169788261.9,131435623.05,184301192.35,1.53e+08,1.52e+08,1.37e+08,1.7e+08,1.31e+08,1.84e+08,1.53e+08,1.52e+08,1.37e+08,1.7e+08,1.31e+08,1.84e+08,1.53e+08,1.52e+08,1.37e+08,1.7e+08,1.31e+08,1.84e+08,1,1,1,1,1,"existing","existing"
"American Tree Sparrow",5590,18248622.33,17139433,12560776,24389810.6,10602839.675,35906234.525,18248622.33,17139433,12560776,24389810.6,10602839.675,35906234.525,18248622.33,17139433,12560776,24389810.6,10602839.675,35906234.525,18200000,17100000,12600000,24400000,10600000,35900000,18200000,17100000,12600000,24400000,10600000,35900000,18200000,17100000,12600000,24400000,10600000,35900000,2,2,2,2,2,"existing","existing"
"Chipping Sparrow",5600,233041135.03055,232190267.981563,222583401.114803,245139732.018437,217701737.94083,251121330.019295,233041135.03055,232190267.981563,222583401.114803,245139732.018437,217701737.94083,251121330.019295,217404074.87,216610301,207648054.9,228690856,203093951.325,234271088.775,2.33e+08,2.32e+08,2.23e+08,2.45e+08,2.18e+08,2.51e+08,2.33e+08,2.32e+08,2.23e+08,2.45e+08,2.18e+08,2.51e+08,2.17e+08,2.17e+08,2.08e+08,2.29e+08,2.03e+08,2.34e+08,1,1,1,1,1,"existing","existing"
"Clay-colored Sparrow",5610,64609153.28,64663794,58970742,69953127.5,57590291.75,72945116.725,64609153.28,64663794,58970742,69953127.5,57590291.75,72945116.725,64609153.28,64663794,58970742,69953127.5,57590291.75,72945116.725,64600000,64700000,5.9e+07,7e+07,57600000,72900000,64600000,64700000,5.9e+07,7e+07,57600000,72900000,64600000,64700000,5.9e+07,7e+07,57600000,72900000,1,1,1,1,1,"existing","existing"
"Brewer's Sparrow",5620,16018847.8,15931164.5,13829235.6,18159765.1,13199503.375,18936625.05,16018847.8,15931164.5,13829235.6,18159765.1,13199503.375,18936625.05,16018847.8,15931164.5,13829235.6,18159765.1,13199503.375,18936625.05,1.6e+07,15900000,13800000,18200000,13200000,18900000,1.6e+07,15900000,13800000,18200000,13200000,18900000,1.6e+07,15900000,13800000,18200000,13200000,18900000,2,2,2,2,2,"existing","existing"
"Field Sparrow",5630,8625760.45,8617531.5,8037041,9296766.7,7826562.85,9597048.175,8625760.45,8617531.5,8037041,9296766.7,7826562.85,9597048.175,8625760.45,8617531.5,8037041,9296766.7,7826562.85,9597048.175,8630000,8620000,8040000,9300000,7830000,9600000,8630000,8620000,8040000,9300000,7830000,9600000,8630000,8620000,8040000,9300000,7830000,9600000,2,2,2,2,2,"existing","existing"
"Black-chinned Sparrow",5650,683331.702668361,631468.657348581,482916.349004659,996617.323168149,311519.695044473,1178881.51207116,683331.702668361,631468.657348581,482916.349004659,996617.323168149,311519.695044473,1178881.51207116,322669.23,298179.5,228033.1,470602.7,147099.6,556667.85,683000,631000,483000,997000,312000,1180000,683000,631000,483000,997000,312000,1180000,323000,298000,228000,471000,147000,557000,3,4,3,4,3,"existing","existing"
"Dark-eyed Junco",5670,172790972.792793,174060226.726727,154928196.296296,190883013.613614,141721952.202202,198056365.940941,172790972.792793,174060226.726727,154928196.296296,190883013.613614,141721952.202202,198056365.940941,172618181.82,173886166.5,154773268.1,190692130.6,141580230.25,197858309.575,1.73e+08,1.74e+08,1.55e+08,1.91e+08,1.42e+08,1.98e+08,1.73e+08,1.74e+08,1.55e+08,1.91e+08,1.42e+08,1.98e+08,1.73e+08,1.74e+08,1.55e+08,1.91e+08,1.42e+08,1.98e+08,1,1,1,1,1,"existing","existing"
"Yellow-eyed Junco",5700,4315691.76029962,4282677.90262172,53217.2284644195,7965228.46441948,0,10192241.5730337,4315691.76029962,4282677.90262172,53217.2284644195,7965228.46441948,0,10192241.5730337,230457.94,228695,2841.8,425343.2,0,544265.7,4320000,4280000,53200,7970000,0,10200000,4320000,4280000,53200,7970000,0,10200000,230000,229000,2840,425000,0,544000,3,4,2,5,2,"existing","existing"
"Black-throated Sparrow",5730,54991368.5614035,55122893.8596491,48438926.4912281,61035665.2631579,46239919.1666667,63776698.245614,54991368.5614035,55122893.8596491,48438926.4912281,61035665.2631579,46239919.1666667,63776698.245614,31345080.08,31420049.5,27610188.1,34790329.2,26356753.925,36352718,5.5e+07,55100000,48400000,6.1e+07,46200000,63800000,5.5e+07,55100000,48400000,6.1e+07,46200000,63800000,31300000,31400000,27600000,34800000,26400000,36400000,1,2,1,2,1,"existing","existing"
"Sagebrush Sparrow",5738,5509333.17,5255372.5,4134682.7,7483138.9,3500550.8,8308421.15,5509333.17,5255372.5,4134682.7,7483138.9,3500550.8,8308421.15,5509333.17,5255372.5,4134682.7,7483138.9,3500550.8,8308421.15,5510000,5260000,4130000,7480000,3500000,8310000,5510000,5260000,4130000,7480000,3500000,8310000,5510000,5260000,4130000,7480000,3500000,8310000,2,3,2,3,2,"existing","existing"
