"cn","Aou","GL.mean.PopEst","GL.med.PopEst","GL.80LCI.PopEst","GL.80UCI.PopEst","GL.95LCI.PopEst","GL.95UCI.PopEst","WH.mean.PopEst","WH.med.PopEst","WH.80LCI.PopEst","WH.80UCI.PopEst","WH.95LCI.PopEst","WH.95UCI.PopEst","USCAN.mean.PopEst","USCAN.med.PopEst","USCAN.80LCI.PopEst","USCAN.80UCI.PopEst","USCAN.95LCI.PopEst","USCAN.95UCI.PopEst","rounded.GL.mean.PopEst","rounded.GL.med.PopEst","rounded.GL.80LCI.PopEst","rounded.GL.80UCI.PopEst","rounded.GL.95LCI.PopEst","rounded.GL.95UCI.PopEst","rounded.WH.mean.PopEst","rounded.WH.med.PopEst","rounded.WH.80LCI.PopEst","rounded.WH.80UCI.PopEst","rounded.WH.95LCI.PopEst","rounded.WH.95UCI.PopEst","rounded.USCAN.mean.PopEst","rounded.USCAN.med.PopEst","rounded.USCAN.80LCI.PopEst","rounded.USCAN.80UCI.PopEst","rounded.USCAN.95LCI.PopEst","rounded.USCAN.95UCI.PopEst","PS.Score","PS.80LCI.Score","PS.80UCI.Score","PS.95LCI.Score","PS.95UCI.Score","Distance","Availability"
"Prothonotary Warbler",6370,2035599.01,2026348,1644716.2,2399716.9,1524175.95,2607343,2035599.01,2026348,1644716.2,2399716.9,1524175.95,2607343,2035599.01,2026348,1644716.2,2399716.9,1524175.95,2607343,2040000,2030000,1640000,2400000,1520000,2610000,2040000,2030000,1640000,2400000,1520000,2610000,2040000,2030000,1640000,2400000,1520000,2610000,3,3,3,3,3,"existing","existing"
"Swainson's Warbler",6380,224681.19,222019,186772.3,262427.1,174657.6,294354.325,224681.19,222019,186772.3,262427.1,174657.6,294354.325,224681.19,222019,186772.3,262427.1,174657.6,294354.325,225000,222000,187000,262000,175000,294000,225000,222000,187000,262000,175000,294000,225000,222000,187000,262000,175000,294000,4,4,4,4,4,"existing","existing"
"Worm-eating Warbler",6390,728045.26,733743,640680.9,812975.2,588516.475,854990.525,728045.26,733743,640680.9,812975.2,588516.475,854990.525,728045.26,733743,640680.9,812975.2,588516.475,854990.525,728000,734000,641000,813000,589000,855000,728000,734000,641000,813000,589000,855000,728000,734000,641000,813000,589000,855000,3,3,3,3,3,"existing","existing"
"Blue-winged Warbler",6410,541569.95,536979,475346.8,612386.4,452824.625,669394.05,541569.95,536979,475346.8,612386.4,452824.625,669394.05,541569.95,536979,475346.8,612386.4,452824.625,669394.05,542000,537000,475000,612000,453000,669000,542000,537000,475000,612000,453000,669000,542000,537000,475000,612000,453000,669000,3,4,3,4,3,"existing","existing"
"Golden-winged Warbler",6420,418463.52,422858.5,320542.5,511854.8,291203.4,564764.6,418463.52,422858.5,320542.5,511854.8,291203.4,564764.6,418463.52,422858.5,320542.5,511854.8,291203.4,564764.6,418000,423000,321000,512000,291000,565000,418000,423000,321000,512000,291000,565000,418000,423000,321000,512000,291000,565000,4,4,3,4,3,"existing","existing"
"Lucy's Warbler",6430,3017900.35092117,2968722.89760622,1960373.10439905,4085779.79696704,1625070.3722271,4740632.31607971,3017900.35092117,2968722.89760622,1960373.10439905,4085779.79696704,1625070.3722271,4740632.31607971,2407982.69,2368744,1564181.7,3260043.7,1296643.65,3782550.525,3020000,2970000,1960000,4090000,1630000,4740000,3020000,2970000,1960000,4090000,1630000,4740000,2410000,2370000,1560000,3260000,1300000,3780000,3,3,3,3,3,"existing","existing"
"Virginia's Warbler",6440,826569.09,804740.5,564928.4,1084098.2,465326.775,1310043.175,826569.09,804740.5,564928.4,1084098.2,465326.775,1310043.175,826569.09,804740.5,564928.4,1084098.2,465326.775,1310043.175,827000,805000,565000,1080000,465000,1310000,827000,805000,565000,1080000,465000,1310000,827000,805000,565000,1080000,465000,1310000,3,3,3,4,3,"existing","existing"
"Nashville Warbler",6450,37034520.94,37333518.5,33119452,40638061.3,31754014.875,43019599.275,37034520.94,37333518.5,33119452,40638061.3,31754014.875,43019599.275,37034520.94,37333518.5,33119452,40638061.3,31754014.875,43019599.275,3.7e+07,37300000,33100000,40600000,31800000,4.3e+07,3.7e+07,37300000,33100000,40600000,31800000,4.3e+07,3.7e+07,37300000,33100000,40600000,31800000,4.3e+07,2,2,2,2,2,"existing","existing"
"Orange-crowned Warbler",6460,81030822.3780427,80510829.9108484,72964605.9300811,89097673.344686,70011085.1197035,93894609.0353601,81030822.3780427,80510829.9108484,72964605.9300811,89097673.344686,70011085.1197035,93894609.0353601,80893069.98,80373961.5,72840566.1,88946207.3,69892066.275,93734988.2,8.1e+07,80500000,7.3e+07,89100000,7e+07,93900000,8.1e+07,80500000,7.3e+07,89100000,7e+07,93900000,80900000,80400000,72800000,88900000,69900000,93700000,1,1,1,1,1,"existing","existing"
"Tennessee Warbler",6470,109616466.13,109300899,92439221.7,129491685.8,83793152.025,141144014,109616466.13,109300899,92439221.7,129491685.8,83793152.025,141144014,109616466.13,109300899,92439221.7,129491685.8,83793152.025,141144014,1.1e+08,1.09e+08,92400000,1.29e+08,83800000,1.41e+08,1.1e+08,1.09e+08,92400000,1.29e+08,83800000,1.41e+08,1.1e+08,1.09e+08,92400000,1.29e+08,83800000,1.41e+08,1,1,1,1,1,"existing","existing"
"Northern Parula",6480,22893161.87,22890041.5,21593687.3,24249650.5,20975882.575,24656163.825,22893161.87,22890041.5,21593687.3,24249650.5,20975882.575,24656163.825,22893161.87,22890041.5,21593687.3,24249650.5,20975882.575,24656163.825,22900000,22900000,21600000,24200000,2.1e+07,24700000,22900000,22900000,21600000,24200000,2.1e+07,24700000,22900000,22900000,21600000,24200000,2.1e+07,24700000,2,2,2,2,2,"existing","existing"
"Cape May Warbler",6500,9771392.82,9692074,7513184.3,12077329.7,6976049.975,13227650.675,9771392.82,9692074,7513184.3,12077329.7,6976049.975,13227650.675,9771392.82,9692074,7513184.3,12077329.7,6976049.975,13227650.675,9770000,9690000,7510000,12100000,6980000,13200000,9770000,9690000,7510000,12100000,6980000,13200000,9770000,9690000,7510000,12100000,6980000,13200000,2,2,2,2,2,"existing","existing"
"Olive Warbler",6510,1063135.877262,977081.038552321,533911.880409127,1683094.41384737,418771.243115657,2256000.98347758,1063135.877262,977081.038552321,533911.880409127,1683094.41384737,418771.243115657,2256000.98347758,135124.57,124187,67860.2,213921.3,53225.825,286737.725,1060000,977000,534000,1680000,419000,2260000,1060000,977000,534000,1680000,419000,2260000,135000,124000,67900,214000,53200,287000,3,3,3,4,3,"existing","existing"
"Yellow Warbler",6520,89336013.0944764,89297006.8244828,81702112.7105993,97789118.4687567,78594250.3198976,101551645.073576,89336013.0944764,89297006.8244828,81702112.7105993,97789118.4687567,78594250.3198976,101551645.073576,83779313.08,83742733,76620241.3,91706635.3,73705687.95,95235132.75,89300000,89300000,81700000,97800000,78600000,1.02e+08,89300000,89300000,81700000,97800000,78600000,1.02e+08,83800000,83700000,76600000,91700000,73700000,95200000,1,1,1,1,1,"existing","existing"
"Black-throated Blue Warbler",6540,2439374.9,2447321.5,2197586.2,2676675.3,2012276,2781213.925,2439374.9,2447321.5,2197586.2,2676675.3,2012276,2781213.925,2439374.9,2447321.5,2197586.2,2676675.3,2012276,2781213.925,2440000,2450000,2200000,2680000,2010000,2780000,2440000,2450000,2200000,2680000,2010000,2780000,2440000,2450000,2200000,2680000,2010000,2780000,3,3,3,3,3,"existing","existing"
"Yellow-rumped Warbler",6550,125108323.92,125617387.5,116103940.5,134554773.6,110971453.125,143386539.275,125108323.92,125617387.5,116103940.5,134554773.6,110971453.125,143386539.275,125108323.92,125617387.5,116103940.5,134554773.6,110971453.125,143386539.275,1.25e+08,1.26e+08,1.16e+08,1.35e+08,1.11e+08,1.43e+08,1.25e+08,1.26e+08,1.16e+08,1.35e+08,1.11e+08,1.43e+08,1.25e+08,1.26e+08,1.16e+08,1.35e+08,1.11e+08,1.43e+08,1,1,1,1,1,"existing","existing"
"Magnolia Warbler",6570,32087656.68,32023991.5,29661670.8,34842547.8,28454879.025,36087571.7,32087656.68,32023991.5,29661670.8,34842547.8,28454879.025,36087571.7,32087656.68,32023991.5,29661670.8,34842547.8,28454879.025,36087571.7,32100000,3.2e+07,29700000,34800000,28500000,36100000,32100000,3.2e+07,29700000,34800000,28500000,36100000,32100000,3.2e+07,29700000,34800000,28500000,36100000,2,2,2,2,2,"existing","existing"
"Cerulean Warbler",6580,478384.72,470883,396498.8,590549.2,365062.85,628939.225,478384.72,470883,396498.8,590549.2,365062.85,628939.225,478384.72,470883,396498.8,590549.2,365062.85,628939.225,478000,471000,396000,591000,365000,629000,478000,471000,396000,591000,365000,629000,478000,471000,396000,591000,365000,629000,4,4,3,4,3,"existing","existing"
"Chestnut-sided Warbler",6590,18444074.92,18566711.5,17107682.2,19959626,16480530.025,20436570.7,18444074.92,18566711.5,17107682.2,19959626,16480530.025,20436570.7,18444074.92,18566711.5,17107682.2,19959626,16480530.025,20436570.7,18400000,18600000,17100000,2e+07,16500000,20400000,18400000,18600000,17100000,2e+07,16500000,20400000,18400000,18600000,17100000,2e+07,16500000,20400000,2,2,2,2,2,"existing","existing"
"Bay-breasted Warbler",6600,10281794.01,9965654,7781880.5,13535931.6,6745049.05,15189697.75,10281794.01,9965654,7781880.5,13535931.6,6745049.05,15189697.75,10281794.01,9965654,7781880.5,13535931.6,6745049.05,15189697.75,10300000,9970000,7780000,13500000,6750000,15200000,10300000,9970000,7780000,13500000,6750000,15200000,10300000,9970000,7780000,13500000,6750000,15200000,2,2,2,2,2,"existing","existing"
"Blackpoll Warbler",6610,36075960.65,36348837,27751238.7,43568201.8,24745414.35,48100075.225,36075960.65,36348837,27751238.7,43568201.8,24745414.35,48100075.225,36075960.65,36348837,27751238.7,43568201.8,24745414.35,48100075.225,36100000,36300000,27800000,43600000,24700000,48100000,36100000,36300000,27800000,43600000,24700000,48100000,36100000,36300000,27800000,43600000,24700000,48100000,2,2,2,2,2,"existing","existing"
"Blackburnian Warbler",6620,14259134.84,14154443.5,12467816.6,16293513.7,12072541.35,16662631.975,14259134.84,14154443.5,12467816.6,16293513.7,12072541.35,16662631.975,14259134.84,14154443.5,12467816.6,16293513.7,12072541.35,16662631.975,14300000,14200000,12500000,16300000,12100000,16700000,14300000,14200000,12500000,16300000,12100000,16700000,14300000,14200000,12500000,16300000,12100000,16700000,2,2,2,2,2,"existing","existing"
"Yellow-throated Warbler",6630,2410080.54303176,2407260.29455966,2180784.49053201,2620152.79030157,2133704.63881375,2734330.65324116,2410080.54303176,2407260.29455966,2180784.49053201,2620152.79030157,2133704.63881375,2734330.65324116,2405501.39,2402686.5,2176641,2615174.5,2129650.6,2729135.425,2410000,2410000,2180000,2620000,2130000,2730000,2410000,2410000,2180000,2620000,2130000,2730000,2410000,2400000,2180000,2620000,2130000,2730000,3,3,3,3,3,"existing","existing"
"Grace's Warbler",6640,2783165.68258744,2772709.6652877,1964406.35577285,3676129.18390372,1579021.57766077,4041707.45581045,2783165.68258744,2772709.6652877,1964406.35577285,3676129.18390372,1579021.57766077,4041707.45581045,1480087.51,1474527,1044671.3,1954965.5,839723.675,2149380.025,2780000,2770000,1960000,3680000,1580000,4040000,2780000,2770000,1960000,3680000,1580000,4040000,1480000,1470000,1040000,1950000,840000,2150000,3,3,3,3,3,"existing","existing"
"Black-throated Gray Warbler",6650,3293995.66706973,3288659.31076179,2861912.73679968,3740320.63683998,2566223.52378073,4045072.62696493,3293995.66706973,3288659.31076179,2861912.73679968,3740320.63683998,2566223.52378073,4045072.62696493,3268961.3,3263665.5,2840162.2,3711894.2,2546720.225,4014330.075,3290000,3290000,2860000,3740000,2570000,4050000,3290000,3290000,2860000,3740000,2570000,4050000,3270000,3260000,2840000,3710000,2550000,4010000,3,3,3,3,3,"existing","existing"
"Golden-cheeked Warbler",6660,48016.27,48433,18355.1,77077.1,7279.325,94672.7749999999,48016.27,48433,18355.1,77077.1,7279.325,94672.7749999999,48016.27,48433,18355.1,77077.1,7279.325,94672.7749999999,48000,48400,18400,77100,7280,94700,48000,48400,18400,77100,7280,94700,48000,48400,18400,77100,7280,94700,5,5,4,5,4,"existing","existing"
"Black-throated Green Warbler",6670,8741293,8736502,7902227.3,9743716.1,7511455.625,10050794.1,8741293,8736502,7902227.3,9743716.1,7511455.625,10050794.1,8741293,8736502,7902227.3,9743716.1,7511455.625,10050794.1,8740000,8740000,7900000,9740000,7510000,10100000,8740000,8740000,7900000,9740000,7510000,10100000,8740000,8740000,7900000,9740000,7510000,10100000,2,2,2,2,2,"existing","existing"
"Townsend's Warbler",6680,19332814.04,19191056,16844197.6,22171267.4,15422432.275,23351215.875,19332814.04,19191056,16844197.6,22171267.4,15422432.275,23351215.875,19332814.04,19191056,16844197.6,22171267.4,15422432.275,23351215.875,19300000,19200000,16800000,22200000,15400000,23400000,19300000,19200000,16800000,22200000,15400000,23400000,19300000,19200000,16800000,22200000,15400000,23400000,2,2,2,2,2,"existing","existing"
"Hermit Warbler",6690,2285818.11,2337289,1732063,2698283.6,1594505.175,3087665.875,2285818.11,2337289,1732063,2698283.6,1594505.175,3087665.875,2285818.11,2337289,1732063,2698283.6,1594505.175,3087665.875,2290000,2340000,1730000,2700000,1590000,3090000,2290000,2340000,1730000,2700000,1590000,3090000,2290000,2340000,1730000,2700000,1590000,3090000,3,3,3,3,3,"existing","existing"
"Kirtland's Warbler",6700,9800.5,9109,1192.8,17291.4,0,25350.175,9800.5,9109,1192.8,17291.4,0,25350.175,9800.5,9109,1192.8,17291.4,0,25350.175,9800,9110,1190,17300,0,25400,9800,9110,1190,17300,0,25400,9800,9110,1190,17300,0,25400,5,5,5,5,5,"existing","existing"
"Pine Warbler",6710,13793287.1706758,13673591.0652921,13029273.3520775,14622871.2902218,12661147.2716859,15271025.2264917,13793287.1706758,13673591.0652921,13029273.3520775,14622871.2902218,12661147.2716859,15271025.2264917,13245693.67,13130749.5,12512011.2,14042343.3,12158499.725,14664765.525,13800000,13700000,1.3e+07,14600000,12700000,15300000,13800000,13700000,1.3e+07,14600000,12700000,15300000,13200000,13100000,12500000,1.4e+07,12200000,14700000,2,2,2,2,2,"existing","existing"
"Palm Warbler",6720,6591489.41,6625664.5,4906517.5,8504038.8,4361265,8932609.975,6591489.41,6625664.5,4906517.5,8504038.8,4361265,8932609.975,6591489.41,6625664.5,4906517.5,8504038.8,4361265,8932609.975,6590000,6630000,4910000,8500000,4360000,8930000,6590000,6630000,4910000,8500000,4360000,8930000,6590000,6630000,4910000,8500000,4360000,8930000,2,3,2,3,2,"existing","existing"
"Prairie Warbler",6730,3291055.94,3273891.5,3013276.8,3580981,2946310.675,3713063.6,3291055.94,3273891.5,3013276.8,3580981,2946310.675,3713063.6,3291055.94,3273891.5,3013276.8,3580981,2946310.675,3713063.6,3290000,3270000,3010000,3580000,2950000,3710000,3290000,3270000,3010000,3580000,2950000,3710000,3290000,3270000,3010000,3580000,2950000,3710000,3,3,3,3,3,"existing","existing"
"Ovenbird",6740,27444443.95,27408003.5,25229022.7,29549018.1,24471105.1,31046435.125,27444443.95,27408003.5,25229022.7,29549018.1,24471105.1,31046435.125,27444443.95,27408003.5,25229022.7,29549018.1,24471105.1,31046435.125,27400000,27400000,25200000,29500000,24500000,3.1e+07,27400000,27400000,25200000,29500000,24500000,3.1e+07,27400000,27400000,25200000,29500000,24500000,3.1e+07,2,2,2,2,2,"existing","existing"
"Northern Waterthrush",6750,16564604.95,16517729.5,14532111,18692608.1,13090411.525,19982210.3,16564604.95,16517729.5,14532111,18692608.1,13090411.525,19982210.3,16564604.95,16517729.5,14532111,18692608.1,13090411.525,19982210.3,16600000,16500000,14500000,18700000,13100000,2e+07,16600000,16500000,14500000,18700000,13100000,2e+07,16600000,16500000,14500000,18700000,13100000,2e+07,2,2,2,2,2,"existing","existing"
"Louisiana Waterthrush",6760,506357.09,506311.5,451691,557888.5,420092.45,567205.45,506357.09,506311.5,451691,557888.5,420092.45,567205.45,506357.09,506311.5,451691,557888.5,420092.45,567205.45,506000,506000,452000,558000,420000,567000,506000,506000,452000,558000,420000,567000,506000,506000,452000,558000,420000,567000,3,4,3,4,3,"existing","existing"
"Kentucky Warbler",6770,2301141.2,2306777,2126837.6,2455046.2,2061352.725,2536151.725,2301141.2,2306777,2126837.6,2455046.2,2061352.725,2536151.725,2301141.2,2306777,2126837.6,2455046.2,2061352.725,2536151.725,2300000,2310000,2130000,2460000,2060000,2540000,2300000,2310000,2130000,2460000,2060000,2540000,2300000,2310000,2130000,2460000,2060000,2540000,3,3,3,3,3,"existing","existing"
"Connecticut Warbler",6780,946977.02,915891,708140.5,1263783.8,605958.1,1432347.275,946977.02,915891,708140.5,1263783.8,605958.1,1432347.275,946977.02,915891,708140.5,1263783.8,605958.1,1432347.275,947000,916000,708000,1260000,606000,1430000,947000,916000,708000,1260000,606000,1430000,947000,916000,708000,1260000,606000,1430000,3,3,3,3,3,"existing","existing"
"Mourning Warbler",6790,12191182.92,12133179,11005515.2,13622763.1,10240837.25,14264884.5,12191182.92,12133179,11005515.2,13622763.1,10240837.25,14264884.5,12191182.92,12133179,11005515.2,13622763.1,10240837.25,14264884.5,12200000,12100000,1.1e+07,13600000,10200000,14300000,12200000,12100000,1.1e+07,13600000,10200000,14300000,12200000,12100000,1.1e+07,13600000,10200000,14300000,2,2,2,2,2,"existing","existing"
"MacGillivray's Warbler",6800,9812758.78001824,9714741.10852163,8767122.30215827,11138474.2121796,8423549.7010842,11934644.9741615,9812758.78001824,9714741.10852163,8767122.30215827,11138474.2121796,8423549.7010842,11934644.9741615,9684211.64,9587478,8652273,10992560.2,8313201.2,11778301.125,9810000,9710000,8770000,11100000,8420000,11900000,9810000,9710000,8770000,11100000,8420000,11900000,9680000,9590000,8650000,1.1e+07,8310000,11800000,2,2,2,2,2,"existing","existing"
"Common Yellowthroat",6810,81452707.8553353,81662005.4829186,78017764.0236187,84605998.8401518,76242979.122733,85743665.4628849,81452707.8553353,81662005.4829186,78017764.0236187,84605998.8401518,76242979.122733,85743665.4628849,77249748.13,77448246,73992047.4,80240329.3,72308841.4,81319292.325,81500000,81700000,7.8e+07,84600000,76200000,85700000,81500000,81700000,7.8e+07,84600000,76200000,85700000,77200000,77400000,7.4e+07,80200000,72300000,81300000,1,1,1,1,1,"existing","existing"
"Yellow-breasted Chat",6830,15554578.4443708,15604718.8156005,14290703.0162413,16888983.4272456,13525827.3118992,17679256.2976467,15554578.4443708,15604718.8156005,14290703.0162413,16888983.4272456,13525827.3118992,17679256.2976467,14078448.95,14123831,12934515.3,15286218.9,12242226.3,16001494.875,15600000,15600000,14300000,16900000,13500000,17700000,15600000,15600000,14300000,16900000,13500000,17700000,14100000,14100000,12900000,15300000,12200000,1.6e+07,2,2,2,2,2,"existing","existing"
"Hooded Warbler",6840,5624538.53,5602180,5155179,6154131.7,5046860.225,6443481.525,5624538.53,5602180,5155179,6154131.7,5046860.225,6443481.525,5624538.53,5602180,5155179,6154131.7,5046860.225,6443481.525,5620000,5600000,5160000,6150000,5050000,6440000,5620000,5600000,5160000,6150000,5050000,6440000,5620000,5600000,5160000,6150000,5050000,6440000,2,2,2,2,2,"existing","existing"
"Wilson's Warbler",6850,82429241.67,81213379,70046824.4,96441163.8,64729530.85,103556827.575,82429241.67,81213379,70046824.4,96441163.8,64729530.85,103556827.575,82429241.67,81213379,70046824.4,96441163.8,64729530.85,103556827.575,82400000,81200000,7e+07,96400000,64700000,1.04e+08,82400000,81200000,7e+07,96400000,64700000,1.04e+08,82400000,81200000,7e+07,96400000,64700000,1.04e+08,1,1,1,1,1,"existing","existing"
"Canada Warbler",6860,2651097.81,2599170,2269876.8,3078921.1,2151883.8,3335141.35,2651097.81,2599170,2269876.8,3078921.1,2151883.8,3335141.35,2651097.81,2599170,2269876.8,3078921.1,2151883.8,3335141.35,2650000,2600000,2270000,3080000,2150000,3340000,2650000,2600000,2270000,3080000,2150000,3340000,2650000,2600000,2270000,3080000,2150000,3340000,3,3,3,3,3,"existing","existing"
"American Redstart",6870,42957529.87,42489056.5,39849603.2,46398210.3,37273658.3,48054102.875,42957529.87,42489056.5,39849603.2,46398210.3,37273658.3,48054102.875,42957529.87,42489056.5,39849603.2,46398210.3,37273658.3,48054102.875,4.3e+07,42500000,39800000,46400000,37300000,48100000,4.3e+07,42500000,39800000,46400000,37300000,48100000,4.3e+07,42500000,39800000,46400000,37300000,48100000,2,2,2,2,2,"existing","existing"
"Painted Redstart",6880,680400.637813212,643890.660592255,444555.353075171,984692.482915718,315824.715261959,1247175.96810934,680400.637813212,643890.660592255,444555.353075171,984692.482915718,315824.715261959,1247175.96810934,149347.94,141334,97579.9,216140,69323.525,273755.125,680000,644000,445000,985000,316000,1250000,680000,644000,445000,985000,316000,1250000,149000,141000,97600,216000,69300,274000,3,4,3,4,3,"existing","existing"
"House Sparrow",6882,527183400.729443,526282914.456233,494465597.480106,563408034.482759,467043821.452255,572802162.135279,158144533.180824,157874405.211856,148329843.047543,169011202.705391,140103855.729063,171829254.12771,79499256.83,79363463.5,74565412.1,84961931.6,70430208.275,86378566.05,5.27e+08,5.26e+08,4.94e+08,5.63e+08,4.67e+08,5.73e+08,1.58e+08,1.58e+08,1.48e+08,1.69e+08,1.4e+08,1.72e+08,79500000,79400000,74600000,8.5e+07,70400000,86400000,1,1,1,1,1,"existing","existing"
"Eurasian Tree Sparrow",6883,278909040,276200500,201082400,382432500,173783825,423559775,278909.04,276200.5,201082.4,382432.5,173783.825,423559.775,278909.04,276200.5,201082.4,382432.5,173783.825,423559.775,2.79e+08,2.76e+08,2.01e+08,3.82e+08,1.74e+08,4.24e+08,279000,276000,201000,382000,174000,424000,279000,276000,201000,382000,174000,424000,1,1,1,1,1,"existing","existing"
"Red-faced Warbler",6900,995602.879291251,984555.647840532,430321.982281285,1594558.97009967,298919.504429679,1954813.67663344,995602.879291251,984555.647840532,430321.982281285,1594558.97009967,298919.504429679,1954813.67663344,359611.76,355621.5,155432.3,575954.7,107969.725,706078.699999999,996000,985000,430000,1590000,299000,1950000,996000,985000,430000,1590000,299000,1950000,360000,356000,155000,576000,108000,706000,3,4,3,4,3,"existing","existing"
"American Pipit",6970,2917389.02845709,2598760.00444642,1635182.74788795,4689909.62650067,1200493.05246776,5803372.08203646,2625796.06803402,2339014.0070035,1471746.27313657,4221153.27663832,1080503.80190095,5223325.1875938,2624483.17,2337844.5,1471010.4,4219042.7,1079963.55,5220713.525,2920000,2600000,1640000,4690000,1200000,5800000,2630000,2340000,1470000,4220000,1080000,5220000,2620000,2340000,1470000,4220000,1080000,5220000,3,3,3,3,2,"existing","existing"
"Sprague's Pipit",7000,955493.54,953281,723436.5,1228116.7,623160.9,1367645.775,955493.54,953281,723436.5,1228116.7,623160.9,1367645.775,955493.54,953281,723436.5,1228116.7,623160.9,1367645.775,955000,953000,723000,1230000,623000,1370000,955000,953000,723000,1230000,623000,1370000,955000,953000,723000,1230000,623000,1370000,3,3,3,3,3,"existing","existing"
"American Dipper",7010,166022.890025575,160729.965899403,131693.947144075,200805.200341006,114555.73316283,242355.924978687,166022.890025575,160729.965899403,131693.947144075,200805.200341006,114555.73316283,242355.924978687,155795.88,150829,123581.6,188435.6,107499.1,227426.8,166000,161000,132000,201000,115000,242000,166000,161000,132000,201000,115000,242000,156000,151000,124000,188000,107000,227000,4,4,4,4,4,"existing","existing"
"Sage Thrasher",7020,6143196.54,6008410,4827025.7,7557343.7,4288712.575,8289435.7,6143196.54,6008410,4827025.7,7557343.7,4288712.575,8289435.7,6143196.54,6008410,4827025.7,7557343.7,4288712.575,8289435.7,6140000,6010000,4830000,7560000,4290000,8290000,6140000,6010000,4830000,7560000,4290000,8290000,6140000,6010000,4830000,7560000,4290000,8290000,2,3,2,3,2,"existing","existing"
"Northern Mockingbird",7030,37153150.433526,37121291.5462428,34662444.7254335,39759412.933526,33559375.3612717,41154193.6115125,37153150.433526,37121291.5462428,34662444.7254335,39759412.933526,33559375.3612717,41154193.6115125,30851976.12,30825520.5,28783694.1,33016216.5,27867705.3,34174442.375,37200000,37100000,34700000,39800000,33600000,41200000,37200000,37100000,34700000,39800000,33600000,41200000,30900000,30800000,28800000,3.3e+07,27900000,34200000,2,2,2,2,2,"existing","existing"
"Gray Catbird",7040,30186801.82,30176068.5,29036211.9,31562439.2,28113338.1,32104767.875,30186801.82,30176068.5,29036211.9,31562439.2,28113338.1,32104767.875,30186801.82,30176068.5,29036211.9,31562439.2,28113338.1,32104767.875,30200000,30200000,2.9e+07,31600000,28100000,32100000,30200000,30200000,2.9e+07,31600000,28100000,32100000,30200000,30200000,2.9e+07,31600000,28100000,32100000,2,2,2,2,2,"existing","existing"
"Brown Thrasher",7050,5592995.8,5574381.5,5238745.4,5952172.2,5138664.875,6155753.25,5592995.8,5574381.5,5238745.4,5952172.2,5138664.875,6155753.25,5592995.8,5574381.5,5238745.4,5952172.2,5138664.875,6155753.25,5590000,5570000,5240000,5950000,5140000,6160000,5590000,5570000,5240000,5950000,5140000,6160000,5590000,5570000,5240000,5950000,5140000,6160000,2,2,2,2,2,"existing","existing"
"Long-billed Thrasher",7060,281783.3849969,281264.724116553,168914.135151891,389527.588344699,138956.757594544,445362.135771853,281783.3849969,281264.724116553,168914.135151891,389527.588344699,138956.757594544,445362.135771853,90903.32,90736,54491.7,125661.6,44827.45,143673.825,282000,281000,169000,390000,139000,445000,282000,281000,169000,390000,139000,445000,90900,90700,54500,126000,44800,144000,4,4,4,4,4,"existing","existing"
"Curve-billed Thrasher",7070,2924862.9054616,2829355.42001663,2392874.41086776,3625862.21236485,2165794.91266981,4210303.50706959,2924862.9054616,2829355.42001663,2392874.41086776,3625862.21236485,2165794.91266981,4210303.50706959,1054998.05,1020548.5,863109.8,1307848.5,781202.225,1518656.475,2920000,2830000,2390000,3630000,2170000,4210000,2920000,2830000,2390000,3630000,2170000,4210000,1050000,1020000,863000,1310000,781000,1520000,3,3,3,3,3,"existing","existing"
"Bendire's Thrasher",7080,67066.1462814997,61127.2280270436,41199.87707437,97974.8002458513,34916.3798401967,121918.746158574,67066.1462814997,61127.2280270436,41199.87707437,97974.8002458513,34916.3798401967,121918.746158574,54558.31,49727,33516.1,79702.5,28404.475,99180.9,67100,61100,41200,98000,34900,122000,67100,61100,41200,98000,34900,122000,54600,49700,33500,79700,28400,99200,4,5,4,5,4,"existing","existing"
"California Thrasher",7100,241225.110851809,227127.187864644,154807.351225204,348879.579929988,118654.404900817,446383.372228704,241225.110851809,227127.187864644,154807.351225204,348879.579929988,118654.404900817,446383.372228704,206729.92,194648,132669.9,298989.8,101686.825,382550.55,241000,227000,155000,349000,119000,446000,241000,227000,155000,349000,119000,446000,207000,195000,133000,299000,102000,383000,4,4,4,4,4,"existing","existing"
"LeConte's Thrasher",7110,57497.5031367629,53541.4052697616,29752.9485570891,90244.0401505646,19890.1819322459,114528.544542033,57497.5031367629,53541.4052697616,29752.9485570891,90244.0401505646,19890.1819322459,114528.544542033,45825.51,42672.5,23713.1,71924.5,15852.475,91279.2499999999,57500,53500,29800,90200,19900,115000,57500,53500,29800,90200,19900,115000,45800,42700,23700,71900,15900,91300,4,5,4,5,4,"existing","existing"
"Crissal Thrasher",7120,186926.039828586,185297.453995463,131552.55860852,240347.365767583,122910.385681875,277003.907234686,186926.039828586,185297.453995463,131552.55860852,240347.365767583,122910.385681875,277003.907234686,74153.56,73507.5,52186.9,95345.8,48758.55,109887.45,187000,185000,132000,240000,123000,277000,187000,185000,132000,240000,123000,277000,74200,73500,52200,95300,48800,110000,4,4,4,4,4,"existing","existing"
