"Prov","cn","Aou","BCR","n.routes","mean.PopEst","med.PopEst","Coeff.var","LCI80.PopEst","UCI80.PopEst","LCI95.PopEst","UCI95.PopEst","rounded.mean.PopEst","rounded.med.PopEst","rounded.LCI80.PopEst","rounded.UCI80.PopEst","rounded.LCI95.PopEst","rounded.UCI95.PopEst","st_abrev"
2,"Loggerhead Shrike",6220,27,52,30006.45,29111,0.314675397899318,19610.3,43416.1,16391.375,53344.75,30000,29100,19600,43400,16400,53300,"AL"
2,"Gray Kingbird",4450,27,52,365.04,282,1.25644475202382,0,913.7,0,1551.125,365,282,0,914,0,1550,"AL"
2,"Red-headed Woodpecker",4060,24,5,2170.99,1891.5,0.564537993856384,774.5,3690.2,314.35,4903.625,2170,1890,774,3690,314,4900,"AL"
2,"Yellow-throated Vireo",6280,27,52,193099.57,189186,0.219675009758724,136104.8,249590.1,125056.35,278393.875,193000,189000,136000,250000,125000,278000,"AL"
2,"Eastern Phoebe",4560,28,20,655790.97,649787.5,0.199316176220305,490143.5,820104.1,436135.3,898628.35,656000,650000,490000,820000,436000,899000,"AL"
2,"House Finch",5190,28,20,139397.16,134722,0.225836845297526,103576.5,188163.7,87267.875,202471.325,139000,135000,104000,188000,87300,202000,"AL"
2,"Red-eyed Vireo",6240,28,20,434866.72,416934,0.265536094423277,307642.7,589528.4,258240.25,714624,435000,417000,308000,590000,258000,715000,"AL"
2,"Eurasian Collared-Dove",22860,24,5,2210.41,1971,0.544005098668525,691.5,3921.4,233.375,4784.675,2210,1970,692,3920,233,4780,"AL"
2,"Osprey",3640,27,52,4578.21,3814,0.896203768867513,586.4,10575,279.575,14000.625,4580,3810,586,10600,280,14000,"AL"
2,"Yellow-throated Warbler",6630,29,4,1752.03,1709,0.854714992107399,0,3554.2,0,4813.95,1750,1710,0,3550,0,4810,"AL"
2,"Purple Martin",6110,27,52,250419.62,231880,0.343568668715113,153957.3,349809.5,133064.475,449717.099999999,250000,232000,154000,350000,133000,450000,"AL"
2,"Yellow-breasted Chat",6830,29,4,70223.52,67066.5,0.262607717406007,49547.9,92415.7,41926.375,107787.9,70200,67100,49500,92400,41900,108000,"AL"
2,"Worm-eating Warbler",6390,24,5,611.88,501,0.901659118053272,0,1377.4,0,1872.3,612,501,0,1380,0,1870,"AL"
2,"House Finch",5190,24,5,27837.07,27229,0.303107425635263,18096.6,38986.3,13178.2,46075.625,27800,27200,18100,39000,13200,46100,"AL"
2,"Yellow-throated Warbler",6630,27,52,43035.72,41375.5,0.275785612119947,29685.7,58929.7,25614.15,72212.275,43000,41400,29700,58900,25600,72200,"AL"
2,"Red-winged Blackbird",4980,24,5,36697.27,33169.5,0.340125626752826,22735,52678.9,18513.375,61186.325,36700,33200,22700,52700,18500,61200,"AL"
2,"Red-headed Woodpecker",4060,29,4,2142.8,1879.5,0.514802168929638,979.8,3560.3,720.8,5202.125,2140,1880,980,3560,721,5200,"AL"
2,"Common Grackle",5110,24,5,60044.42,58181.5,0.309869895564608,38191.2,82860.6,32317.875,101363.425,60000,58200,38200,82900,32300,101000,"AL"
2,"Barn Swallow",6130,29,4,30026.93,28534,0.354884311352929,17099.2,43442.4,13673.4,53523.475,30000,28500,17100,43400,13700,53500,"AL"
2,"Chimney Swift",4230,28,20,113601.17,108388.5,0.280372008774754,75902,156136.1,65535.2,179331.8,114000,108000,75900,156000,65500,179000,"AL"
2,"Mourning Dove",3160,29,4,50828.65,45601.5,0.309633162448757,33891.9,74741.1,29927.525,81066.45,50800,45600,33900,74700,29900,81100,"AL"
2,"Cooper's Hawk",3330,27,52,10920.33,10655,0.27178455141474,7487.3,15520.7,6534.8,17416.75,10900,10700,7490,15500,6530,17400,"AL"
2,"American Redstart",6870,27,52,62464.97,61431.5,0.27158929990824,44229.2,84849.6,31186.7,101830.1,62500,61400,44200,84800,31200,102000,"AL"
2,"Swainson's Warbler",6380,28,20,7425.13,7212,0.4753841919672,3097,12298.1,1998.35,14631.1,7430,7210,3100,12300,2000,14600,"AL"
2,"Barn Swallow",6130,28,20,312007.26,290937,0.317038198020598,209646.9,459232.1,193221.625,517369.45,312000,291000,210000,459000,193000,517000,"AL"
2,"Red-winged Blackbird",4980,29,4,5952.86,5440,0.492492678026966,2880.8,9242.4,1922.9,12439.375,5950,5440,2880,9240,1920,12400,"AL"
2,"Bachman's Sparrow",5750,27,52,6930.18,6036.5,0.663369919947239,1699.2,11783.8,357.65,18238.35,6930,6040,1700,11800,358,18200,"AL"
2,"Indigo Bunting",5980,28,20,1233656.79,1176604.5,0.190350422856726,970266,1562462.1,890132.65,1706330.35,1230000,1180000,970000,1560000,890000,1710000,"AL"
2,"Brown-headed Cowbird",4950,24,5,78150.76,75999,0.210650719409036,59757.4,99317.9,53918.975,115738.5,78200,76000,59800,99300,53900,116000,"AL"
2,"Blue Jay",4770,29,4,29686.15,27686.5,0.315626579746367,19613.3,42719,15759.175,48444.2,29700,27700,19600,42700,15800,48400,"AL"
2,"Blue Jay",4770,28,20,183843.78,171231,0.307920499251247,121500,259462.1,107701.4,325447.275,184000,171000,122000,259000,108000,325000,"AL"
2,"Cedar Waxwing",6190,27,52,26331.68,21195.5,0.87534449150678,750.1,59552,100.7,79606.325,26300,21200,750,59600,101,79600,"AL"
2,"Red-shouldered Hawk",3390,24,5,4757.98,4485,0.413439797880898,2557.9,7429.5,2075.875,9100.34999999999,4760,4480,2560,7430,2080,9100,"AL"
2,"Orchard Oriole",5060,28,20,95332.06,91533,0.262187171711595,64078,129456.5,54170.725,147330.225,95300,91500,64100,129000,54200,147000,"AL"
2,"American Kestrel",3600,24,5,1818.32,1705.5,0.466024133487119,819.9,2926.8,559.55,3634.825,1820,1710,820,2930,560,3630,"AL"
2,"Black Vulture",3260,27,52,49471.26,47715.5,0.265424311306847,33881,68682.5,28185.925,73680.125,49500,47700,33900,68700,28200,73700,"AL"
2,"Black Vulture",3260,24,5,14644.67,13512.5,0.545706971537985,6265.1,23415.2,3778.625,40009.825,14600,13500,6270,23400,3780,40000,"AL"
2,"Northern Parula",6480,27,52,531750.22,508396,0.261162609792277,370807.5,729799.7,329335.725,851470.975,532000,508000,371000,730000,329000,851000,"AL"
2,"Rock Pigeon",3131,27,52,18226.37,17413,0.472825031771665,9103.1,26986.1,4988.425,42378.55,18200,17400,9100,27000,4990,42400,"AL"
2,"Rock Pigeon",3131,24,5,16265.1,16822.5,1.00541854485837,76,34865.7,0,46501.125,16300,16800,76,34900,0,46500,"AL"
2,"Eastern Meadowlark",5010,24,5,55198.44,50614.5,0.30926146423869,36512.7,80202.1,31367.8,88652.95,55200,50600,36500,80200,31400,88700,"AL"
2,"Yellow-breasted Chat",6830,24,5,60483.91,56186,0.371548260645507,36637,85373.5,29851.725,117469.45,60500,56200,36600,85400,29900,117000,"AL"
2,"Red-winged Blackbird",4980,27,52,128899.5,124307.5,0.321775379145986,78822.8,191810.4,70637.35,224256.3,129000,124000,78800,192000,70600,224000,"AL"
2,"Painted Bunting",6010,27,52,1633.81,1289,0.889164771854139,0,3574.4,0,5413.9,1630,1290,0,3570,0,5410,"AL"
2,"Red-eyed Vireo",6240,24,5,53511.29,49903.5,0.396488291181219,29374.5,81726.4,21824.1,100673.825,53500,49900,29400,81700,21800,101000,"AL"
2,"Northern Mockingbird",7030,28,20,371778.25,361634.5,0.295355604539498,243268.5,527672,217474.6,619383.975,372000,362000,243000,528000,217000,619000,"AL"
2,"Prothonotary Warbler",6370,24,5,3723.43,3324,0.707922304449549,1039.2,6566.2,667.275,10042.525,3720,3320,1040,6570,667,10000,"AL"
2,"Red-shouldered Hawk",3390,29,4,5111.76,4782,0.292872730174983,3474.5,7288.6,3096.4,8178.025,5110,4780,3470,7290,3100,8180,"AL"
2,"Orchard Oriole",5060,24,5,27856.48,28215,0.255666654188674,20061,35950.6,14591.9,44106.95,27900,28200,20100,36000,14600,44100,"AL"
2,"American Redstart",6870,24,5,1411.07,1258.5,0.976401046757808,0,3080.9,0,4299.7,1410,1260,0,3080,0,4300,"AL"
2,"Northern Cardinal",5930,27,52,3587224.42,3244529.5,0.281527237220472,2475514.6,5068940.5,2317629.625,5744417.025,3590000,3240000,2480000,5070000,2320000,5740000,"AL"
2,"Northern Cardinal",5930,29,4,150165.27,142834.5,0.257848638796469,109198.8,206886.3,94842.35,236166.05,150000,143000,109000,207000,94800,236000,"AL"
2,"Hooded Warbler",6840,28,20,113288.97,108206.5,0.266060188880762,74951.9,155130.7,66607.075,171877.75,113000,108000,75000,155000,66600,172000,"AL"
2,"Wild Turkey",3100,29,4,1269.13,1232,0.400586451612715,677.2,1814.1,553.6,2281.6,1270,1230,677,1810,554,2280,"AL"
2,"Eastern Kingbird",4440,27,52,316847.24,300281,0.204051437280133,245057,410449.2,222315.85,458146.15,317000,3e+05,245000,410000,222000,458000,"AL"
2,"House Wren",7210,28,20,2238.06,1725.5,0.688528929690063,518.2,4255.3,291.4,5648.72499999999,2240,1730,518,4260,291,5650,"AL"
2,"Cedar Waxwing",6190,28,20,13482.56,12196.5,0.596650209691635,5382.4,24871.8,1433.45,32105.525,13500,12200,5380,24900,1430,32100,"AL"
2,"Acadian Flycatcher",4650,27,52,174294.69,168112.5,0.22022897966293,131223.6,230612.3,112943.825,245336.85,174000,168000,131000,231000,113000,245000,"AL"
2,"Field Sparrow",5630,27,52,65571.92,63689,0.346103497134511,38112.6,90514.9000000001,33486.875,117239,65600,63700,38100,90500,33500,117000,"AL"
2,"Barred Owl",3680,28,20,43933.69,40866,0.353600680860918,22845.4,64306.8,18002.85,75258.525,43900,40900,22800,64300,18000,75300,"AL"
2,"Acadian Flycatcher",4650,24,5,24855.89,22355.5,0.549440178360991,8928.7,43110.4,6975.1,55478.25,24900,22400,8930,43100,6980,55500,"AL"
2,"Eastern Phoebe",4560,29,4,105453.13,102559.5,0.319280302653592,65874.5,147969.4,55189.65,167888.725,105000,103000,65900,148000,55200,168000,"AL"
