"cn","Aou","GL.mean.PopEst","GL.med.PopEst","GL.80LCI.PopEst","GL.80UCI.PopEst","GL.95LCI.PopEst","GL.95UCI.PopEst","WH.mean.PopEst","WH.med.PopEst","WH.80LCI.PopEst","WH.80UCI.PopEst","WH.95LCI.PopEst","WH.95UCI.PopEst","USCAN.mean.PopEst","USCAN.med.PopEst","USCAN.80LCI.PopEst","USCAN.80UCI.PopEst","USCAN.95LCI.PopEst","USCAN.95UCI.PopEst","rounded.GL.mean.PopEst","rounded.GL.med.PopEst","rounded.GL.80LCI.PopEst","rounded.GL.80UCI.PopEst","rounded.GL.95LCI.PopEst","rounded.GL.95UCI.PopEst","rounded.WH.mean.PopEst","rounded.WH.med.PopEst","rounded.WH.80LCI.PopEst","rounded.WH.80UCI.PopEst","rounded.WH.95LCI.PopEst","rounded.WH.95UCI.PopEst","rounded.USCAN.mean.PopEst","rounded.USCAN.med.PopEst","rounded.USCAN.80LCI.PopEst","rounded.USCAN.80UCI.PopEst","rounded.USCAN.95LCI.PopEst","rounded.USCAN.95UCI.PopEst","PS.Score","PS.80LCI.Score","PS.80UCI.Score","PS.95LCI.Score","PS.95UCI.Score","availability....ifelse.use_availability..TRUE..FALSE.","edr....ifelse.use_edr..TRUE..FALSE."
"Costa's Hummingbird",4300,4569804.17015926,4223484.91198659,2753949.07795474,7037406.95725063,2243017.60268231,8986465.00419111,4569804.17015926,4223484.91198659,2753949.07795474,7037406.95725063,2243017.60268231,8986465.00419111,2180710.55,2015447,1314184.5,3358250.6,1070368,4288341.1,4570000,4220000,2750000,7040000,2240000,8990000,4570000,4220000,2750000,7040000,2240000,8990000,2180000,2020000,1310000,3360000,1070000,4290000,3,3,2,3,2,FALSE,FALSE
"Anna's Hummingbird",4310,10790373.0198537,10363542.8422153,6951310.97178683,15110651.0971787,6275304.10135841,18983809.0909091,10790373.0198537,10363542.8422153,6951310.97178683,15110651.0971787,6275304.10135841,18983809.0909091,10326386.98,9917910.5,6652404.6,14460893.1,6005466.025,18167505.3,10800000,10400000,6950000,15100000,6280000,1.9e+07,10800000,10400000,6950000,15100000,6280000,1.9e+07,10300000,9920000,6650000,14500000,6010000,18200000,2,2,2,2,2,FALSE,FALSE
"Broad-tailed Hummingbird",4320,13629542.9391138,13522673.7328658,10920825.7889704,16174167.0385719,10134781.6385081,17987219.7561364,13629542.9391138,13522673.7328658,10920825.7889704,16174167.0385719,10134781.6385081,17987219.7561364,8551175.24,8484125.5,6851726.1,10147672.4,6358562,11285181.675,13600000,13500000,10900000,16200000,10100000,1.8e+07,13600000,13500000,10900000,16200000,10100000,1.8e+07,8550000,8480000,6850000,10100000,6360000,11300000,2,2,2,2,2,FALSE,FALSE
"Rufous Hummingbird",4330,19671190.46,19146346.5,14337013.8,25876086.4,11836096.075,29841581.35,19671190.46,19146346.5,14337013.8,25876086.4,11836096.075,29841581.35,19671190.46,19146346.5,14337013.8,25876086.4,11836096.075,29841581.35,19700000,19100000,14300000,25900000,11800000,29800000,19700000,19100000,14300000,25900000,11800000,29800000,19700000,19100000,14300000,25900000,11800000,29800000,2,2,2,2,2,FALSE,FALSE
"Allen's Hummingbird",4340,1316406.34,1095634,469011.9,2305529.3,398180.5,3229957.325,1316406.34,1095634,469011.9,2305529.3,398180.5,3229957.325,1316406.34,1095634,469011.9,2305529.3,398180.5,3229957.325,1320000,1100000,469000,2310000,398000,3230000,1320000,1100000,469000,2310000,398000,3230000,1320000,1100000,469000,2310000,398000,3230000,3,4,3,4,3,FALSE,FALSE
"Calliope Hummingbird",4360,3572643.66168955,3286249.12315863,2432053.01132378,4995490.93095501,2236691.6775228,5803463.52339914,3572643.66168955,3286249.12315863,2432053.01132378,4995490.93095501,2236691.6775228,5803463.52339914,3565141.11,3279348,2426945.7,4985000.4,2231994.625,5791276.25,3570000,3290000,2430000,5e+06,2240000,5800000,3570000,3290000,2430000,5e+06,2240000,5800000,3570000,3280000,2430000,4990000,2230000,5790000,3,3,3,3,2,FALSE,FALSE
"Buff-bellied Hummingbird",4390,1524800.92165899,1071290.32258065,145866.359447005,3313497.69585254,0,5319702.76497695,1524800.92165899,1071290.32258065,145866.359447005,3313497.69585254,0,5319702.76497695,33088.18,23247,3165.3,71902.9,0,115437.55,1520000,1070000,146000,3310000,0,5320000,1520000,1070000,146000,3310000,0,5320000,33100,23200,3170,71900,0,115000,3,4,3,5,2,FALSE,FALSE
"Broad-billed Hummingbird",4410,9595683.72881356,6860118.6440678,2398918.6440678,21286776.2711864,933460.169491526,25906603.3898305,9595683.72881356,6860118.6440678,2398918.6440678,21286776.2711864,933460.169491526,25906603.3898305,283072.67,202373.5,70768.1,627959.9,27537.075,764244.799999999,9600000,6860000,2400000,21300000,933000,25900000,9600000,6860000,2400000,21300000,933000,25900000,283000,202000,70800,628000,27500,764000,2,3,2,3,2,FALSE,FALSE
"Scissor-tailed Flycatcher",4430,7861736.1530934,7774201.9136675,6958628.68326628,8862474.06763075,6352625.96498858,9605011.19930412,7861736.1530934,7774201.9136675,6958628.68326628,8862474.06763075,6352625.96498858,9605011.19930412,7230438.74,7149933.5,6399850.8,8150817.4,5842510.1,8833728.8,7860000,7770000,6960000,8860000,6350000,9610000,7860000,7770000,6960000,8860000,6350000,9610000,7230000,7150000,6400000,8150000,5840000,8830000,2,2,2,2,2,FALSE,FALSE
"Eastern Kingbird",4440,25400371,25284309.5,24413126.2,26514635.7,23745489.45,27169699.225,25400371,25284309.5,24413126.2,26514635.7,23745489.45,27169699.225,25400371,25284309.5,24413126.2,26514635.7,23745489.45,27169699.225,25400000,25300000,24400000,26500000,23700000,27200000,25400000,25300000,24400000,26500000,23700000,27200000,25400000,25300000,24400000,26500000,23700000,27200000,2,2,2,2,2,FALSE,FALSE
"Gray Kingbird",4450,110243.739924772,101558.301988178,18341.2144008598,192587.855991403,11426.1149919398,263781.166039763,110243.739924772,101558.301988178,18341.2144008598,192587.855991403,11426.1149919398,263781.166039763,20516.36,18900,3413.3,35840.6,2126.4,49089.675,110000,102000,18300,193000,11400,264000,110000,102000,18300,193000,11400,264000,20500,18900,3410,35800,2130,49100,4,5,4,5,4,FALSE,FALSE
"Thick-billed Kingbird",4451,78661.797752809,56539.3258426966,0,198406.741573034,0,341884.26966292,78661.797752809,56539.3258426966,0,198406.741573034,0,341884.26966292,3500.45,2516,0,8829.1,0,15213.85,78700,56500,0,198000,0,342000,78700,56500,0,198000,0,342000,3500,2520,0,8830,0,15200,4,5,4,5,4,FALSE,FALSE
"Couch's Kingbird",4461,1197651.3751946,1139776.85521536,738342.501297353,1670572.39231967,614777.50389206,1984444.47327452,1197651.3751946,1139776.85521536,738342.501297353,1670572.39231967,614777.50389206,1984444.47327452,230787.42,219635,142278.6,321919.3,118467.625,382402.45,1200000,1140000,738000,1670000,615000,1980000,1200000,1140000,738000,1670000,615000,1980000,231000,220000,142000,322000,118000,382000,3,3,3,3,3,FALSE,FALSE
"Western Kingbird",4470,24894679.7602776,24698272.0008411,22575567.1327936,27198386.4998423,22082635.5009988,28747972.8472295,24894679.7602776,24698272.0008411,22575567.1327936,27198386.4998423,22082635.5009988,28747972.8472295,23677329.92,23490526.5,21471621.9,25868385.4,21002794.625,27342196.975,24900000,24700000,22600000,27200000,22100000,28700000,24900000,24700000,22600000,27200000,22100000,28700000,23700000,23500000,21500000,25900000,2.1e+07,27300000,2,2,2,2,2,FALSE,FALSE
"Cassin's Kingbird",4480,6751285.13085994,6822168.53609433,5407312.91343112,7917120.79378775,4972601.52430256,8638091.53005464,6751285.13085994,6822168.53609433,5407312.91343112,7917120.79378775,4972601.52430256,8638091.53005464,2347421.84,2372068,1880122.7,2752782.9,1728973.55,3003464.425,6750000,6820000,5410000,7920000,4970000,8640000,6750000,6820000,5410000,7920000,4970000,8640000,2350000,2370000,1880000,2750000,1730000,3e+06,2,2,2,3,2,FALSE,FALSE
"Sulphur-bellied Flycatcher",4510,266270.930232558,179825.581395349,37465.1162790698,502589.147286822,2780.03875968992,967663.759689922,266270.930232558,179825.581395349,37465.1162790698,502589.147286822,2780.03875968992,967663.759689922,6869.79,4639.5,966.6,12966.8,71.725,24965.725,266000,180000,37500,503000,2780,968000,266000,180000,37500,503000,2780,968000,6870,4640,967,13000,71.7,25000,4,5,3,5,3,FALSE,FALSE
"Great Crested Flycatcher",4520,8730608.29165833,8747683.53670734,8207886.87737548,9237395.17903581,7928057.5365073,9437515.40308061,8730608.29165833,8747683.53670734,8207886.87737548,9237395.17903581,7928057.5365073,9437515.40308061,8728862.17,8745934,8206245.3,9235547.7,7926471.925,9435627.9,8730000,8750000,8210000,9240000,7930000,9440000,8730000,8750000,8210000,9240000,7930000,9440000,8730000,8750000,8210000,9240000,7930000,9440000,2,2,2,2,2,FALSE,FALSE
"Brown-crested Flycatcher",4530,46173885.042735,45621004.2735043,34563085.4700855,61138653.8461538,29992910.2564103,68838108.974359,46173885.042735,45621004.2735043,34563085.4700855,61138653.8461538,29992910.2564103,68838108.974359,1080468.91,1067531.5,808776.2,1430644.5,701834.1,1610811.75,46200000,45600000,34600000,61100000,3e+07,68800000,46200000,45600000,34600000,61100000,3e+07,68800000,1080000,1070000,809000,1430000,702000,1610000,2,2,1,2,1,FALSE,FALSE
"Ash-throated Flycatcher",4540,10222261.9278483,10213899.1872237,9173488.09354057,11202423.6418081,8613912.05618138,12097235.4912306,10222261.9278483,10213899.1872237,9173488.09354057,11202423.6418081,8613912.05618138,12097235.4912306,7168872.29,7163007.5,6433367.2,7856259.7,6040936.525,8483791.25,10200000,10200000,9170000,11200000,8610000,12100000,10200000,10200000,9170000,11200000,8610000,12100000,7170000,7160000,6430000,7860000,6040000,8480000,2,2,2,2,2,FALSE,FALSE
"Eastern Phoebe",4560,33047861.27,33031912,31769205.9,34176251.1,31300428.475,34998451.975,33047861.27,33031912,31769205.9,34176251.1,31300428.475,34998451.975,33047861.27,33031912,31769205.9,34176251.1,31300428.475,34998451.975,3.3e+07,3.3e+07,31800000,34200000,31300000,3.5e+07,3.3e+07,3.3e+07,31800000,34200000,31300000,3.5e+07,3.3e+07,3.3e+07,31800000,34200000,31300000,3.5e+07,2,2,2,2,2,FALSE,FALSE
"Say's Phoebe",4570,5527517.74229075,5471966.96035242,5055359.14096916,6018844.9339207,4842534.719163,6414278.49669603,5527517.74229075,5471966.96035242,5055359.14096916,6018844.9339207,4842534.719163,6414278.49669603,5018986.11,4968546,4590266.1,5465111.2,4397021.525,5824164.875,5530000,5470000,5060000,6020000,4840000,6410000,5530000,5470000,5060000,6020000,4840000,6410000,5020000,4970000,4590000,5470000,4400000,5820000,2,2,2,3,2,FALSE,FALSE
"Black Phoebe",4580,6823518.3972912,6670493.79232506,5578884.8758465,8078171.55756208,5216687.78216704,9212886.99209932,6823518.3972912,6670493.79232506,5578884.8758465,8078171.55756208,5216687.78216704,9212886.99209932,1209127.46,1182011.5,988578.4,1431452,924397.075,1632523.575,6820000,6670000,5580000,8080000,5220000,9210000,6820000,6670000,5580000,8080000,5220000,9210000,1210000,1180000,989000,1430000,924000,1630000,2,2,2,2,2,FALSE,FALSE
"Olive-sided Flycatcher",4590,1556233.47385326,1563600.3211884,1383391.14724481,1723919.10067249,1263842.66787112,1772429.81531667,1556233.47385326,1563600.3211884,1383391.14724481,1723919.10067249,1263842.66787112,1772429.81531667,1550475.41,1557815,1378272.6,1717540.6,1259166.45,1765871.825,1560000,1560000,1380000,1720000,1260000,1770000,1560000,1560000,1380000,1720000,1260000,1770000,1550000,1560000,1380000,1720000,1260000,1770000,3,3,3,3,3,FALSE,FALSE
"Greater Pewee",4600,112526.215805471,112021.276595745,34025.8358662614,188708.20668693,21720.3647416413,236100.303951368,112526.215805471,112021.276595745,34025.8358662614,188708.20668693,21720.3647416413,236100.303951368,14808.45,14742,4477.8,24834,2858.4,31070.8,113000,112000,34000,189000,21700,236000,113000,112000,34000,189000,21700,236000,14800,14700,4480,24800,2860,31100,4,5,4,5,4,FALSE,FALSE
"Eastern Wood-Pewee",4610,7136196.5,7146843,6731516.5,7484165,6518494.125,7722146.85,7136196.5,7146843,6731516.5,7484165,6518494.125,7722146.85,7136196.5,7146843,6731516.5,7484165,6518494.125,7722146.85,7140000,7150000,6730000,7480000,6520000,7720000,7140000,7150000,6730000,7480000,6520000,7720000,7140000,7150000,6730000,7480000,6520000,7720000,2,2,2,2,2,FALSE,FALSE
"Western Wood-Pewee",4620,10368011.8848228,10367285.1898589,9523764.02432029,11263306.6421934,9058330.47493404,11681292.3884364,10368011.8848228,10367285.1898589,9523764.02432029,11263306.6421934,9058330.47493404,11681292.3884364,9037795.96,9037162.5,8301865.1,9818224.4,7896146.675,10182582.575,10400000,10400000,9520000,11300000,9060000,11700000,10400000,10400000,9520000,11300000,9060000,11700000,9040000,9040000,8300000,9820000,7900000,10200000,2,2,2,2,2,FALSE,FALSE
"Yellow-bellied Flycatcher",4630,12218166.74,12126793,10761491.9,13838311.6,10152076.275,15186356.425,12218166.74,12126793,10761491.9,13838311.6,10152076.275,15186356.425,12218166.74,12126793,10761491.9,13838311.6,10152076.275,15186356.425,12200000,12100000,10800000,13800000,10200000,15200000,12200000,12100000,10800000,13800000,10200000,15200000,12200000,12100000,10800000,13800000,10200000,15200000,2,2,2,2,2,FALSE,FALSE
"Cordilleran Flycatcher",4640,2855952.84496016,2821653.15252342,2375599.74835733,3422360.40822033,2085384.27932336,3678413.46288271,2855952.84496016,2821653.15252342,2375599.74835733,3422360.40822033,2085384.27932336,3678413.46288271,2042863.07,2018328.5,1699266.5,2448014.4,1491675.375,2631169.15,2860000,2820000,2380000,3420000,2090000,3680000,2860000,2820000,2380000,3420000,2090000,3680000,2040000,2020000,1700000,2450000,1490000,2630000,3,3,3,3,3,FALSE,FALSE
"Pacific-slope Flycatcher",4641,9721046.48142555,9694420.11476895,8268891.57354274,11270044.9008356,7933419.88825128,12022320.371489,9721046.48142555,9694420.11476895,8268891.57354274,11270044.9008356,7933419.88825128,12022320.371489,9655915.47,9629467.5,8213490,11194535.6,7880265.975,11941770.825,9720000,9690000,8270000,11300000,7930000,1.2e+07,9720000,9690000,8270000,11300000,7930000,1.2e+07,9660000,9630000,8210000,11200000,7880000,11900000,2,2,2,2,2,FALSE,FALSE
"Acadian Flycatcher",4650,5737732.78,5711153,5410152.7,6096770.6,5256153.35,6259526.6,5737732.78,5711153,5410152.7,6096770.6,5256153.35,6259526.6,5737732.78,5711153,5410152.7,6096770.6,5256153.35,6259526.6,5740000,5710000,5410000,6100000,5260000,6260000,5740000,5710000,5410000,6100000,5260000,6260000,5740000,5710000,5410000,6100000,5260000,6260000,2,2,2,2,2,FALSE,FALSE
"Willow Flycatcher",4660,7569928.02,7518627.5,6897014.9,8296212.7,6473059.1,8663977.225,7569928.02,7518627.5,6897014.9,8296212.7,6473059.1,8663977.225,7569928.02,7518627.5,6897014.9,8296212.7,6473059.1,8663977.225,7570000,7520000,6900000,8300000,6470000,8660000,7570000,7520000,6900000,8300000,6470000,8660000,7570000,7520000,6900000,8300000,6470000,8660000,2,2,2,2,2,FALSE,FALSE
"Alder Flycatcher",4661,117839252.66,117546884,106269645.5,129661116,101590076.9,136043861.275,117839252.66,117546884,106269645.5,129661116,101590076.9,136043861.275,117839252.66,117546884,106269645.5,129661116,101590076.9,136043861.275,1.18e+08,1.18e+08,1.06e+08,1.3e+08,1.02e+08,1.36e+08,1.18e+08,1.18e+08,1.06e+08,1.3e+08,1.02e+08,1.36e+08,1.18e+08,1.18e+08,1.06e+08,1.3e+08,1.02e+08,1.36e+08,1,1,1,1,1,FALSE,FALSE
"Least Flycatcher",4670,26195090.7,26098323,24575795.9,28400913.4,23188182.2,28970473.65,26195090.7,26098323,24575795.9,28400913.4,23188182.2,28970473.65,26195090.7,26098323,24575795.9,28400913.4,23188182.2,28970473.65,26200000,26100000,24600000,28400000,23200000,2.9e+07,26200000,26100000,24600000,28400000,23200000,2.9e+07,26200000,26100000,24600000,28400000,23200000,2.9e+07,2,2,2,2,2,FALSE,FALSE
"Hammond's Flycatcher",4680,19339608.31,19476917.5,16848292.9,21582605.4,15980795.075,22583633.125,19339608.31,19476917.5,16848292.9,21582605.4,15980795.075,22583633.125,19339608.31,19476917.5,16848292.9,21582605.4,15980795.075,22583633.125,19300000,19500000,16800000,21600000,1.6e+07,22600000,19300000,19500000,16800000,21600000,1.6e+07,22600000,19300000,19500000,16800000,21600000,1.6e+07,22600000,2,2,2,2,2,FALSE,FALSE
"Dusky Flycatcher",4690,7824775.93394422,7830112.2746954,6944091.22948344,8734156.68109959,6597460.02416675,9364433.18900413,7824775.93394422,7830112.2746954,6944091.22948344,8734156.68109959,6597460.02416675,9364433.18900413,7770784.98,7776084.5,6896177,8673891,6551937.55,9299818.6,7820000,7830000,6940000,8730000,6600000,9360000,7820000,7830000,6940000,8730000,6600000,9360000,7770000,7780000,6900000,8670000,6550000,9300000,2,2,2,2,2,FALSE,FALSE
"Gray Flycatcher",4691,2963894.99,2874556.5,2273739.6,3688263.9,2094838.075,4010357.6,2963894.99,2874556.5,2273739.6,3688263.9,2094838.075,4010357.6,2963894.99,2874556.5,2273739.6,3688263.9,2094838.075,4010357.6,2960000,2870000,2270000,3690000,2090000,4010000,2960000,2870000,2270000,3690000,2090000,4010000,2960000,2870000,2270000,3690000,2090000,4010000,3,3,3,3,3,FALSE,FALSE
"Vermilion Flycatcher",4710,7957302.56673511,7882207.39219713,5861734.0862423,10132483.5728953,5352619.60985626,11290945.0718686,7957302.56673511,7882207.39219713,5861734.0862423,10132483.5728953,5352619.60985626,11290945.0718686,775041.27,767727,570932.9,986903.9,521345.15,1099738.05,7960000,7880000,5860000,10100000,5350000,11300000,7960000,7880000,5860000,10100000,5350000,11300000,775000,768000,571000,987000,521000,1100000,2,2,2,2,2,FALSE,FALSE
"Northern Beardless-Tyrannulet",4720,2048712.90322581,1815322.58064516,886177.419354839,3308975.80645161,572393.14516129,4638683.46774193,2048712.90322581,1815322.58064516,886177.419354839,3308975.80645161,572393.14516129,4638683.46774193,25404.04,22510,10988.6,41031.3,7097.675,57519.675,2050000,1820000,886000,3310000,572000,4640000,2050000,1820000,886000,3310000,572000,4640000,25400,22500,11000,41000,7100,57500,3,3,3,3,3,FALSE,FALSE
"Horned Lark",4740,216763201.90163,209617601.515585,168931300.829282,281962397.340578,130236665.749214,339841401.808693,162578212.772118,157218820.911528,126703004.61126,211479357.319035,97680990.9115282,254890162.386059,151604183.41,146606550.5,118150551.8,197204500.7,91087524.025,237685076.425,2.17e+08,2.1e+08,1.69e+08,2.82e+08,1.3e+08,3.4e+08,1.63e+08,1.57e+08,1.27e+08,2.11e+08,97700000,2.55e+08,1.52e+08,1.47e+08,1.18e+08,1.97e+08,91100000,2.38e+08,1,1,1,1,1,FALSE,FALSE
"Black-billed Magpie",4750,5997799.86,5999234.5,5443740.5,6535397.8,5177926.525,6842920.5,5997799.86,5999234.5,5443740.5,6535397.8,5177926.525,6842920.5,5997799.86,5999234.5,5443740.5,6535397.8,5177926.525,6842920.5,6e+06,6e+06,5440000,6540000,5180000,6840000,6e+06,6e+06,5440000,6540000,5180000,6840000,6e+06,6e+06,5440000,6540000,5180000,6840000,2,2,2,2,2,FALSE,FALSE
"Yellow-billed Magpie",4760,83787.64,82620,55188.9,118741.3,36170.45,136169.175,83787.64,82620,55188.9,118741.3,36170.45,136169.175,83787.64,82620,55188.9,118741.3,36170.45,136169.175,83800,82600,55200,119000,36200,136000,83800,82600,55200,119000,36200,136000,83800,82600,55200,119000,36200,136000,4,4,4,5,4,FALSE,FALSE
"Blue Jay",4770,17624250.41,17563825,16793842.5,18624329.4,16407273.675,19172006.2,17624250.41,17563825,16793842.5,18624329.4,16407273.675,19172006.2,17624250.41,17563825,16793842.5,18624329.4,16407273.675,19172006.2,17600000,17600000,16800000,18600000,16400000,19200000,17600000,17600000,16800000,18600000,16400000,19200000,17600000,17600000,16800000,18600000,16400000,19200000,2,2,2,2,2,FALSE,FALSE
"Steller's Jay",4780,3394462.46851385,3374568.63979849,3008464.10579345,3773429.59697733,2922583.81612091,4089173.64609572,3394462.46851385,3374568.63979849,3008464.10579345,3773429.59697733,2922583.81612091,4089173.64609572,2695203.2,2679407.5,2388720.5,2996103.1,2320531.55,3246803.875,3390000,3370000,3010000,3770000,2920000,4090000,3390000,3370000,3010000,3770000,2920000,4090000,2700000,2680000,2390000,3e+06,2320000,3250000,3,3,3,3,3,FALSE,FALSE
"Florida Scrub-Jay",4790,4798.21,4536.5,1178.5,8707.30000000001,479.975,12203.3,4798.21,4536.5,1178.5,8707.30000000001,479.975,12203.3,4798.21,4536.5,1178.5,8707.30000000001,479.975,12203.3,4800,4540,1180,8710,480,12200,4800,4540,1180,8710,480,12200,4800,4540,1180,8710,480,12200,5,5,5,5,5,FALSE,FALSE
"Western Scrub-Jay",4810,4005.6142226975,3848.41598716749,1614.35636946932,6181.25918994787,1021.78853094506,8818.30637615292,4005.6142226975,3848.41598716749,1614.35636946932,6181.25918994787,1021.78853094506,8818.30637615292,2996.6,2879,1207.7,4624.2,764.4,6596.975,4010,3850,1610,6180,1020,8820,4010,3850,1610,6180,1020,8820,3000,2880,1210,4620,764,6600,5,5,5,5,5,FALSE,FALSE
"Mexican Jay",4820,701987.609585038,650517.24137931,337037.989479836,1203194.03857393,242736.411455289,1454606.66277031,701987.609585038,650517.24137931,337037.989479836,1203194.03857393,242736.411455289,1454606.66277031,120110.08,111303.5,57667.2,205866.5,41532.2,248883.2,702000,651000,337000,1200000,243000,1450000,702000,651000,337000,1200000,243000,1450000,120000,111000,57700,206000,41500,249000,3,4,3,4,3,FALSE,FALSE
"Green Jay",4830,2006288.23529412,1934465.24064171,1258312.8342246,2908262.03208556,1061306.14973262,3347275.40106952,2006288.23529412,1934465.24064171,1258312.8342246,2908262.03208556,1061306.14973262,3347275.40106952,75035.18,72349,47060.9,108769,39692.85,125188.1,2010000,1930000,1260000,2910000,1060000,3350000,2010000,1930000,1260000,2910000,1060000,3350000,75000,72300,47100,109000,39700,125000,3,3,3,3,3,FALSE,FALSE
"Canada Jay",4840,21498541.16,21323893,20003017.6,23227323.3,19164178.775,24481035.025,21498541.16,21323893,20003017.6,23227323.3,19164178.775,24481035.025,21498541.16,21323893,20003017.6,23227323.3,19164178.775,24481035.025,21500000,21300000,2e+07,23200000,19200000,24500000,21500000,21300000,2e+07,23200000,19200000,24500000,21500000,21300000,2e+07,23200000,19200000,24500000,2,2,2,2,2,FALSE,FALSE
"Common Raven",4860,26677918.902891,26643810.2297999,24239106.7457376,28789462.9355078,23758617.772424,30557259.1734618,8001892.74041134,7991662.03446359,7270384.65814341,8635238.57698721,7126264.67481934,9165479.18287938,7197702.52,7188500,6539711,7767397.1,6410075.075,8244348.525,26700000,26600000,24200000,28800000,23800000,30600000,8e+06,7990000,7270000,8640000,7130000,9170000,7200000,7190000,6540000,7770000,6410000,8240000,2,2,2,2,2,FALSE,FALSE
"Chihuahuan Raven",4870,604862.58291874,606633.499170813,493970.771144279,730227.40464345,455812.5,787589.707711443,604862.58291874,606633.499170813,493970.771144279,730227.40464345,455812.5,787589.707711443,291785.71,292640,238291.5,352261.7,219883.95,379933.275,605000,607000,494000,730000,456000,788000,605000,607000,494000,730000,456000,788000,292000,293000,238000,352000,220000,380000,3,4,3,4,3,FALSE,FALSE
"American Crow",4880,25874543.4117059,25789950.9754877,24971243.4217109,26883754.0770385,24683232.6913457,27340339.2946473,25874543.4117059,25789950.9754877,24971243.4217109,26883754.0770385,24683232.6913457,27340339.2946473,25861606.14,25777056,24958757.8,26870312.2,24670891.075,27326669.125,25900000,25800000,2.5e+07,26900000,24700000,27300000,25900000,25800000,2.5e+07,26900000,24700000,27300000,25900000,25800000,2.5e+07,26900000,24700000,27300000,2,2,2,2,2,FALSE,FALSE
"Northwestern Crow",4890,590240.03,571325.5,438815.2,772630.4,332586.075,839805.4,590240.03,571325.5,438815.2,772630.4,332586.075,839805.4,590240.03,571325.5,438815.2,772630.4,332586.075,839805.4,590000,571000,439000,773000,333000,840000,590000,571000,439000,773000,333000,840000,590000,571000,439000,773000,333000,840000,3,4,3,4,3,FALSE,FALSE
"Fish Crow",4900,492980.64,491807.5,445967.9,541564.9,412829.425,560221.8,492980.64,491807.5,445967.9,541564.9,412829.425,560221.8,492980.64,491807.5,445967.9,541564.9,412829.425,560221.8,493000,492000,446000,542000,413000,560000,493000,492000,446000,542000,413000,560000,493000,492000,446000,542000,413000,560000,4,4,3,4,3,FALSE,FALSE
"Clark's Nutcracker",4910,249077.85,244691,209969.7,293072.4,192287.2,312855.4,249077.85,244691,209969.7,293072.4,192287.2,312855.4,249077.85,244691,209969.7,293072.4,192287.2,312855.4,249000,245000,210000,293000,192000,313000,249000,245000,210000,293000,192000,313000,249000,245000,210000,293000,192000,313000,4,4,4,4,4,FALSE,FALSE
"Pinyon Jay",4920,748670.389767348,724994.964246148,563533.991338503,911411.219659583,505990.331352604,1167498.99284923,748670.389767348,724994.964246148,563533.991338503,911411.219659583,505990.331352604,1167498.99284923,743354.83,719847.5,559532.9,904940.2,502397.8,1159209.75,749000,725000,564000,911000,506000,1170000,749000,725000,564000,911000,506000,1170000,743000,720000,560000,905000,502000,1160000,3,3,3,3,3,FALSE,FALSE
"European Starling",4930,222655973.69509,221610319.121447,210106387.855297,236114584.496124,204416434.043928,244459361.434109,89071595.8445317,88653290.7794087,84051242.6090552,94455596.6508166,81775025.8166219,97793852.4653711,86167861.82,85763193.5,81311172.1,91376344.2,79109159.975,94605772.875,2.23e+08,2.22e+08,2.1e+08,2.36e+08,2.04e+08,2.44e+08,89100000,88700000,84100000,94500000,81800000,97800000,86200000,85800000,81300000,91400000,79100000,94600000,1,1,1,1,1,FALSE,FALSE
"Bobolink",4940,8950752.85,8912933,8115022.9,9783285.9,7628555.35,10836905.975,8950752.85,8912933,8115022.9,9783285.9,7628555.35,10836905.975,8950752.85,8912933,8115022.9,9783285.9,7628555.35,10836905.975,8950000,8910000,8120000,9780000,7630000,10800000,8950000,8910000,8120000,9780000,7630000,10800000,8950000,8910000,8120000,9780000,7630000,10800000,2,2,2,2,2,FALSE,FALSE
"Brown-headed Cowbird",4950,128882054.504652,127851052.545156,122982629.337712,136069450.574713,118469707.033388,139394700.60208,128882054.504652,127851052.545156,122982629.337712,136069450.574713,118469707.033388,139394700.60208,117733756.79,116791936.5,112344631.9,124299443.1,108222077.375,127337059,1.29e+08,1.28e+08,1.23e+08,1.36e+08,1.18e+08,1.39e+08,1.29e+08,1.28e+08,1.23e+08,1.36e+08,1.18e+08,1.39e+08,1.18e+08,1.17e+08,1.12e+08,1.24e+08,1.08e+08,1.27e+08,1,1,1,1,1,FALSE,FALSE
"Bronzed Cowbird",4960,5312569.18604651,5252301.35658915,3850340.11627907,6726080.42635659,3247477.22868217,7684806.20155039,5312569.18604651,5252301.35658915,3850340.11627907,6726080.42635659,3247477.22868217,7684806.20155039,548257.14,542037.5,397355.1,694131.5,335139.65,793072,5310000,5250000,3850000,6730000,3250000,7680000,5310000,5250000,3850000,6730000,3250000,7680000,548000,542000,397000,694000,335000,793000,2,3,2,3,2,FALSE,FALSE
"Yellow-headed Blackbird",4970,11933395.2123397,11511970.6530449,9885009.51522436,14515762.5200321,9457931.76582532,15134372.0953526,11933395.2123397,11511970.6530449,9885009.51522436,14515762.5200321,9457931.76582532,15134372.0953526,11914301.78,11493551.5,9869193.5,14492537.3,9442799.075,15110157.1,11900000,11500000,9890000,14500000,9460000,15100000,11900000,11500000,9890000,14500000,9460000,15100000,11900000,11500000,9870000,14500000,9440000,15100000,2,2,2,2,2,FALSE,FALSE
