"cn","Aou","GL.mean.PopEst","GL.med.PopEst","GL.80LCI.PopEst","GL.80UCI.PopEst","GL.95LCI.PopEst","GL.95UCI.PopEst","WH.mean.PopEst","WH.med.PopEst","WH.80LCI.PopEst","WH.80UCI.PopEst","WH.95LCI.PopEst","WH.95UCI.PopEst","USCAN.mean.PopEst","USCAN.med.PopEst","USCAN.80LCI.PopEst","USCAN.80UCI.PopEst","USCAN.95LCI.PopEst","USCAN.95UCI.PopEst","rounded.GL.mean.PopEst","rounded.GL.med.PopEst","rounded.GL.80LCI.PopEst","rounded.GL.80UCI.PopEst","rounded.GL.95LCI.PopEst","rounded.GL.95UCI.PopEst","rounded.WH.mean.PopEst","rounded.WH.med.PopEst","rounded.WH.80LCI.PopEst","rounded.WH.80UCI.PopEst","rounded.WH.95LCI.PopEst","rounded.WH.95UCI.PopEst","rounded.USCAN.mean.PopEst","rounded.USCAN.med.PopEst","rounded.USCAN.80LCI.PopEst","rounded.USCAN.80UCI.PopEst","rounded.USCAN.95LCI.PopEst","rounded.USCAN.95UCI.PopEst","PS.Score","PS.80LCI.Score","PS.80UCI.Score","PS.95LCI.Score","PS.95UCI.Score","availability....ifelse.use_availability..TRUE..FALSE.","edr....ifelse.use_edr..TRUE..FALSE."
"Band-tailed Pigeon",3120,2962455.79663901,2960114.86917677,2332667.94299085,3622651.77621783,2114383.96085939,3890584.2373963,2962455.79663901,2960114.86917677,2332667.94299085,3622651.77621783,2114383.96085939,3890584.2373963,1392650.47,1391550,1096587.2,1703008.6,993971.9,1828963.65,2960000,2960000,2330000,3620000,2110000,3890000,2960000,2960000,2330000,3620000,2110000,3890000,1390000,1390000,1100000,1700000,994000,1830000,3,3,3,3,3,FALSE,FALSE
"Rock Pigeon",3131,155907021.255061,155879099.190283,145774310.728745,166312374.493927,138834657.135628,170026674.595142,46762640.2550091,46754265.3309047,43723442.3193685,49883614.4505161,41641967.5925926,50997678.9617486,15403613.7,15400855,14402501.9,16431662.6,13716864.125,16798635.45,1.56e+08,1.56e+08,1.46e+08,1.66e+08,1.39e+08,1.7e+08,46800000,46800000,43700000,49900000,41600000,5.1e+07,15400000,15400000,14400000,16400000,13700000,16800000,1,1,1,1,1,FALSE,FALSE
"Mourning Dove",3160,146279586.280238,145759440.808695,140262723.2675,153504786.841183,138573829.642398,156767440.545752,146279586.280238,145759440.808695,140262723.2675,153504786.841183,138573829.642398,156767440.545752,125171441.98,124726353.5,120022812.3,131354046.1,118577626.025,134145898.875,1.46e+08,1.46e+08,1.4e+08,1.54e+08,1.39e+08,1.57e+08,1.46e+08,1.46e+08,1.4e+08,1.54e+08,1.39e+08,1.57e+08,1.25e+08,1.25e+08,1.2e+08,1.31e+08,1.19e+08,1.34e+08,1,1,1,1,1,FALSE,FALSE
"White-winged Dove",3190,8586129.80062959,8389724.55403988,7056009.79363414,10272351.3466247,6253174.44910808,11740298.6621196,8586129.80062959,8389724.55403988,7056009.79363414,10272351.3466247,6253174.44910808,11740298.6621196,4909549.02,4797244.5,4034626.4,5873730.5,3575565.15,6713102.775,8590000,8390000,7060000,10300000,6250000,11700000,8590000,8390000,7060000,10300000,6250000,11700000,4910000,4800000,4030000,5870000,3580000,6710000,2,2,2,2,2,FALSE,FALSE
"Common Ground-Dove",3200,9864181.37813212,9912733.48519362,8412170.8428246,11234603.0751708,7982467.25512528,12099803.5307517,9864181.37813212,9912733.48519362,8412170.8428246,11234603.0751708,7982467.25512528,12099803.5307517,1732150.25,1740676,1477177.2,1972796.3,1401721.25,2124725.5,9860000,9910000,8410000,11200000,7980000,12100000,9860000,9910000,8410000,11200000,7980000,12100000,1730000,1740000,1480000,1970000,1400000,2120000,2,2,2,2,2,FALSE,FALSE
"Inca Dove",3210,1145409.33780897,1140263.96093988,999446.444919133,1341443.69850473,941203.234665853,1442445.52944767,1145409.33780897,1140263.96093988,999446.444919133,1341443.69850473,941203.234665853,1442445.52944767,375350.64,373664.5,327518.6,439591.1,308432.3,472689.4,1150000,1140000,999000,1340000,941000,1440000,1150000,1140000,999000,1340000,941000,1440000,375000,374000,328000,440000,308000,473000,3,3,3,3,3,FALSE,FALSE
"Turkey Vulture",3250,31544839.7023191,31526862.2360678,29899345.448252,32787719.9723088,29227945.7424714,33593008.8265836,31544839.7023191,31526862.2360678,29899345.448252,32787719.9723088,29227945.7424714,33593008.8265836,9113304.19,9108110.5,8637920.9,9472372.3,8443953.525,9705020.25,31500000,31500000,29900000,32800000,29200000,33600000,31500000,31500000,29900000,32800000,29200000,33600000,9110000,9110000,8640000,9470000,8440000,9710000,2,2,2,2,2,FALSE,FALSE
"Black Vulture",3260,23305252.637486,23224208.7542088,20875404.040404,26306331.0886644,19702581.6498316,27674575.1964085,23305252.637486,23224208.7542088,20875404.040404,26306331.0886644,19702581.6498316,27674575.1964085,2076498.01,2069277,1859998.5,2343894.1,1755500.025,2465804.65,23300000,23200000,20900000,26300000,19700000,27700000,23300000,23200000,20900000,26300000,19700000,27700000,2080000,2070000,1860000,2340000,1760000,2470000,2,2,2,2,2,FALSE,FALSE
"Swallow-tailed Kite",3270,1960326.92307692,1914108.39160839,1418349.65034965,2486262.23776224,1343530.59440559,2892618.00699301,1960326.92307692,1914108.39160839,1418349.65034965,2486262.23776224,1343530.59440559,2892618.00699301,56065.35,54743.5,40564.8,71107.1,38424.975,82728.875,1960000,1910000,1420000,2490000,1340000,2890000,1960000,1910000,1420000,2490000,1340000,2890000,56100,54700,40600,71100,38400,82700,3,3,3,3,3,FALSE,FALSE
"White-tailed Kite",3280,173728.398058252,167621.359223301,111463.59223301,235932.038834952,98398.0582524272,272067.961165048,173728.398058252,167621.359223301,111463.59223301,235932.038834952,98398.0582524272,272067.961165048,7157.61,6906,4592.3,9720.4,4054,11209.2,174000,168000,111000,236000,98400,272000,174000,168000,111000,236000,98400,272000,7160,6910,4590,9720,4050,11200,4,4,4,4,4,FALSE,FALSE
"Mississippi Kite",3290,755832.47,737770.5,674032.6,870103.4,626746.15,913115.025,755832.47,737770.5,674032.6,870103.4,626746.15,913115.025,755832.47,737770.5,674032.6,870103.4,626746.15,913115.025,756000,738000,674000,870000,627000,913000,756000,738000,674000,870000,627000,913000,756000,738000,674000,870000,627000,913000,3,3,3,3,3,FALSE,FALSE
"Northern Harrier",3310,1321623.86204131,1320512.33206336,1217244.8365751,1424745.53839984,1163430.1183076,1475275.56647283,660878.191116013,660322.37040008,608683.445302316,712444.199338213,581773.388148,737711.746716134,659093.82,658539.5,607040,710520.6,580202.6,735719.925,1320000,1320000,1220000,1420000,1160000,1480000,661000,660000,609000,712000,582000,738000,659000,659000,607000,711000,580000,736000,3,3,3,3,3,FALSE,FALSE
"Sharp-shinned Hawk",3320,371384.082076792,372390.797450645,328357.997823721,414192.911549821,307260.29846106,433995.103373232,371384.082076792,372390.797450645,328357.997823721,414192.911549821,307260.29846106,433995.103373232,238911.38,239559,211232.7,266450.3,197660.55,279189.05,371000,372000,328000,414000,307000,434000,371000,372000,328000,414000,307000,434000,239000,240000,211000,266000,198000,279000,4,4,4,4,4,FALSE,FALSE
"Cooper's Hawk",3330,853014.770050189,854728.054901158,794052.442896651,904168.390863464,778510.06350507,929542.584246646,853014.770050189,854728.054901158,794052.442896651,904168.390863464,778510.06350507,929542.584246646,832798.32,834471,775233.4,882739.6,760059.375,907512.425,853000,855000,794000,904000,779000,930000,853000,855000,794000,904000,779000,930000,833000,834000,775000,883000,760000,908000,3,3,3,3,3,FALSE,FALSE
"Northern Goshawk",3340,330375.534979424,325587.448559671,259186.21399177,407336.21399177,232987.448559671,471317.849794239,165187.767489712,162793.724279835,129593.106995885,203668.106995885,116493.724279835,235658.924897119,160562.51,158235.5,125964.5,197965.4,113231.9,229060.475,330000,326000,259000,407000,233000,471000,165000,163000,130000,204000,116000,236000,161000,158000,126000,198000,113000,229000,4,4,4,4,4,FALSE,FALSE
"Harris's Hawk",3350,812845.840707965,773725.663716814,545306.194690265,1143136.28318584,463007.079646018,1304861.94690265,812845.840707965,773725.663716814,545306.194690265,1143136.28318584,463007.079646018,1304861.94690265,45925.79,43715.5,30809.8,64587.2,26159.9,73724.7,813000,774000,545000,1140000,463000,1300000,813000,774000,545000,1140000,463000,1300000,45900,43700,30800,64600,26200,73700,3,3,3,4,3,FALSE,FALSE
"Red-tailed Hawk",3370,3183951.03725184,3183178.67499442,3034243.25228642,3336699.97769351,2964777.38121793,3392304.00959179,3183951.03725184,3183178.67499442,3034243.25228642,3336699.97769351,2964777.38121793,3392304.00959179,2854730.5,2854038,2720502.5,2991685.2,2658219.4,3041539.775,3180000,3180000,3030000,3340000,2960000,3390000,3180000,3180000,3030000,3340000,2960000,3390000,2850000,2850000,2720000,2990000,2660000,3040000,3,3,3,3,3,FALSE,FALSE
"Red-shouldered Hawk",3390,2316325.90336987,2293226.24847747,2148395.96021112,2517230.51157125,2075500.50751117,2586420.9043849,2316325.90336987,2293226.24847747,2148395.96021112,2517230.51157125,2075500.50751117,2586420.9043849,2282044.28,2259286.5,2116599.7,2479975.5,2044783.1,2548141.875,2320000,2290000,2150000,2520000,2080000,2590000,2320000,2290000,2150000,2520000,2080000,2590000,2280000,2260000,2120000,2480000,2040000,2550000,3,3,3,3,3,FALSE,FALSE
