"cn","To.ProvBCR","From.ProvBCR","RngAdj","To.BCR","To.Prov","From.BCR","From.Prov"
"Red-tailed Hawk","38-21","67-21",1,21,"KS",21,"OK"
"Northern Flicker","38-21","67-21",1,21,"KS",21,"OK"
"Painted Bunting","38-24","67-24",1,24,"KS",24,"OK"
"Bank Swallow","38-24","67-24",2,24,"KS",24,"OK"
"Chipping Sparrow","38-24","67-24",1,24,"KS",24,"OK"
"Field Sparrow","38-24","67-24",1,24,"KS",24,"OK"
"Barn Swallow","38-24","67-24",1,24,"KS",24,"OK"
"Warbling Vireo","38-21","67-21",1,21,"KS",21,"OK"
"Cliff Swallow","38-24","67-24",1,24,"KS",24,"OK"
"Greater Roadrunner","38-21","67-21",0.52,21,"KS",21,"OK"
"Painted Bunting","38-21","67-21",1,21,"KS",21,"OK"
"Eastern Kingbird","38-21","67-21",1,21,"KS",21,"OK"
"Chuck-will's-widow","38-24","67-24",1,24,"KS",24,"OK"
"Black-billed Cuckoo","38-21","67-21",1,21,"KS",21,"OK"
"Eastern Meadowlark","38-21","67-21",1,21,"KS",21,"OK"
"Summer Tanager","38-21","67-21",1.16,21,"KS",21,"OK"
"Eastern Wood-Pewee","38-24","67-24",1,24,"KS",24,"OK"
"Swainson's Hawk","38-21","67-21",1.35,21,"KS",21,"OK"
"House Finch","38-24","67-24",2,24,"KS",24,"OK"
"White-eyed Vireo","38-24","67-24",1,24,"KS",24,"OK"
"Red-winged Blackbird","38-24","67-24",1,24,"KS",24,"OK"
"Chuck-will's-widow","38-21","67-21",1.02,21,"KS",21,"OK"
"American Kestrel","38-21","67-21",1,21,"KS",21,"OK"
"Bewick's Wren","38-24","67-24",1,24,"KS",24,"OK"
"Eastern Bluebird","38-21","67-21",1,21,"KS",21,"OK"
"Eastern Screech-Owl","38-24","67-24",1,24,"KS",24,"OK"
"Scissor-tailed Flycatcher","38-24","67-24",1,24,"KS",24,"OK"
"Acadian Flycatcher","38-24","67-24",1,24,"KS",24,"OK"
"Gray Catbird","38-24","67-24",1,24,"KS",24,"OK"
"American Goldfinch","38-21","67-21",1.06,21,"KS",21,"OK"
"Blue Grosbeak","38-21","67-21",1,21,"KS",21,"OK"
"Barn Swallow","38-21","67-21",1,21,"KS",21,"OK"
"Wild Turkey","38-21","67-21",1,21,"KS",21,"OK"
"American Crow","38-21","67-21",1,21,"KS",21,"OK"
"Ruby-throated Hummingbird","38-21","67-21",1.13,21,"KS",21,"OK"
"House Wren","38-24","67-24",1.7,24,"KS",24,"OK"
"Belted Kingfisher","38-24","67-24",1,24,"KS",24,"OK"
"Yellow Warbler","38-24","67-24",1,24,"KS",24,"OK"
"Ruby-throated Hummingbird","38-24","67-24",1,24,"KS",24,"OK"
"Gray Catbird","38-21","67-21",1,21,"KS",21,"OK"
"Prairie Warbler","21-29","72-29",1.41,29,"DE",29,"PA"
"Eastern Wood-Pewee","21-29","72-29",1,29,"DE",29,"PA"
"American Robin","21-29","72-29",1,29,"DE",29,"PA"
"White-eyed Vireo","21-29","72-29",1,29,"DE",29,"PA"
"American Goldfinch","21-29","72-29",1,29,"DE",29,"PA"
"Northern Flicker","21-29","72-29",1,29,"DE",29,"PA"
"Barred Owl","21-29","72-29",1,29,"DE",29,"PA"
"Red-eyed Vireo","21-29","72-29",1,29,"DE",29,"PA"
"Seaside Sparrow","21-29","72-29",2,29,"DE",29,"PA"
"Red-tailed Hawk","21-29","72-29",1,29,"DE",29,"PA"
"Chimney Swift","21-29","72-29",1,29,"DE",29,"PA"
"Cedar Waxwing","21-29","72-29",1,29,"DE",29,"PA"
"American Crow","21-29","72-29",1,29,"DE",29,"PA"
"Eastern Meadowlark","21-29","72-29",1,29,"DE",29,"PA"
"Northern Harrier","21-29","72-29",1,29,"DE",29,"PA"
"Brown Thrasher","21-29","72-29",1,29,"DE",29,"PA"
"Pileated Woodpecker","21-29","72-29",1,29,"DE",29,"PA"
"Marsh Wren","21-29","72-29",1,29,"DE",29,"PA"
"Scarlet Tanager","21-29","72-29",1,29,"DE",29,"PA"
"Northern Mockingbird","21-29","72-29",1,29,"DE",29,"PA"
"Cooper's Hawk","21-29","72-29",1,29,"DE",29,"PA"
"European Starling","21-29","72-29",1,29,"DE",29,"PA"
"Wood Thrush","21-29","72-29",1,29,"DE",29,"PA"
"Hooded Warbler","21-29","72-29",1,29,"DE",29,"PA"
"Tufted Titmouse","21-29","72-29",1,29,"DE",29,"PA"
"Worm-eating Warbler","21-29","72-29",1,29,"DE",29,"PA"
"Cerulean Warbler","21-29","72-29",1,29,"DE",29,"PA"
"American Kestrel","21-29","72-29",1,29,"DE",29,"PA"
"Orchard Oriole","21-29","72-29",1,29,"DE",29,"PA"
"Osprey","21-29","72-29",2,29,"DE",29,"PA"
"Swamp Sparrow","21-29","72-29",1,29,"DE",29,"PA"
"Acadian Flycatcher","21-29","72-29",1,29,"DE",29,"PA"
"House Wren","21-29","72-29",1,29,"DE",29,"PA"
"Chipping Sparrow","21-29","72-29",1,29,"DE",29,"PA"
"Common Grackle","21-29","72-29",1,29,"DE",29,"PA"
"Barn Owl","21-29","72-29",1.12,29,"DE",29,"PA"
"Mourning Dove","21-29","72-29",1,29,"DE",29,"PA"
"Baltimore Oriole","21-29","72-29",1,29,"DE",29,"PA"
"Eastern Kingbird","21-29","72-29",1,29,"DE",29,"PA"
"Blue-winged Warbler","21-29","72-29",1,29,"DE",29,"PA"
"Carolina Chickadee","21-29","72-29",1,29,"DE",29,"PA"
"Northern Rough-winged Swallow","21-29","72-29",1,29,"DE",29,"PA"
"Rock Pigeon","21-29","72-29",1,29,"DE",29,"PA"
"Louisiana Waterthrush","21-29","72-29",1,29,"DE",29,"PA"
"Black-and-white Warbler","21-29","72-29",1,29,"DE",29,"PA"
"Black Vulture","21-29","72-29",2,29,"DE",29,"PA"
"House Finch","21-29","72-29",1,29,"DE",29,"PA"
"Rose-breasted Grosbeak","21-29","72-29",1,29,"DE",29,"PA"
"Eastern Bluebird","21-29","72-29",1,29,"DE",29,"PA"
"Prothonotary Warbler","21-29","72-29",1.78,29,"DE",29,"PA"
"Eastern Screech-Owl","21-29","72-29",1,29,"DE",29,"PA"
"Northern Cardinal","21-29","72-29",1,29,"DE",29,"PA"
"Northern Parula","21-29","72-29",0.45,29,"DE",29,"PA"
"Turkey Vulture","21-29","72-29",1,29,"DE",29,"PA"
"Ruffed Grouse","21-29","72-29",1.12,29,"DE",29,"PA"
"Horned Lark","21-29","72-29",1,29,"DE",29,"PA"
"Yellow-breasted Chat","21-29","72-29",1,29,"DE",29,"PA"
"Barn Swallow","21-29","72-29",1,29,"DE",29,"PA"
"Red-headed Woodpecker","21-29","72-29",1,29,"DE",29,"PA"
"Wild Turkey","21-29","72-29",0.38,29,"DE",29,"PA"
"Red-bellied Woodpecker","21-29","72-29",1,29,"DE",29,"PA"
"Eastern Phoebe","21-29","72-29",1,29,"DE",29,"PA"
"Downy Woodpecker","21-29","72-29",1,29,"DE",29,"PA"
"House Sparrow","21-29","72-29",1,29,"DE",29,"PA"
"Blue Jay","21-29","72-29",1,29,"DE",29,"PA"
"American Redstart","21-29","72-29",1,29,"DE",29,"PA"
"Ring-necked Pheasant","21-29","72-29",1,29,"DE",29,"PA"
"Purple Martin","21-29","72-29",1,29,"DE",29,"PA"
"Common Nighthawk","21-29","72-29",1,29,"DE",29,"PA"
"Grasshopper Sparrow","21-29","72-29",1,29,"DE",29,"PA"
"Bank Swallow","21-29","72-29",1,29,"DE",29,"PA"
"Indigo Bunting","21-29","72-29",1,29,"DE",29,"PA"
"Belted Kingfisher","21-29","72-29",1,29,"DE",29,"PA"
"Yellow Warbler","21-29","72-29",1,29,"DE",29,"PA"
"Kentucky Warbler","21-29","72-29",1,29,"DE",29,"PA"
"Broad-winged Hawk","21-29","72-29",1,29,"DE",29,"PA"
"Brown-headed Cowbird","21-29","72-29",1,29,"DE",29,"PA"
"Ovenbird","21-29","72-29",1,29,"DE",29,"PA"
"Great Crested Flycatcher","21-29","72-29",1,29,"DE",29,"PA"
"Fish Crow","21-29","72-29",1,29,"DE",29,"PA"
"Gray Catbird","21-29","72-29",1,29,"DE",29,"PA"
"White-breasted Nuthatch","21-29","72-29",1,29,"DE",29,"PA"
"Hairy Woodpecker","21-29","72-29",1,29,"DE",29,"PA"
"Eastern Towhee","21-29","72-29",1,29,"DE",29,"PA"
"Blue Grosbeak","21-29","72-29",1.16,29,"DE",29,"PA"
"Common Yellowthroat","21-29","72-29",1,29,"DE",29,"PA"
"Red-shouldered Hawk","21-29","72-29",1,29,"DE",29,"PA"
"Carolina Wren","21-29","72-29",1,29,"DE",29,"PA"
"Ruby-throated Hummingbird","21-29","72-29",1,29,"DE",29,"PA"
"Great Horned Owl","21-29","72-29",1,29,"DE",29,"PA"
"Red-winged Blackbird","21-29","72-29",1,29,"DE",29,"PA"
"Field Sparrow","21-29","72-29",1,29,"DE",29,"PA"
"Willow Flycatcher","21-29","72-29",1,29,"DE",29,"PA"
"Sharp-shinned Hawk","21-29","72-29",1,29,"DE",29,"PA"
"Tree Swallow","21-29","72-29",1,29,"DE",29,"PA"
"Northern Bobwhite","21-29","72-29",1,29,"DE",29,"PA"
"Savannah Sparrow","21-29","72-29",0.4,29,"DE",29,"PA"
"Saltmarsh Sparrow","21-29","72-29",2,29,"DE",29,"PA"
"Yellow-billed Cuckoo","21-29","72-29",1,29,"DE",29,"PA"
"Black-billed Cuckoo","21-29","72-29",1,29,"DE",29,"PA"
"Blue-gray Gnatcatcher","21-29","72-29",1,29,"DE",29,"PA"
"Bald Eagle","21-29","72-29",2,29,"DE",29,"PA"
"Warbling Vireo","21-29","72-29",1,29,"DE",29,"PA"
"Song Sparrow","21-29","72-29",1,29,"DE",29,"PA"
"Marsh Wren","54-17","81-17",2,17,"NE",17,"SD"
"European Starling","54-17","81-17",1,17,"NE",17,"SD"
"Brewer's Sparrow","54-17","81-17",1.31,17,"NE",17,"SD"
"Eastern Bluebird","54-17","81-17",0.12,17,"NE",17,"SD"
"Dickcissel","54-17","81-17",1,17,"NE",17,"SD"
"Brewer's Blackbird","54-17","81-17",0.78,17,"NE",17,"SD"
"Barn Swallow","54-17","81-17",1,17,"NE",17,"SD"
"Western Tanager","54-17","81-17",1,17,"NE",17,"SD"
"Black-billed Cuckoo","54-17","81-17",1,17,"NE",17,"SD"
"Black-headed Grosbeak","54-17","81-17",1.05,17,"NE",17,"SD"
"Red-winged Blackbird","54-17","81-17",1,17,"NE",17,"SD"
"Northern Harrier","54-17","81-17",1,17,"NE",17,"SD"
"Wild Turkey","54-17","81-17",0.22,17,"NE",17,"SD"
"Rock Pigeon","54-17","81-17",1,17,"NE",17,"SD"
"American Goldfinch","54-17","81-17",1,17,"NE",17,"SD"
"Greater Sage-Grouse","54-17","81-17",2,17,"NE",17,"SD"
"Prairie Falcon","54-17","81-17",0.97,17,"NE",17,"SD"
"Chipping Sparrow","54-17","81-17",1,17,"NE",17,"SD"
"Tree Swallow","54-17","81-17",0.19,17,"NE",17,"SD"
"Western Kingbird","54-17","81-17",1,17,"NE",17,"SD"
"Hairy Woodpecker","54-17","81-17",1,17,"NE",17,"SD"
"Burrowing Owl","54-17","81-17",1,17,"NE",17,"SD"
"Lazuli Bunting","54-17","81-17",1.19,17,"NE",17,"SD"
"White-throated Swift","54-17","81-17",0.74,17,"NE",17,"SD"
"Yellow-headed Blackbird","54-17","81-17",1,17,"NE",17,"SD"
"Common Poorwill","54-17","81-17",1.08,17,"NE",17,"SD"
"Blue Grosbeak","54-17","81-17",0.83,17,"NE",17,"SD"
"Mountain Bluebird","54-17","81-17",1.5,17,"NE",17,"SD"
"Field Sparrow","54-17","81-17",1.21,17,"NE",17,"SD"
"Eastern Kingbird","54-17","81-17",1,17,"NE",17,"SD"
"Indigo Bunting","54-17","81-17",0.88,17,"NE",17,"SD"
"Lark Sparrow","54-17","81-17",1,17,"NE",17,"SD"
"American Robin","54-17","81-17",1,17,"NE",17,"SD"
"Orchard Oriole","54-17","81-17",1.02,17,"NE",17,"SD"
"White-breasted Nuthatch","54-17","81-17",1,17,"NE",17,"SD"
"Turkey Vulture","54-17","81-17",1,17,"NE",17,"SD"
"Cedar Waxwing","54-17","81-17",0.63,17,"NE",17,"SD"
"Northern Flicker","54-17","81-17",1,17,"NE",17,"SD"
"Black-capped Chickadee","54-17","81-17",1,17,"NE",17,"SD"
"Swainson's Hawk","54-17","81-17",1,17,"NE",17,"SD"
"Common Grackle","54-17","81-17",1,17,"NE",17,"SD"
"Red Crossbill","54-17","81-17",2,17,"NE",17,"SD"
"Gray Partridge","54-17","81-17",0.76,17,"NE",17,"SD"
"Short-eared Owl","54-17","81-17",1,17,"NE",17,"SD"
"Northern Bobwhite","54-17","81-17",2,17,"NE",17,"SD"
"Cooper's Hawk","54-17","81-17",1,17,"NE",17,"SD"
"Belted Kingfisher","54-17","81-17",1,17,"NE",17,"SD"
"House Wren","54-17","81-17",1,17,"NE",17,"SD"
"American Crow","54-17","81-17",1,17,"NE",17,"SD"
"Greater Prairie-Chicken","54-17","81-17",1.72,17,"NE",17,"SD"
"Warbling Vireo","54-17","81-17",1,17,"NE",17,"SD"
"Western Wood-Pewee","54-17","81-17",2,17,"NE",17,"SD"
"Vesper Sparrow","54-17","81-17",1,17,"NE",17,"SD"
"Say's Phoebe","54-17","81-17",1,17,"NE",17,"SD"
"Yellow-breasted Chat","54-17","81-17",1,17,"NE",17,"SD"
"Eastern Phoebe","54-17","81-17",0.65,17,"NE",17,"SD"
"Red-eyed Vireo","54-17","81-17",1,17,"NE",17,"SD"
"Veery","54-17","81-17",0.78,17,"NE",17,"SD"
"Plumbeous Vireo","54-17","81-17",1,17,"NE",17,"SD"
"Ring-necked Pheasant","54-17","81-17",1,17,"NE",17,"SD"
"Barn Owl","54-17","81-17",2,17,"NE",17,"SD"
"Northern Mockingbird","54-17","81-17",1,17,"NE",17,"SD"
"Red-tailed Hawk","54-17","81-17",1,17,"NE",17,"SD"
"Mourning Dove","54-17","81-17",1,17,"NE",17,"SD"
"Red-headed Woodpecker","54-17","81-17",1,17,"NE",17,"SD"
"Savannah Sparrow","54-17","81-17",0.53,17,"NE",17,"SD"
"Purple Martin","54-17","81-17",2,17,"NE",17,"SD"
"Sharp-tailed Grouse","54-17","81-17",1.97,17,"NE",17,"SD"
"House Finch","54-17","81-17",2,17,"NE",17,"SD"
"Black-billed Magpie","54-17","81-17",0.72,17,"NE",17,"SD"
"American Redstart","54-17","81-17",2,17,"NE",17,"SD"
"Common Yellowthroat","54-17","81-17",1,17,"NE",17,"SD"
"Ferruginous Hawk","54-17","81-17",1,17,"NE",17,"SD"
"Long-eared Owl","54-17","81-17",0.87,17,"NE",17,"SD"
"Sage Thrasher","54-17","81-17",0.38,17,"NE",17,"SD"
"Yellow Warbler","54-17","81-17",1,17,"NE",17,"SD"
"Ovenbird","54-17","81-17",0.9,17,"NE",17,"SD"
"Northern Cardinal","54-17","81-17",2,17,"NE",17,"SD"
"Lewis's Woodpecker","54-17","81-17",1.99,17,"NE",17,"SD"
"Lark Bunting","54-17","81-17",1,17,"NE",17,"SD"
"Great Horned Owl","54-17","81-17",1,17,"NE",17,"SD"
"Bobolink","54-17","81-17",1.03,17,"NE",17,"SD"
"Horned Lark","54-17","81-17",1,17,"NE",17,"SD"
"Eastern Screech-Owl","54-17","81-17",1.01,17,"NE",17,"SD"
"Pygmy Nuthatch","54-17","81-17",1.78,17,"NE",17,"SD"
"Bell's Vireo","54-17","81-17",1.69,17,"NE",17,"SD"
"Least Flycatcher","54-17","81-17",0.49,17,"NE",17,"SD"
"Golden Eagle","54-17","81-17",0.74,17,"NE",17,"SD"
"Downy Woodpecker","54-17","81-17",1,17,"NE",17,"SD"
"Brown Thrasher","54-17","81-17",1,17,"NE",17,"SD"
"Cordilleran Flycatcher","54-17","81-17",0.19,17,"NE",17,"SD"
"Blue Jay","54-17","81-17",1,17,"NE",17,"SD"
"Yellow-billed Cuckoo","54-17","81-17",1.71,17,"NE",17,"SD"
"Grasshopper Sparrow","54-17","81-17",1,17,"NE",17,"SD"
"Cliff Swallow","54-17","81-17",1,17,"NE",17,"SD"
"Western Meadowlark","54-17","81-17",1,17,"NE",17,"SD"
"Song Sparrow","54-17","81-17",1,17,"NE",17,"SD"
"Brown-headed Cowbird","54-17","81-17",1,17,"NE",17,"SD"
"Loggerhead Shrike","54-17","81-17",1,17,"NE",17,"SD"
"Northern Rough-winged Swallow","54-17","81-17",1,17,"NE",17,"SD"
"Common Nighthawk","54-17","81-17",1,17,"NE",17,"SD"
"Gray Catbird","54-17","81-17",1,17,"NE",17,"SD"
"Pinyon Jay","54-17","81-17",1.51,17,"NE",17,"SD"
"House Sparrow","54-17","81-17",1,17,"NE",17,"SD"
"Eastern Meadowlark","54-17","81-17",2,17,"NE",17,"SD"
"Chimney Swift","54-17","81-17",2,17,"NE",17,"SD"
"Eastern Wood-Pewee","54-17","81-17",2,17,"NE",17,"SD"
"Ruby-crowned Kinglet","54-17","81-17",1.12,17,"NE",17,"SD"
"Rock Wren","54-17","81-17",0.85,17,"NE",17,"SD"
"Chestnut-collared Longspur","54-17","81-17",0.67,17,"NE",17,"SD"
"Baltimore Oriole","54-17","81-17",0.96,17,"NE",17,"SD"
"Bank Swallow","54-17","81-17",1,17,"NE",17,"SD"
"Willow Flycatcher","54-17","81-17",1,17,"NE",17,"SD"
"American Kestrel","54-17","81-17",1,17,"NE",17,"SD"
"Great Crested Flycatcher","54-17","81-17",2,17,"NE",17,"SD"
"Northern Mockingbird","33-16","85-16",1,16,"ID",16,"UT"
"Common Poorwill","33-16","85-16",1,16,"ID",16,"UT"
"Mountain Chickadee","33-16","85-16",1,16,"ID",16,"UT"
"White-breasted Nuthatch","33-16","85-16",1,16,"ID",16,"UT"
"Western Screech-Owl","33-16","85-16",1,16,"ID",16,"UT"
"Barn Owl","33-16","85-16",1.97,16,"ID",16,"UT"
"Cordilleran Flycatcher","33-16","85-16",1.02,16,"ID",16,"UT"
"Yellow-breasted Chat","33-16","85-16",1.15,16,"ID",16,"UT"
"Marsh Wren","33-16","85-16",1.76,16,"ID",16,"UT"
"Northern Goshawk","33-16","85-16",1,16,"ID",16,"UT"
"Rock Wren","33-16","85-16",1,16,"ID",16,"UT"
"Common Raven","33-16","85-16",1,16,"ID",16,"UT"
"Mountain Bluebird","33-16","85-16",1,16,"ID",16,"UT"
"Golden-crowned Kinglet","33-16","85-16",1,16,"ID",16,"UT"
"Turkey Vulture","33-16","85-16",1,16,"ID",16,"UT"
"Lark Sparrow","33-16","85-16",1,16,"ID",16,"UT"
"Red-tailed Hawk","33-16","85-16",1,16,"ID",16,"UT"
"Red-winged Blackbird","33-16","85-16",1,16,"ID",16,"UT"
"Canyon Wren","33-16","85-16",1,16,"ID",16,"UT"
"Western Wood-Pewee","33-16","85-16",1,16,"ID",16,"UT"
"Townsend's Solitaire","33-16","85-16",0.64,16,"ID",16,"UT"
"Prairie Falcon","33-16","85-16",1,16,"ID",16,"UT"
"American Goldfinch","33-16","85-16",2,16,"ID",16,"UT"
"Dusky Flycatcher","33-16","85-16",1,16,"ID",16,"UT"
"Common Grackle","33-16","85-16",2,16,"ID",16,"UT"
"Yellow-rumped Warbler","33-16","85-16",1,16,"ID",16,"UT"
"Gray Partridge","33-16","85-16",2,16,"ID",16,"UT"
"Brown Creeper","33-16","85-16",1,16,"ID",16,"UT"
"Great Horned Owl","33-16","85-16",1,16,"ID",16,"UT"
"Violet-green Swallow","33-16","85-16",1,16,"ID",16,"UT"
"Ash-throated Flycatcher","33-16","85-16",1,16,"ID",16,"UT"
"Red-naped Sapsucker","33-16","85-16",1,16,"ID",16,"UT"
"Calliope Hummingbird","33-16","85-16",2,16,"ID",16,"UT"
"Ruby-crowned Kinglet","33-16","85-16",1.68,16,"ID",16,"UT"
"Brown-headed Cowbird","33-16","85-16",1,16,"ID",16,"UT"
"Song Sparrow","33-16","85-16",1.03,16,"ID",16,"UT"
"Rock Pigeon","33-16","85-16",1,16,"ID",16,"UT"
"Bobolink","33-16","85-16",2,16,"ID",16,"UT"
"MacGillivray's Warbler","33-16","85-16",1.29,16,"ID",16,"UT"
"Northern Rough-winged Swallow","33-16","85-16",1,16,"ID",16,"UT"
"Swainson's Thrush","33-16","85-16",2,16,"ID",16,"UT"
"Peregrine Falcon","33-16","85-16",1,16,"ID",16,"UT"
"Chipping Sparrow","33-16","85-16",1,16,"ID",16,"UT"
"Hermit Thrush","33-16","85-16",1,16,"ID",16,"UT"
"Common Yellowthroat","33-16","85-16",2,16,"ID",16,"UT"
"Western Kingbird","33-16","85-16",1,16,"ID",16,"UT"
"Juniper Titmouse","33-16","85-16",0.83,16,"ID",16,"UT"
"Bushtit","33-16","85-16",0.07,16,"ID",16,"UT"
"Northern Harrier","33-16","85-16",1,16,"ID",16,"UT"
"Cliff Swallow","33-16","85-16",1,16,"ID",16,"UT"
"Pine Siskin","33-16","85-16",1,16,"ID",16,"UT"
"Sage Thrasher","33-16","85-16",1,16,"ID",16,"UT"
"Brewer's Sparrow","33-16","85-16",1,16,"ID",16,"UT"
"Flammulated Owl","33-16","85-16",2,16,"ID",16,"UT"
"Olive-sided Flycatcher","33-16","85-16",1,16,"ID",16,"UT"
"American Three-toed Woodpecker","33-16","85-16",1.11,16,"ID",16,"UT"
"Ring-necked Pheasant","33-16","85-16",1.07,16,"ID",16,"UT"
"Red Crossbill","33-16","85-16",1,16,"ID",16,"UT"
"American Dipper","33-16","85-16",0.19,16,"ID",16,"UT"
"Yellow Warbler","33-16","85-16",1,16,"ID",16,"UT"
"Sharp-tailed Grouse","33-16","85-16",2,16,"ID",16,"UT"
"Bullock's Oriole","33-16","85-16",1,16,"ID",16,"UT"
"Greater Sage-Grouse","33-16","85-16",1.03,16,"ID",16,"UT"
"Bank Swallow","33-16","85-16",2,16,"ID",16,"UT"
"House Sparrow","33-16","85-16",1,16,"ID",16,"UT"
"Black-headed Grosbeak","33-16","85-16",1,16,"ID",16,"UT"
"Black-chinned Hummingbird","33-16","85-16",1,16,"ID",16,"UT"
"Western Scrub-Jay","33-16","85-16",1,16,"ID",16,"UT"
"American Crow","33-16","85-16",2,16,"ID",16,"UT"
"Short-eared Owl","33-16","85-16",2,16,"ID",16,"UT"
"Mourning Dove","33-16","85-16",1,16,"ID",16,"UT"
"Yellow-billed Cuckoo","33-16","85-16",2,16,"ID",16,"UT"
"Willow Flycatcher","33-16","85-16",1,16,"ID",16,"UT"
"Veery","33-16","85-16",2,16,"ID",16,"UT"
"Hammond's Flycatcher","33-16","85-16",1.1,16,"ID",16,"UT"
"Black-capped Chickadee","33-16","85-16",1.37,16,"ID",16,"UT"
"Brewer's Blackbird","33-16","85-16",1,16,"ID",16,"UT"
"Belted Kingfisher","33-16","85-16",1.22,16,"ID",16,"UT"
"Pine Grosbeak","33-16","85-16",2,16,"ID",16,"UT"
"Barn Swallow","33-16","85-16",1,16,"ID",16,"UT"
"Golden Eagle","33-16","85-16",1,16,"ID",16,"UT"
"American Kestrel","33-16","85-16",1,16,"ID",16,"UT"
"Swainson's Hawk","33-16","85-16",1,16,"ID",16,"UT"
"Sagebrush Sparrow","33-16","85-16",1,16,"ID",16,"UT"
"Horned Lark","33-16","85-16",1,16,"ID",16,"UT"
"Northern Saw-whet Owl","33-16","85-16",1.02,16,"ID",16,"UT"
"Say's Phoebe","33-16","85-16",1,16,"ID",16,"UT"
"Downy Woodpecker","33-16","85-16",1,16,"ID",16,"UT"
"Loggerhead Shrike","33-16","85-16",1,16,"ID",16,"UT"
"Northern Flicker","33-16","85-16",1,16,"ID",16,"UT"
"Black-billed Magpie","33-16","85-16",1,16,"ID",16,"UT"
"Cooper's Hawk","33-16","85-16",1,16,"ID",16,"UT"
"Eastern Kingbird","33-16","85-16",2,16,"ID",16,"UT"
"Vesper Sparrow","33-16","85-16",1,16,"ID",16,"UT"
"Yellow-headed Blackbird","33-16","85-16",1.1,16,"ID",16,"UT"
"Bald Eagle","33-16","85-16",2,16,"ID",16,"UT"
"Black-throated Sparrow","33-16","85-16",1.06,16,"ID",16,"UT"
"Burrowing Owl","33-16","85-16",1,16,"ID",16,"UT"
"White-throated Swift","33-16","85-16",1,16,"ID",16,"UT"
"Dark-eyed Junco","33-16","85-16",0.76,16,"ID",16,"UT"
"White-crowned Sparrow","33-16","85-16",1.21,16,"ID",16,"UT"
"Long-eared Owl","33-16","85-16",1,16,"ID",16,"UT"
"Evening Grosbeak","33-16","85-16",2,16,"ID",16,"UT"
"Tree Swallow","33-16","85-16",1.21,16,"ID",16,"UT"
"Spotted Towhee","33-16","85-16",1,16,"ID",16,"UT"
"House Finch","33-16","85-16",1,16,"ID",16,"UT"
"Sharp-shinned Hawk","33-16","85-16",1,16,"ID",16,"UT"
"Cedar Waxwing","33-16","85-16",2,16,"ID",16,"UT"
"Black-throated Gray Warbler","33-16","85-16",1,16,"ID",16,"UT"
"European Starling","33-16","85-16",1,16,"ID",16,"UT"
"Steller's Jay","33-16","85-16",1,16,"ID",16,"UT"
"Green-tailed Towhee","33-16","85-16",1,16,"ID",16,"UT"
"Western Tanager","33-16","85-16",1,16,"ID",16,"UT"
"Lazuli Bunting","33-16","85-16",1,16,"ID",16,"UT"
"Williamson's Sapsucker","33-16","85-16",2,16,"ID",16,"UT"
"Orange-crowned Warbler","33-16","85-16",1.17,16,"ID",16,"UT"
"Northern Pygmy-Owl","33-16","85-16",1.96,16,"ID",16,"UT"
"Osprey","33-16","85-16",1.79,16,"ID",16,"UT"
"American Robin","33-16","85-16",1,16,"ID",16,"UT"
"Fox Sparrow","33-16","85-16",2,16,"ID",16,"UT"
"Cassin's Finch","33-16","85-16",1,16,"ID",16,"UT"
"Lewis's Woodpecker","33-16","85-16",1.55,16,"ID",16,"UT"
"Gray Catbird","33-16","85-16",1.86,16,"ID",16,"UT"
"Hairy Woodpecker","33-16","85-16",1,16,"ID",16,"UT"
"Savannah Sparrow","33-16","85-16",1.07,16,"ID",16,"UT"
"Ruffed Grouse","33-16","85-16",2,16,"ID",16,"UT"
"House Wren","33-16","85-16",1,16,"ID",16,"UT"
"Clark's Nutcracker","33-16","85-16",1,16,"ID",16,"UT"
"Red-breasted Nuthatch","33-16","85-16",1.02,16,"ID",16,"UT"
"Western Meadowlark","33-16","85-16",1,16,"ID",16,"UT"
"Common Nighthawk","33-16","85-16",1,16,"ID",16,"UT"
"Warbling Vireo","33-16","85-16",1,16,"ID",16,"UT"
"Ferruginous Hawk","33-16","85-16",1.27,16,"ID",16,"UT"
"Blue-gray Gnatcatcher","33-16","85-16",0.16,16,"ID",16,"UT"
"Grasshopper Sparrow","33-16","85-16",2,16,"ID",16,"UT"
"Dark-eyed Junco","43-4","93-4",1,4,"NT",4,"YT"
"Bank Swallow","93-6","93-4",1,6,"YT",4,"YT"
"Yellow Warbler","93-6","93-4",1,6,"YT",4,"YT"
"American Redstart","43-4","93-4",0.09,4,"NT",4,"YT"
"Chipping Sparrow","93-6","93-4",0.6,6,"YT",4,"YT"
"Pine Siskin","43-4","93-4",0.82,4,"NT",4,"YT"
"Bald Eagle","43-4","93-4",1,4,"NT",4,"YT"
"Yellow-bellied Sapsucker","43-4","93-4",0.44,4,"NT",4,"YT"
"Fox Sparrow","43-4","93-4",1,4,"NT",4,"YT"
"Townsend's Solitaire","93-6","93-4",0.69,6,"YT",4,"YT"
"Red-winged Blackbird","93-6","93-4",0.04,6,"YT",4,"YT"
"Boreal Owl","93-6","93-4",1,6,"YT",4,"YT"
"Red-breasted Nuthatch","43-4","93-4",0.36,4,"NT",4,"YT"
"Northern Goshawk","43-4","93-4",1,4,"NT",4,"YT"
"Golden-crowned Kinglet","43-4","93-4",0.07,4,"NT",4,"YT"
