"cn","Aou","GL.mean.PopEst","GL.med.PopEst","GL.80LCI.PopEst","GL.80UCI.PopEst","GL.95LCI.PopEst","GL.95UCI.PopEst","WH.mean.PopEst","WH.med.PopEst","WH.80LCI.PopEst","WH.80UCI.PopEst","WH.95LCI.PopEst","WH.95UCI.PopEst","USCAN.mean.PopEst","USCAN.med.PopEst","USCAN.80LCI.PopEst","USCAN.80UCI.PopEst","USCAN.95LCI.PopEst","USCAN.95UCI.PopEst","rounded.GL.mean.PopEst","rounded.GL.med.PopEst","rounded.GL.80LCI.PopEst","rounded.GL.80UCI.PopEst","rounded.GL.95LCI.PopEst","rounded.GL.95UCI.PopEst","rounded.WH.mean.PopEst","rounded.WH.med.PopEst","rounded.WH.80LCI.PopEst","rounded.WH.80UCI.PopEst","rounded.WH.95LCI.PopEst","rounded.WH.95UCI.PopEst","rounded.USCAN.mean.PopEst","rounded.USCAN.med.PopEst","rounded.USCAN.80LCI.PopEst","rounded.USCAN.80UCI.PopEst","rounded.USCAN.95LCI.PopEst","rounded.USCAN.95UCI.PopEst","PS.Score","PS.80LCI.Score","PS.80UCI.Score","PS.95LCI.Score","PS.95UCI.Score","availability","edr"
"Band-tailed Pigeon",3120,24396801.2763242,24267830.2488832,20225979.578813,28734415.4435227,18921193.6821953,30085161.9336311,24396801.2763242,24267830.2488832,20225979.578813,28734415.4435227,18921193.6821953,30085161.9336311,11468936.28,11408307,9508233,13508048.7,8894853.15,14143034.625,24400000,24300000,20200000,28700000,18900000,30100000,24400000,24300000,20200000,28700000,18900000,30100000,11500000,11400000,9510000,13500000,8890000,14100000,2,2,2,2,2,TRUE,TRUE
"Rock Pigeon",3131,344969540.587045,345237186.234818,326676182.186235,362453884.615385,319578025.050607,369912329.706478,103469916.848816,103550194.292653,97983020.0364299,108714158.469945,95854003.8706739,110951239.146934,34082990.61,34109434,32275606.8,35810443.8,31574308.875,36547338.175,3.45e+08,3.45e+08,3.27e+08,3.62e+08,3.2e+08,3.7e+08,1.03e+08,1.04e+08,9.8e+07,1.09e+08,95900000,1.11e+08,34100000,34100000,32300000,35800000,31600000,36500000,1,1,1,1,1,TRUE,TRUE
"Mourning Dove",3160,365331050.286315,364433350.473297,357035005.258852,375025092.205212,354363366.13299,377521828.824354,365331050.286315,364433350.473297,357035005.258852,375025092.205212,354363366.13299,377521828.824354,312613779.73,311845618,305514854,320908971.4,303228732.4,323045428.925,3.65e+08,3.64e+08,3.57e+08,3.75e+08,3.54e+08,3.78e+08,3.65e+08,3.64e+08,3.57e+08,3.75e+08,3.54e+08,3.78e+08,3.13e+08,3.12e+08,3.06e+08,3.21e+08,3.03e+08,3.23e+08,1,1,1,1,1,TRUE,TRUE
"White-winged Dove",3190,19984981.3396292,19448732.0741518,16719422.0006995,23973458.0272823,14650276.189227,29350980.9811123,19984981.3396292,19448732.0741518,16719422.0006995,23973458.0272823,14650276.189227,29350980.9811123,11427412.33,11120785,9560165.5,13708023.3,8377027.925,16782890.925,2e+07,19400000,16700000,2.4e+07,14700000,29400000,2e+07,19400000,16700000,2.4e+07,14700000,29400000,11400000,11100000,9560000,13700000,8380000,16800000,2,2,2,2,2,TRUE,TRUE
"Common Ground-Dove",3200,10246677.9612756,10118368.4510251,9021783.02961276,11624039.2938497,8449096.81093394,12407839.6924829,10246677.9612756,10118368.4510251,9021783.02961276,11624039.2938497,8449096.81093394,12407839.6924829,1799316.65,1776785.5,1584225.1,2041181.3,1483661.4,2178816.65,10200000,10100000,9020000,11600000,8450000,12400000,10200000,10100000,9020000,11600000,8450000,12400000,1800000,1780000,1580000,2040000,1480000,2180000,2,2,2,2,2,FALSE,FALSE
"Inca Dove",3210,1189078.54745194,1179896.24656698,985920.964296613,1383093.07293256,900281.888922795,1456171.42203235,1189078.54745194,1179896.24656698,985920.964296613,1383093.07293256,900281.888922795,1456171.42203235,389661.04,386652,323086.3,453239.6,295022.375,477187.375,1190000,1180000,986000,1380000,9e+05,1460000,1190000,1180000,986000,1380000,9e+05,1460000,390000,387000,323000,453000,295000,477000,3,3,3,3,3,FALSE,FALSE
"Turkey Vulture",3250,172933507.718934,172891478.020076,167889590.86189,178791660.782278,164627382.658359,181291357.21703,172933507.718934,172891478.020076,167889590.86189,178791660.782278,164627382.658359,181291357.21703,49960490.38,49948348,48503302.8,51652910.8,47560850.85,52375073.1,1.73e+08,1.73e+08,1.68e+08,1.79e+08,1.65e+08,1.81e+08,1.73e+08,1.73e+08,1.68e+08,1.79e+08,1.65e+08,1.81e+08,5e+07,49900000,48500000,51700000,47600000,52400000,1,1,1,1,1,TRUE,TRUE
"Black Vulture",3260,334714477.441077,333675768.799102,310046699.214366,365029845.117845,291431606.34119,378719547.138047,334714477.441077,333675768.799102,310046699.214366,365029845.117845,291431606.34119,378719547.138047,29823059.94,29730511,27625160.9,32524159.2,25966556.125,33743911.65,3.35e+08,3.34e+08,3.1e+08,3.65e+08,2.91e+08,3.79e+08,3.35e+08,3.34e+08,3.1e+08,3.65e+08,2.91e+08,3.79e+08,29800000,29700000,27600000,32500000,2.6e+07,33700000,1,1,1,1,1,TRUE,TRUE
"Swallow-tailed Kite",3270,1942401.04895105,1868898.6013986,1449884.61538462,2505062.93706294,1381133.74125874,2728871.5034965,1942401.04895105,1868898.6013986,1449884.61538462,2505062.93706294,1381133.74125874,2728871.5034965,55552.67,53450.5,41466.7,71644.8,39500.425,78045.725,1940000,1870000,1450000,2510000,1380000,2730000,1940000,1870000,1450000,2510000,1380000,2730000,55600,53500,41500,71600,39500,78000,3,3,3,3,3,FALSE,FALSE
"White-tailed Kite",3280,357840.776699029,355036.40776699,218531.553398058,515893.203883495,180426.577669903,628239.077669903,357840.776699029,355036.40776699,218531.553398058,515893.203883495,180426.577669903,628239.077669903,14743.04,14627.5,9003.5,21254.8,7433.575,25883.45,358000,355000,219000,516000,180000,628000,358000,355000,219000,516000,180000,628000,14700,14600,9000,21300,7430,25900,4,4,3,4,3,FALSE,TRUE
"Mississippi Kite",3290,12602931.11,12388474,9733125.5,15397045,8145747.05,18145501.9,12602931.11,12388474,9733125.5,15397045,8145747.05,18145501.9,12602931.11,12388474,9733125.5,15397045,8145747.05,18145501.9,12600000,12400000,9730000,15400000,8150000,18100000,12600000,12400000,9730000,15400000,8150000,18100000,12600000,12400000,9730000,15400000,8150000,18100000,2,2,2,2,2,TRUE,TRUE
"Northern Harrier",3310,10223923.66152,10144182.8754762,9593587.12652898,10894772.8093042,9333820.23260477,11346463.6555043,5112474.41090946,5072600.02005415,4797274.54126141,5447932.61806879,4667378.07079114,5673800.68685451,5098670.73,5058904,4784321.9,5433223.2,4654776.15,5658481.425,10200000,10100000,9590000,10900000,9330000,11300000,5110000,5070000,4800000,5450000,4670000,5670000,5100000,5060000,4780000,5430000,4650000,5660000,2,2,2,2,2,TRUE,TRUE
"Sharp-shinned Hawk",3320,2618427.74755169,2608586.97341831,2342140.99176123,2886690.65754702,2188786.49152806,3047379.76060936,2618427.74755169,2608586.97341831,2342140.99176123,2886690.65754702,2188786.49152806,3047379.76060936,1684434.57,1678104,1506699.3,1857008.1,1408046.35,1960379.4,2620000,2610000,2340000,2890000,2190000,3050000,2620000,2610000,2340000,2890000,2190000,3050000,1680000,1680000,1510000,1860000,1410000,1960000,3,3,3,3,3,TRUE,TRUE
"Cooper's Hawk",3330,4948619.43050292,4957224.72600635,4636375.19205162,5279056.23271535,4480494.75058896,5478711.17996517,4948619.43050292,4957224.72600635,4636375.19205162,5279056.23271535,4480494.75058896,5478711.17996517,4831337.15,4839738.5,4526493.1,5153942.6,4374307.025,5348865.725,4950000,4960000,4640000,5280000,4480000,5480000,4950000,4960000,4640000,5280000,4480000,5480000,4830000,4840000,4530000,5150000,4370000,5350000,3,3,2,3,2,TRUE,TRUE
"Northern Goshawk",3340,680091.378600823,662572.016460905,518855.555555556,855847.119341564,485743.158436214,963406.893004115,340045.689300411,331286.008230453,259427.777777778,427923.559670782,242871.579218107,481703.446502057,330524.41,322010,252163.8,415941.7,236071.175,468215.75,680000,663000,519000,856000,486000,963000,340000,331000,259000,428000,243000,482000,331000,322000,252000,416000,236000,468000,3,3,3,4,3,TRUE,TRUE
"Harris's Hawk",3350,659107.610619469,619477.876106195,417343.362831858,910481.415929204,366647.345132743,1065976.99115044,659107.610619469,619477.876106195,417343.362831858,910481.415929204,366647.345132743,1065976.99115044,37239.58,35000.5,23579.9,51442.2,20715.575,60227.7,659000,619000,417000,910000,367000,1070000,659000,619000,417000,910000,367000,1070000,37200,35000,23600,51400,20700,60200,3,4,3,4,3,FALSE,FALSE
"Red-tailed Hawk",3370,10884106.446576,10845979.2549632,10582761.2090118,11218615.5476244,10273963.1942895,11390059.6140977,10884106.446576,10845979.2549632,10582761.2090118,11218615.5476244,10273963.1942895,11390059.6140977,9758689.84,9724505,9488503.7,10058610.7,9211635.4,10212327.45,10900000,10800000,10600000,11200000,10300000,11400000,10900000,10800000,10600000,11200000,10300000,11400000,9760000,9720000,9490000,10100000,9210000,10200000,2,2,2,2,2,TRUE,TRUE
"Red-shouldered Hawk",3390,10176561.7336581,10224736.0941941,9684959.39910678,10650939.3016646,9397662.02293951,10798866.3976857,10176561.7336581,10224736.0941941,9684959.39910678,10650939.3016646,9397662.02293951,10798866.3976857,10025948.62,10073410,9541622,10493305.4,9258576.625,10639043.175,10200000,10200000,9680000,10700000,9400000,10800000,10200000,10200000,9680000,10700000,9400000,10800000,1e+07,10100000,9540000,10500000,9260000,10600000,2,2,2,2,2,TRUE,TRUE
