"x"
"Alder Flycatcher - Missing Polygon - 18-28"
"Least Flycatcher - Missing Polygon - 18-28"
"Least Flycatcher - Missing Polygon - 35-23"
"Hammond's Flycatcher - Missing Polygon - 55-33"
"Dusky Flycatcher - Missing Polygon - 55-33"
"Black-billed Magpie - Missing Polygon - 45-8"
"Black-billed Magpie - Missing Polygon - 54-19"
"Black-billed Magpie - Missing Polygon - 55-33"
"Blue Jay - Missing Polygon - 18-28"
"Blue Jay - Missing Polygon - 39-26"
"Canada Jay - Missing Polygon - 33-9"
"American Crow - Missing Polygon - 18-28"
"American Crow - Missing Polygon - 39-26"
"American Crow - Missing Polygon - 57-7"
"American Crow - Missing Polygon - 43-7"
"American Crow - Missing Polygon - 43-7"
"Clark's Nutcracker - Missing Polygon - 55-33"
"European Starling - Missing Polygon - 18-28"
"European Starling - Missing Polygon - 39-26"
"European Starling - Missing Polygon - 45-8"
"European Starling - Missing Polygon - 57-7"
"European Starling - Missing Polygon - 43-7"
"European Starling - Missing Polygon - 43-7"
"European Starling - Missing Polygon - 55-33"
"European Starling - Missing Polygon - 93-4"
"European Starling - Missing Polygon - 93-4"
"Brown-headed Cowbird - Missing Polygon - 18-28"
"Brown-headed Cowbird - Missing Polygon - 39-26"
"Brown-headed Cowbird - Missing Polygon - 45-8"
"Brown-headed Cowbird - Missing Polygon - 55-33"
"Yellow-headed Blackbird - Missing Polygon - 6-16"
"Yellow-headed Blackbird - Missing Polygon - 55-33"
"Red-winged Blackbird - Missing Polygon - 18-28"
"Red-winged Blackbird - Missing Polygon - 39-26"
"Red-winged Blackbird - Missing Polygon - 55-33"
"Western Meadowlark - Missing Polygon - 35-23"
"Western Meadowlark - Missing Polygon - 55-33"
"Baltimore Oriole - Missing Polygon - 18-28"
"Baltimore Oriole - Missing Polygon - 39-26"
"Brewer's Blackbird - Missing Polygon - 45-8"
"Brewer's Blackbird - Missing Polygon - 55-33"
"Evening Grosbeak - Missing Polygon - 18-28"
"Evening Grosbeak - Missing Polygon - 33-9"
"Evening Grosbeak - Missing Polygon - 58-30"
"Pine Grosbeak - Missing Polygon - 4-6"
"Pine Grosbeak - Missing Polygon - 4-6"
"Pine Grosbeak - Missing Polygon - 3-3"
"Pine Grosbeak - Missing Polygon - 14-15"
"Pine Grosbeak - Missing Polygon - 33-9"
"Pine Grosbeak - Missing Polygon - 43-7"
"Pine Grosbeak - Missing Polygon - 43-7"
"Purple Finch - Missing Polygon - 18-28"
"Red Crossbill - Missing Polygon - 45-8"
"Red Crossbill - Missing Polygon - 43-7"
"Red Crossbill - Missing Polygon - 55-33"
"White-winged Crossbill - Missing Polygon - 33-9"
"American Goldfinch - Missing Polygon - 18-28"
"American Goldfinch - Missing Polygon - 39-26"
"Pine Siskin - Missing Polygon - 43-7"
"Pine Siskin - Missing Polygon - 55-33"
"Vesper Sparrow - Missing Polygon - 18-28"
"Vesper Sparrow - Missing Polygon - 45-8"
"Vesper Sparrow - Missing Polygon - 58-30"
"Vesper Sparrow - Missing Polygon - 43-7"
"Vesper Sparrow - Missing Polygon - 55-33"
"Savannah Sparrow - Missing Polygon - 18-28"
"Savannah Sparrow - Missing Polygon - 54-18"
"Savannah Sparrow - Missing Polygon - 54-19"
"Savannah Sparrow - Missing Polygon - 58-30"
"Savannah Sparrow - Missing Polygon - 59-30"
"Savannah Sparrow - Missing Polygon - 43-7"
"Savannah Sparrow - Missing Polygon - 43-7"
"Grasshopper Sparrow - Missing Polygon - 18-28"
"Grasshopper Sparrow - Missing Polygon - 39-26"
"Grasshopper Sparrow - Missing Polygon - 58-30"
"Grasshopper Sparrow - Missing Polygon - 67-24"
"LeConte's Sparrow - Missing Polygon - 45-8"
"LeConte's Sparrow - Missing Polygon - 43-7"
"White-throated Sparrow - Missing Polygon - 18-28"
"White-throated Sparrow - Missing Polygon - 58-30"
"Chipping Sparrow - Missing Polygon - 18-28"
"Chipping Sparrow - Missing Polygon - 39-26"
"Chipping Sparrow - Missing Polygon - 42-37"
"Chipping Sparrow - Missing Polygon - 55-33"
"Clay-colored Sparrow - Missing Polygon - 43-7"
"Clay-colored Sparrow - Missing Polygon - 93-4"
"Clay-colored Sparrow - Missing Polygon - 93-4"
"Dark-eyed Junco - Missing Polygon - 14-15"
"Dark-eyed Junco - Missing Polygon - 18-28"
"Dark-eyed Junco - Missing Polygon - 58-30"
"Dark-eyed Junco - Missing Polygon - 55-33"
"Dark-eyed Junco - Missing Polygon - 85-16"
"Song Sparrow - Missing Polygon - 18-28"
"Song Sparrow - Missing Polygon - 39-26"
"Song Sparrow - Missing Polygon - 43-7"
"Song Sparrow - Missing Polygon - 55-33"
"Song Sparrow - Missing Polygon - 93-4"
"Song Sparrow - Missing Polygon - 93-4"
"Lincoln's Sparrow - Missing Polygon - 55-33"
"Swamp Sparrow - Missing Polygon - 18-28"
"Swamp Sparrow - Missing Polygon - 59-30"
"Swamp Sparrow - Missing Polygon - 72-29"
"Fox Sparrow - Missing Polygon - 45-8"
"Rose-breasted Grosbeak - Missing Polygon - 18-28"
"Rose-breasted Grosbeak - Missing Polygon - 59-30"
"Rose-breasted Grosbeak - Missing Polygon - 67-21"
"Rose-breasted Grosbeak - Missing Polygon - 72-29"
"Black-headed Grosbeak - Missing Polygon - 55-33"
"Lazuli Bunting - Missing Polygon - 6-16"
"Lazuli Bunting - Missing Polygon - 54-19"
"Lazuli Bunting - Missing Polygon - 55-33"
"Western Tanager - Missing Polygon - 54-18"
"Western Tanager - Missing Polygon - 55-33"
"Cliff Swallow - Missing Polygon - 18-28"
"Cliff Swallow - Missing Polygon - 39-26"
"Cliff Swallow - Missing Polygon - 45-8"
"Cliff Swallow - Missing Polygon - 58-30"
"Cliff Swallow - Missing Polygon - 59-30"
"Barn Swallow - Missing Polygon - 18-28"
"Barn Swallow - Missing Polygon - 39-26"
"Barn Swallow - Missing Polygon - 55-33"
"Tree Swallow - Missing Polygon - 3-3"
"Tree Swallow - Missing Polygon - 6-16"
"Tree Swallow - Missing Polygon - 18-28"
"Tree Swallow - Missing Polygon - 39-26"
"Tree Swallow - Missing Polygon - 55-33"
"Tree Swallow - Missing Polygon - 67-24"
"Bank Swallow - Missing Polygon - 3-5"
"Bank Swallow - Missing Polygon - 18-28"
"Bank Swallow - Missing Polygon - 39-26"
"Bank Swallow - Missing Polygon - 45-8"
"Bank Swallow - Missing Polygon - 58-30"
"Bank Swallow - Missing Polygon - 59-30"
"Bank Swallow - Missing Polygon - 59-29"
"Bank Swallow - Missing Polygon - 43-7"
"Bank Swallow - Missing Polygon - 67-21"
"Bank Swallow - Missing Polygon - 67-24"
"Bank Swallow - Missing Polygon - 72-29"
"Northern Rough-winged Swallow - Missing Polygon - 18-28"
"Northern Rough-winged Swallow - Missing Polygon - 39-26"
"Northern Rough-winged Swallow - Missing Polygon - 55-33"
"Northern Rough-winged Swallow - Missing Polygon - 67-24"
"Cedar Waxwing - Missing Polygon - 14-15"
"Cedar Waxwing - Missing Polygon - 18-28"
"Cedar Waxwing - Missing Polygon - 54-18"
"Cedar Waxwing - Missing Polygon - 43-7"
"Cedar Waxwing - Missing Polygon - 43-7"
"Red-eyed Vireo - Missing Polygon - 18-28"
"Red-eyed Vireo - Missing Polygon - 39-26"
"Warbling Vireo - Missing Polygon - 18-28"
"Warbling Vireo - Missing Polygon - 39-26"
"Warbling Vireo - Missing Polygon - 55-33"
"Warbling Vireo - Missing Polygon - 67-24"
"Blue-headed Vireo - Missing Polygon - 18-28"
"Yellow Warbler - Missing Polygon - 18-28"
"Yellow Warbler - Missing Polygon - 39-26"
"Yellow Warbler - Missing Polygon - 67-21"
"Yellow Warbler - Missing Polygon - 67-24"
"Yellow-rumped Warbler - Missing Polygon - 14-15"
"Yellow-rumped Warbler - Missing Polygon - 18-28"
"Yellow-rumped Warbler - Missing Polygon - 33-9"
"Yellow-rumped Warbler - Missing Polygon - 60-35"
"Yellow-rumped Warbler - Missing Polygon - 55-33"
"Yellow-rumped Warbler - Missing Polygon - 85-16"
"Ovenbird - Missing Polygon - 18-28"
"Ovenbird - Missing Polygon - 93-4"
"Ovenbird - Missing Polygon - 93-4"
"Northern Waterthrush - Missing Polygon - 18-28"
"Common Yellowthroat - Missing Polygon - 14-15"
"Common Yellowthroat - Missing Polygon - 18-28"
