"cn","Aou","GL.mean.PopEst","GL.med.PopEst","GL.80LCI.PopEst","GL.80UCI.PopEst","GL.95LCI.PopEst","GL.95UCI.PopEst","WH.mean.PopEst","WH.med.PopEst","WH.80LCI.PopEst","WH.80UCI.PopEst","WH.95LCI.PopEst","WH.95UCI.PopEst","USCAN.mean.PopEst","USCAN.med.PopEst","USCAN.80LCI.PopEst","USCAN.80UCI.PopEst","USCAN.95LCI.PopEst","USCAN.95UCI.PopEst","rounded.GL.mean.PopEst","rounded.GL.med.PopEst","rounded.GL.80LCI.PopEst","rounded.GL.80UCI.PopEst","rounded.GL.95LCI.PopEst","rounded.GL.95UCI.PopEst","rounded.WH.mean.PopEst","rounded.WH.med.PopEst","rounded.WH.80LCI.PopEst","rounded.WH.80UCI.PopEst","rounded.WH.95LCI.PopEst","rounded.WH.95UCI.PopEst","rounded.USCAN.mean.PopEst","rounded.USCAN.med.PopEst","rounded.USCAN.80LCI.PopEst","rounded.USCAN.80UCI.PopEst","rounded.USCAN.95LCI.PopEst","rounded.USCAN.95UCI.PopEst","PS.Score","PS.80LCI.Score","PS.80UCI.Score","PS.95LCI.Score","PS.95UCI.Score","availability","edr"
"Worm-eating Warbler",6390,7636856.67,7623106,6837213.3,8486124.9,6512497.275,9017704,7636856.67,7623106,6837213.3,8486124.9,6512497.275,9017704,7636856.67,7623106,6837213.3,8486124.9,6512497.275,9017704,7640000,7620000,6840000,8490000,6510000,9020000,7640000,7620000,6840000,8490000,6510000,9020000,7640000,7620000,6840000,8490000,6510000,9020000,2,2,2,2,2,TRUE,TRUE
"Blue-winged Warbler",6410,4970648.36,4882318.5,4482496.6,5427735.4,4217014.25,5892621.6,4970648.36,4882318.5,4482496.6,5427735.4,4217014.25,5892621.6,4970648.36,4882318.5,4482496.6,5427735.4,4217014.25,5892621.6,4970000,4880000,4480000,5430000,4220000,5890000,4970000,4880000,4480000,5430000,4220000,5890000,4970000,4880000,4480000,5430000,4220000,5890000,3,3,2,3,2,TRUE,TRUE
"Golden-winged Warbler",6420,1509735.59,1516164,1248722.9,1765156,1146600.425,1867539.925,1509735.59,1516164,1248722.9,1765156,1146600.425,1867539.925,1509735.59,1516164,1248722.9,1765156,1146600.425,1867539.925,1510000,1520000,1250000,1770000,1150000,1870000,1510000,1520000,1250000,1770000,1150000,1870000,1510000,1520000,1250000,1770000,1150000,1870000,3,3,3,3,3,TRUE,TRUE
"Lucy's Warbler",6430,8220357.1876175,7738803.73480386,5022509.08635167,11962913.0216819,4408084.6597318,13902679.7531019,8220357.1876175,7738803.73480386,5022509.08635167,11962913.0216819,4408084.6597318,13902679.7531019,6559023,6174791.5,4007460,9545208.3,3517210.75,11092948.175,8220000,7740000,5020000,1.2e+07,4410000,13900000,8220000,7740000,5020000,1.2e+07,4410000,13900000,6560000,6170000,4010000,9550000,3520000,11100000,2,2,2,3,2,TRUE,TRUE
"Virginia's Warbler",6440,2884858.25,2717875.5,1996944.2,3827497,1872666.55,4441225.35,2884858.25,2717875.5,1996944.2,3827497,1872666.55,4441225.35,2884858.25,2717875.5,1996944.2,3827497,1872666.55,4441225.35,2880000,2720000,2e+06,3830000,1870000,4440000,2880000,2720000,2e+06,3830000,1870000,4440000,2880000,2720000,2e+06,3830000,1870000,4440000,3,3,3,3,3,TRUE,TRUE
"Nashville Warbler",6450,102446487.11,102640448,96446085.9,109680155.5,92635585.175,112860634.075,102446487.11,102640448,96446085.9,109680155.5,92635585.175,112860634.075,102446487.11,102640448,96446085.9,109680155.5,92635585.175,112860634.075,1.02e+08,1.03e+08,96400000,1.1e+08,92600000,1.13e+08,1.02e+08,1.03e+08,96400000,1.1e+08,92600000,1.13e+08,1.02e+08,1.03e+08,96400000,1.1e+08,92600000,1.13e+08,1,1,1,1,1,TRUE,TRUE
"Orange-crowned Warbler",6460,361483857.938495,360823399.779625,342150565.260944,382702271.561655,337021653.460883,390437680.78233,361483857.938495,360823399.779625,342150565.260944,382702271.561655,337021653.460883,390437680.78233,360869335.38,360210000,341568909.3,382051677.7,336448716.65,389773936.725,3.61e+08,3.61e+08,3.42e+08,3.83e+08,3.37e+08,3.9e+08,3.61e+08,3.61e+08,3.42e+08,3.83e+08,3.37e+08,3.9e+08,3.61e+08,3.6e+08,3.42e+08,3.82e+08,3.36e+08,3.9e+08,1,1,1,1,1,TRUE,TRUE
"Tennessee Warbler",6470,346503396.07,337819096.5,297902728.4,409438125.1,276864862.575,428930894.275,346503396.07,337819096.5,297902728.4,409438125.1,276864862.575,428930894.275,346503396.07,337819096.5,297902728.4,409438125.1,276864862.575,428930894.275,3.47e+08,3.38e+08,2.98e+08,4.09e+08,2.77e+08,4.29e+08,3.47e+08,3.38e+08,2.98e+08,4.09e+08,2.77e+08,4.29e+08,3.47e+08,3.38e+08,2.98e+08,4.09e+08,2.77e+08,4.29e+08,1,1,1,1,1,TRUE,TRUE
"Northern Parula",6480,99964273.92,100135904.5,95595097.4,104043924,93308282.925,105729892.875,99964273.92,100135904.5,95595097.4,104043924,93308282.925,105729892.875,99964273.92,100135904.5,95595097.4,104043924,93308282.925,105729892.875,1e+08,1e+08,95600000,1.04e+08,93300000,1.06e+08,1e+08,1e+08,95600000,1.04e+08,93300000,1.06e+08,1e+08,1e+08,95600000,1.04e+08,93300000,1.06e+08,1,1,1,1,1,TRUE,TRUE
"Cape May Warbler",6500,16434924.38,16056680.5,13222459.6,19989560.9,12304668.525,21560367.8,16434924.38,16056680.5,13222459.6,19989560.9,12304668.525,21560367.8,16434924.38,16056680.5,13222459.6,19989560.9,12304668.525,21560367.8,16400000,16100000,13200000,2e+07,12300000,21600000,16400000,16100000,13200000,2e+07,12300000,21600000,16400000,16100000,13200000,2e+07,12300000,21600000,2,2,2,2,2,TRUE,TRUE
"Olive Warbler",6510,1055234.38237608,1033898.50511408,438075.531077891,1700623.1313926,334142.800944138,2078080.25177026,1055234.38237608,1033898.50511408,438075.531077891,1700623.1313926,334142.800944138,2078080.25177026,134120.29,131408.5,55679.4,216149.2,42469.55,264124,1060000,1030000,438000,1700000,334000,2080000,1060000,1030000,438000,1700000,334000,2080000,134000,131000,55700,216000,42500,264000,3,4,3,4,3,FALSE,FALSE
"Yellow Warbler",6520,297946951.940712,298282997.440819,272390363.083813,326536082.960119,267306985.84453,334291890.30177,297946951.940712,298282997.440819,272390363.083813,326536082.960119,267306985.84453,334291890.30177,279414651.53,279729795,255447682.5,306225538.6,250680491.325,313498934.725,2.98e+08,2.98e+08,2.72e+08,3.27e+08,2.67e+08,3.34e+08,2.98e+08,2.98e+08,2.72e+08,3.27e+08,2.67e+08,3.34e+08,2.79e+08,2.8e+08,2.55e+08,3.06e+08,2.51e+08,3.13e+08,1,1,1,1,1,TRUE,TRUE
"Black-throated Blue Warbler",6540,13738585.14,13500878.5,12756840.1,15083702.5,12109078.4,15919336.75,13738585.14,13500878.5,12756840.1,15083702.5,12109078.4,15919336.75,13738585.14,13500878.5,12756840.1,15083702.5,12109078.4,15919336.75,13700000,13500000,12800000,15100000,12100000,15900000,13700000,13500000,12800000,15100000,12100000,15900000,13700000,13500000,12800000,15100000,12100000,15900000,2,2,2,2,2,TRUE,TRUE
"Yellow-rumped Warbler",6550,495641540.44,497631326.5,463075010.3,528187435.6,444990270.9,539616236.5,495641540.44,497631326.5,463075010.3,528187435.6,444990270.9,539616236.5,495641540.44,497631326.5,463075010.3,528187435.6,444990270.9,539616236.5,4.96e+08,4.98e+08,4.63e+08,5.28e+08,4.45e+08,5.4e+08,4.96e+08,4.98e+08,4.63e+08,5.28e+08,4.45e+08,5.4e+08,4.96e+08,4.98e+08,4.63e+08,5.28e+08,4.45e+08,5.4e+08,1,1,1,1,1,TRUE,TRUE
"Magnolia Warbler",6570,137803024.97,136612154.5,129821725.4,147653379.6,123824951.025,152072918.15,137803024.97,136612154.5,129821725.4,147653379.6,123824951.025,152072918.15,137803024.97,136612154.5,129821725.4,147653379.6,123824951.025,152072918.15,1.38e+08,1.37e+08,1.3e+08,1.48e+08,1.24e+08,1.52e+08,1.38e+08,1.37e+08,1.3e+08,1.48e+08,1.24e+08,1.52e+08,1.38e+08,1.37e+08,1.3e+08,1.48e+08,1.24e+08,1.52e+08,1,1,1,1,1,TRUE,TRUE
"Cerulean Warbler",6580,3247474.03,3248996,2573551.7,3819562.7,2263815.1,4145999.825,3247474.03,3248996,2573551.7,3819562.7,2263815.1,4145999.825,3247474.03,3248996,2573551.7,3819562.7,2263815.1,4145999.825,3250000,3250000,2570000,3820000,2260000,4150000,3250000,3250000,2570000,3820000,2260000,4150000,3250000,3250000,2570000,3820000,2260000,4150000,3,3,3,3,3,TRUE,TRUE
