"Prov","cn","Aou","mean.PopEst","med.PopEst","Coeff.var","LCI80.PopEst","UCI80.PopEst","LCI95.PopEst","UCI95.PopEst","rounded.mean.PopEst","rounded.med.PopEst","rounded.LCI80.PopEst","rounded.UCI80.PopEst","rounded.LCI95.PopEst","rounded.UCI95.PopEst","st_abrev"
"11","Swamp Sparrow",5840,144273.82,138691,0.479772138800481,63800.7,245140.7,29873.4,278621.525,144000,139000,63800,245000,29900,279000,"BC"
"11","American Tree Sparrow",5590,3090862.3,2964857,0.692725142586645,365548.8,6074168.5,97916.975,7625857.025,3090000,2960000,366000,6070000,97900,7630000,"BC"
"11","Pileated Woodpecker",4050,1735146.81,1714547.5,0.119759409229411,1515801.5,1991266,1377577.475,2140573.75,1740000,1710000,1520000,1990000,1380000,2140000,"BC"
"11","Brewer's Sparrow",5620,28795.41,26755,0.94735169631821,468.6,65987,0,95467.4,28800,26800,469,66000,0,95500,"BC"
"11","House Wren",7210,1381754.39,1372564,0.148000137434223,1153204.1,1669528.3,982361.65,1763340.175,1380000,1370000,1150000,1670000,982000,1760000,"BC"
"11","Mountain Bluebird",7680,1700752.14,1677103.5,0.289268789691638,1117882.4,2376384.3,821117.65,2762948.675,1700000,1680000,1120000,2380000,821000,2760000,"BC"
"11","Peregrine Falcon",3560,6875.17,6119,0.576022457022077,2206.4,12486,1143.4,13994.05,6880,6120,2210,12500,1140,14000,"BC"
"11","Cassin's Vireo",6291,5930564.94,5936167,0.12437537662525,5024285.7,6811334.6,4408832.4,7160220.15,5930000,5940000,5020000,6810000,4410000,7160000,"BC"
"11","White-crowned Sparrow",5540,8588298.08,8362617.5,0.297796335770847,5387672.8,12601152.1,4932406.95,13415582.725,8590000,8360000,5390000,12600000,4930000,13400000,"BC"
"11","Philadelphia Vireo",6260,266032.94,258329,0.404275562807627,138529.6,414025,101336.175,491598.35,266000,258000,139000,414000,101000,492000,"BC"
"11","Cooper's Hawk",3330,58814.92,59502,0.482968911191724,26676.4,95832.2,13325.675,123068.775,58800,59500,26700,95800,13300,123000,"BC"
"11","House Sparrow",6882,3191007.72,3036179.5,0.253787409559681,2224832.1,4331492.5,2096520.475,4875342.075,3190000,3040000,2220000,4330000,2100000,4880000,"BC"
"11","Evening Grosbeak",5140,2199329.51,2157539.5,0.253316787497283,1500885.9,2989890.2,1259615.15,3262686.75,2200000,2160000,1500000,2990000,1260000,3260000,"BC"
"11","Canada Jay",4840,4274355.91,4203770.5,0.209567342059769,3184543.4,5484638.9,2565175.45,6114435.15,4270000,4200000,3180000,5480000,2570000,6110000,"BC"
"11","Northwestern Crow",4890,339543.13,317382,0.335175593037666,214559.5,524955.2,173858.025,587389.275,340000,317000,215000,525000,174000,587000,"BC"
"11","Orange-crowned Warbler",6460,41308429.27,40963643,0.0910447645917933,36914770.2,45934519.4,35748233.225,49074980.675,41300000,4.1e+07,36900000,45900000,35700000,49100000,"BC"
"11","White-throated Swift",4250,15823.52,14524.5,0.731746732420005,3288.8,30673.4,0,40936.3,15800,14500,3290,30700,0,40900,"BC"
"11","Townsend's Solitaire",7540,663902.12,643898,0.237954847124707,477139.7,913940,422285.75,959349.25,664000,644000,477000,914000,422000,959000,"BC"
"11","Tree Swallow",6140,10581308.37,10559636,0.13391601498307,8719960.1,12511948.3,7937128.1,13329189.4,10600000,10600000,8720000,12500000,7940000,13300000,"BC"
"11","Brown-headed Cowbird",4950,9325707.02,9279350.5,0.133621150660724,7802442.1,10617042.2,6944388.975,12163302.025,9330000,9280000,7800000,10600000,6940000,12200000,"BC"
"11","Spotted Towhee",5880,9158066.36,9170274.5,0.121938877472861,7749695.1,10510618.9,6845879.75,11549811.275,9160000,9170000,7750000,10500000,6850000,11500000,"BC"
"11","Common Redpoll",5280,911215.35,882352.5,0.825389773957871,49204.3,1893573.4,14778.6,2394301.9,911000,882000,49200,1890000,14800,2390000,"BC"
"11","Bobolink",4940,14711.26,13109,0.733832514624763,2943.3,28621.1,0,41021.2,14700,13100,2940,28600,0,41000,"BC"
"11","Cliff Swallow",6120,2792781.56,2481749.5,0.623683367240751,1101584.5,5301694.3,889188.575,6540127.275,2790000,2480000,1100000,5300000,889000,6540000,"BC"
"11","Lewis's Woodpecker",4080,10206.83,10220.5,0.501253136801421,3399.8,16650.7,1564.775,20347.45,10200,10200,3400,16700,1560,20300,"BC"
"11","Say's Phoebe",4570,58063.06,54484.5,0.400255879696659,33633.2,88169.6,25338.475,110173.35,58100,54500,33600,88200,25300,110000,"BC"
"11","Rock Wren",7150,4377.76,3540.5,0.769384752850914,640.9,8994.7,128.25,12492.9,4380,3540,641,8990,128,12500,"BC"
"11","White-throated Sparrow",5580,11017879.01,10931435,0.176242679011085,8424734.8,13507794.8,7815790.725,14549768.625,1.1e+07,10900000,8420000,13500000,7820000,14500000,"BC"
"11","Ovenbird",6740,2537563.39,2528350.5,0.233218364846366,1835239.8,3311626.9,1493398.125,3572144.525,2540000,2530000,1840000,3310000,1490000,3570000,"BC"
"11","Golden Eagle",3490,585.27,511.5,0.737868089853913,95.3,1113,25.65,1604.425,585,512,95.3,1110,25.7,1600,"BC"
"11","Lazuli Bunting",5990,4032177.6,3892842.5,0.220175299763884,3082968.4,5288885.8,2694513.325,5916557.075,4030000,3890000,3080000,5290000,2690000,5920000,"BC"
"11","Black-capped Chickadee",7350,18202514.3,18000665,0.136920239866455,15412468.2,20968925.9,13530831.35,23874577.75,18200000,1.8e+07,15400000,2.1e+07,13500000,23900000,"BC"
"11","Fox Sparrow",5850,9120651.53,8383575.5,0.610607938339583,2382179.7,16129347.7,1859350.35,21973845.85,9120000,8380000,2380000,16100000,1860000,2.2e+07,"BC"
"11","Grasshopper Sparrow",5460,5306.92,4271.5,1.00713529549893,0,12118.4,0,17505.8,5310,4270,0,12100,0,17500,"BC"
"11","Dark-eyed Junco",5670,32426044.28,32789869,0.257447952714648,20223599.8,43514468.6,18805627.6,46363832.375,32400000,32800000,20200000,43500000,18800000,46400000,"BC"
"11","Northern Waterthrush",6750,12167517.17,12249251.5,0.122572048330716,10162203.8,14034703.3,9129426.45,14759309.85,12200000,12200000,10200000,1.4e+07,9130000,14800000,"BC"
"11","Least Flycatcher",4670,8949917.93,8895971,0.124782440797258,7679625.2,10300256.3,6534055.65,10886336.4,8950000,8900000,7680000,10300000,6530000,10900000,"BC"
"11","Golden-crowned Sparrow",5570,5708836.77,5266470,0.868930472753259,151861.1,12816544.2,67941.525,16788473.25,5710000,5270000,152000,12800000,67900,16800000,"BC"
"11","Sharp-tailed Grouse",3080,9823.18,7648,0.946205810161139,0,22029.9,0,26447.45,9820,7650,0,22000,0,26400,"BC"
"11","Eastern Kingbird",4440,1604182.48,1586202,0.289221214646363,1061756.8,2264148.2,778664,2643199.275,1600000,1590000,1060000,2260000,779000,2640000,"BC"
"11","Northern Harrier",3310,73744.92,73315,0.418519837624295,34882.8,116124.3,23912.275,136137.95,73700,73300,34900,116000,23900,136000,"BC"
"11","Chestnut-backed Chickadee",7410,29420414.66,29450432.5,0.175191753856815,23614960.9,36190414.3,20412379.475,39866044.45,29400000,29500000,23600000,36200000,20400000,39900000,"BC"
"11","Yellow-bellied Flycatcher",4630,876733.44,847383,0.356005426886147,472766.4,1295972,401383.025,1587032.725,877000,847000,473000,1300000,401000,1590000,"BC"
"11","Belted Kingfisher",3900,1291150.23,1280962,0.194448314090879,1016102.8,1601564.7,860391.275,1840752.625,1290000,1280000,1020000,1600000,860000,1840000,"BC"
"11","Eurasian Collared-Dove",22860,1173395.23,1156603,0.185094900563807,909802.5,1464883.5,802636.975,1620928.1,1170000,1160000,910000,1460000,803000,1620000,"BC"
"11","Sooty Grouse",2971,1296533.34,1267938,0.368444992533303,712418.8,1951281.3,583048.9,2351132.675,1300000,1270000,712000,1950000,583000,2350000,"BC"
"11","Sharp-shinned Hawk",3320,186123.34,183776,0.340819412514478,110109,272552.2,63426.7,307740.775,186000,184000,110000,273000,63400,308000,"BC"
"11","Black-throated Gray Warbler",6650,1873439.17,1859225,0.273491565341376,1240641.7,2576937.1,1038597,2947031.725,1870000,1860000,1240000,2580000,1040000,2950000,"BC"
"11","Dusky Flycatcher",4690,11112187.61,11024742,0.144608020403237,9164424.4,13014360,8133146.875,14364009.1,11100000,1.1e+07,9160000,1.3e+07,8130000,14400000,"BC"
"11","Purple Martin",6110,275819.75,246219,0.571966464772473,98246.2,521240.7,14289.5,634463.75,276000,246000,98200,521000,14300,634000,"BC"
"11","Northern Saw-whet Owl",3720,21669.23,16242.5,0.879514426565865,3095.1,44416,0,73684.7249999999,21700,16200,3100,44400,0,73700,"BC"
"11","Northern Flicker",4120,412623.94,393000,0.378483541546831,206962.6,633701.4,154776.575,717894.55,413000,393000,207000,634000,155000,718000,"BC"
"11","Bald Eagle",3520,873405.36,833562,0.294673718332219,616488.1,1191334.1,519466.025,1489241.725,873000,834000,616000,1190000,519000,1490000,"BC"
"11","American Kestrel",3600,460692.52,457775,0.211049360878264,344401.5,581228.4,312599.175,639372.925,461000,458000,344000,581000,313000,639000,"BC"
"11","Yellow Warbler",6520,27704169.14,27781278,0.125986434336393,23201760.9,32719316.5,21216351.275,34211909.575,27700000,27800000,23200000,32700000,21200000,34200000,"BC"
"11","Ring-necked Pheasant",3091,75086.63,72983,0.527926006860477,26727.3,129710.4,9391.225,163750.9,75100,73000,26700,130000,9390,164000,"BC"
"11","Rock Pigeon",3131,854193.17,762002.5,0.43665842969795,417467.8,1408351.5,278703.625,1665025.875,854000,762000,417000,1410000,279000,1670000,"BC"
"11","American Goldfinch",5290,4025326.79,3972589.5,0.171055900420613,3101591.5,4832586.8,2757941.225,5256800,4030000,3970000,3100000,4830000,2760000,5260000,"BC"
"11","Cedar Waxwing",6190,38331879.34,38214981.5,0.133151549559433,32001196.1,44458221,28363569.85,48687086.85,38300000,38200000,3.2e+07,44500000,28400000,48700000,"BC"
"11","Vesper Sparrow",5400,2159422.69,2093988.5,0.218199353324745,1601566.2,2809034.8,1403532.675,3140395.3,2160000,2090000,1600000,2810000,1400000,3140000,"BC"
"11","Northern Rough-winged Swallow",6170,6528599.19,6312826,0.277314023910402,4345058.1,9050384.5,3368065.85,10392326.175,6530000,6310000,4350000,9050000,3370000,10400000,"BC"
"11","Violet-green Swallow",6150,10596843.81,10386012.5,0.173441749548338,8505053.8,13151766.3,7077854.15,14370268.025,10600000,10400000,8510000,13200000,7080000,14400000,"BC"
"11","Black-and-white Warbler",6360,2710397.33,2711382.5,0.253325978280789,1798310.1,3557356.6,1409009.575,3894042.025,2710000,2710000,1800000,3560000,1410000,3890000,"BC"
"11","American Three-toed Woodpecker",4010,837236.47,771644,0.477565827617559,355081.7,1336506.7,275893.8,1689454.4,837000,772000,355000,1340000,276000,1690000,"BC"
"11","Red-tailed Hawk",3370,305602.95,309923,0.141782260002248,252985.6,355110.8,223936.6,383287.65,306000,310000,253000,355000,224000,383000,"BC"
"11","Ruby-crowned Kinglet",7490,17368655.41,17522564,0.11093517152112,14837004,19522276.8,13403873.15,21013631.275,17400000,17500000,14800000,19500000,13400000,2.1e+07,"BC"
"11","Gray-cheeked Thrush",7570,2633090.8,2448499,0.913081452889022,0,5499348,0,7876359.525,2630000,2450000,0,5500000,0,7880000,"BC"
"11","Hutton's Vireo",6320,296963.08,294080,0.349043985056757,173778.7,423013.8,135420.35,500307.475,297000,294000,174000,423000,135000,5e+05,"BC"
"11","Osprey",3640,234226.83,232733.5,0.265516247942445,159782,316445.7,135788.975,374346.725,234000,233000,160000,316000,136000,374000,"BC"
"11","Pine Siskin",5330,81678358.9,82369201.5,0.157442181992197,63607269.5,97345685.3,57128048.9,103895708.6,81700000,82400000,63600000,97300000,57100000,1.04e+08,"BC"
"11","Western Kingbird",4470,389389.12,390085.5,0.228080055842981,275849.2,490079,220336.25,580518.925,389000,390000,276000,490000,220000,581000,"BC"
"11","Blackpoll Warbler",6610,5350979.46,5217225,0.413901057836245,2373764,8310762.6,1784284.85,9340469.125,5350000,5220000,2370000,8310000,1780000,9340000,"BC"
"11","Rufous Hummingbird",4330,55132332.69,55072327,0.161087900718594,44609059,65558306.8,40827805.5,73004049,55100000,55100000,44600000,65600000,40800000,7.3e+07,"BC"
"11","Savannah Sparrow",5420,14688114.96,13991167,0.206680068778762,11339031.5,18396186.4,9717844.375,20503001.4,14700000,1.4e+07,11300000,18400000,9720000,20500000,"BC"
"11","Black-throated Green Warbler",6670,20681.21,19024,0.613723771043116,4665.5,36290.3,0,46863.775,20700,19000,4670,36300,0,46900,"BC"
"11","Steller's Jay",4780,1482270.33,1461665.5,0.204673988142053,1136120.1,1889134.9,946882.725,2075356.85,1480000,1460000,1140000,1890000,947000,2080000,"BC"
"11","Olive-sided Flycatcher",4590,1571178.89,1582739,0.176773033514777,1242630,1911408.7,1106071.1,2081951.95,1570000,1580000,1240000,1910000,1110000,2080000,"BC"
"11","Chipping Sparrow",5600,44684455.61,44379449.5,0.099865489312847,39330556.4,50043039,35519388.45,53692391.525,44700000,44400000,39300000,5e+07,35500000,53700000,"BC"
"11","Mountain Chickadee",7380,6306968.2,6161904,0.19164551311559,5084012.9,7848794.1,4440201.625,9081605.425,6310000,6160000,5080000,7850000,4440000,9080000,"BC"
"11","Bank Swallow",6160,547142.62,537652,0.509865237166241,212857.7,867607.900000001,128786.55,1234493.35,547000,538000,213000,868000,129000,1230000,"BC"
"11","Common Raven",4860,1850780.88,1856454.5,0.0778394071547993,1650326,2012215.5,1588271.175,2122794.225,1850000,1860000,1650000,2010000,1590000,2120000,"BC"
"11","Common Yellowthroat",6810,11529623.73,11482191,0.132665259100466,9579259.6,13735242.4,8823828.2,14495658.35,11500000,11500000,9580000,13700000,8820000,14500000,"BC"
"11","Anna's Hummingbird",4310,1675283.11,1606284.5,0.525071165581581,571426.4,2781244.3,371958.25,3788642.675,1680000,1610000,571000,2780000,372000,3790000,"BC"
"11","Dusky Grouse",2970,2792.89,2371,0.678529168400718,439.9,5161.8,0,6882.59999999999,2790,2370,440,5160,0,6880,"BC"
"11","Blue Jay",4770,21780.43,20043.5,0.486329990951831,9486.1,35479.9,6020.025,46000.825,21800,20000,9490,35500,6020,46000,"BC"
"11","American Crow",4880,3579979.54,3605493,0.123500691341077,3014635.6,4104491.4,2794986.65,4314734.525,3580000,3610000,3010000,4100000,2790000,4310000,"BC"
