"Prov","cn","Aou","BCR","n.routes","mean.PopEst","med.PopEst","Coeff.var","LCI80.PopEst","UCI80.PopEst","LCI95.PopEst","UCI95.PopEst","rounded.mean.PopEst","rounded.med.PopEst","rounded.LCI80.PopEst","rounded.UCI80.PopEst","rounded.LCI95.PopEst","rounded.UCI95.PopEst","st_abrev"
2,"Downy Woodpecker",3940,29,5,237066.73,233172.5,0.184286894376443,182559.3,292898.6,163702.2,321427.975,237000,233000,183000,293000,164000,321000,"AL"
2,"American Redstart",6870,24,6,3483.38,2689,0.986931154929526,0,8297,0,11106.2,3480,2690,0,8300,0,11100,"AL"
2,"Eastern Phoebe",4560,24,6,181760.02,175293.5,0.298703006757981,119926.9,250977.6,96473.95,311677.5,182000,175000,120000,251000,96500,312000,"AL"
2,"Grasshopper Sparrow",5460,29,5,2171.5,1764.5,0.908884557749172,0,5278.5,0,7107.94999999999,2170,1760,0,5280,0,7110,"AL"
2,"Pine Warbler",6710,28,21,2307579.59,2292103.5,0.213831327661399,1692779.4,2935868,1517958.05,3269275.725,2310000,2290000,1690000,2940000,1520000,3270000,"AL"
2,"Eastern Wood-Pewee",4610,28,21,289770.33,280380,0.245494104702706,203655.5,384358.7,184615.175,426703.6,290000,280000,204000,384000,185000,427000,"AL"
2,"Carolina Chickadee",7360,29,5,595936.7,598282.5,0.208588340405468,432184.7,753179.6,362729.5,860714.775,596000,598000,432000,753000,363000,861000,"AL"
2,"Swainson's Warbler",6380,28,21,70332.48,68846,0.447160186006722,31089.6,111388.2,20974.825,139707.275,70300,68800,31100,111000,21000,140000,"AL"
2,"American Kestrel",3600,24,6,9789.08,10042,0.387157909892301,5023.2,14039,1428.15,17632.375,9790,10000,5020,14000,1430,17600,"AL"
2,"Red-tailed Hawk",3370,27,57,27687.25,27505,0.1823155146042,21569.4,34430.2,19009.375,40130.45,27700,27500,21600,34400,19000,40100,"AL"
2,"Brown-headed Nuthatch",7290,28,21,1381619.56,1310674,0.254957187643151,985249.7,1896472.4,856192.975,2150110.775,1380000,1310000,985000,1900000,856000,2150000,"AL"
2,"Brown-headed Nuthatch",7290,29,5,357058.54,340696,0.347091827639301,211647.6,557739.9,170758.1,610947.85,357000,341000,212000,558000,171000,611000,"AL"
2,"Turkey Vulture",3250,28,21,264893.13,257814,0.279220994373222,181163.3,371893.7,152225.05,432573.1,265000,258000,181000,372000,152000,433000,"AL"
2,"American Robin",7610,27,57,299953.95,286109,0.496412396966117,105954.1,499286.3,75990.875,610739.125,3e+05,286000,106000,499000,76000,611000,"AL"
2,"Scarlet Tanager",6080,28,21,428169.92,427870.5,0.332520810944607,289666.1,620620.9,176190.025,728104.6,428000,428000,290000,621000,176000,728000,"AL"
2,"Red-winged Blackbird",4980,28,21,478705.58,480555,0.217477231393847,341506.6,606997.2,298088.325,719529.175,479000,481000,342000,607000,298000,720000,"AL"
2,"Red-winged Blackbird",4980,27,57,519758.36,512570.5,0.187834524111337,403368.4,646801.8,368449.7,713928.2,520000,513000,403000,647000,368000,714000,"AL"
2,"Brown-headed Cowbird",4950,29,5,143259.58,146480,0.193483080783513,107771.7,176851.8,83538.85,193919.875,143000,146000,108000,177000,83500,194000,"AL"
2,"Northern Rough-winged Swallow",6170,29,5,118672.7,99580.5,0.613570105270981,56645.4,235622.6,40994.175,300685.625,119000,99600,56600,236000,41000,301000,"AL"
2,"White-eyed Vireo",6310,29,5,687525.76,674549.5,0.210218927842766,500443.1,905422.2,478851.675,970170.9,688000,675000,5e+05,905000,479000,970000,"AL"
2,"Eastern Wood-Pewee",4610,27,57,567483.58,567509.5,0.13982860517407,461804.3,668540.7,426348.8,741385.9,567000,568000,462000,669000,426000,741000,"AL"
2,"White-breasted Nuthatch",7270,29,5,27053.55,26785.5,0.341517781204789,16182.1,38400.4,10826.8,44790.825,27100,26800,16200,38400,10800,44800,"AL"
2,"Mourning Dove",3160,24,6,715170.17,699804,0.118066922688145,621668.3,836543.9,580895.325,884819.525,715000,7e+05,622000,837000,581000,885000,"AL"
2,"Red-tailed Hawk",3370,24,6,8118.25,8212.5,0.194836939625323,6112,10061.1,5473.7,11183.85,8120,8210,6110,10100,5470,11200,"AL"
2,"Downy Woodpecker",3940,28,21,1025841.58,1016812.5,0.140788580012345,856370.6,1208798.8,766901.925,1326767.525,1030000,1020000,856000,1210000,767000,1330000,"AL"
2,"White-breasted Nuthatch",7270,28,21,526077.37,508134.5,0.278266637656307,346797.3,719860.9,282350.225,843442.525,526000,508000,347000,720000,282000,843000,"AL"
2,"Kentucky Warbler",6770,29,5,91748.23,90743,0.253392142508822,65043.7,121493.6,40365.75,128677.85,91700,90700,65000,121000,40400,129000,"AL"
2,"Northern Parula",6480,28,21,601749.73,575818,0.346031056041471,375049.4,864906.4,300264.925,1073268.725,602000,576000,375000,865000,3e+05,1070000,"AL"
2,"Brown Thrasher",7050,27,57,1055562.18,1065190.5,0.1343669431508,888339.3,1248324.7,778136.3,1359569.675,1060000,1070000,888000,1250000,778000,1360000,"AL"
2,"Belted Kingfisher",3900,29,5,5293.43,5181.5,0.404851938305189,2747.9,7986.9,1660.1,9321.12499999999,5290,5180,2750,7990,1660,9320,"AL"
2,"Red-bellied Woodpecker",4090,28,21,1354939.38,1357970.5,0.0999424366001204,1192342.2,1513644.7,1109601.75,1645507,1350000,1360000,1190000,1510000,1110000,1650000,"AL"
2,"Eastern Whip-poor-will",4171,28,21,32186.79,28173.5,0.701777126289264,8341.7,59797.8,4351.35,91266.9499999999,32200,28200,8340,59800,4350,91300,"AL"
2,"House Sparrow",6882,24,6,52683.85,52083,0.283048780927919,33336.2,72516.7,29502.475,76759.95,52700,52100,33300,72500,29500,76800,"AL"
2,"Common Yellowthroat",6810,29,5,71011.34,71955.5,0.214388237547401,49689.7,88681.7,44633.675,99117.025,71000,72000,49700,88700,44600,99100,"AL"
2,"House Sparrow",6882,28,21,336872.3,318851,0.359505939936387,204962.8,515233.8,135526.6,574809.95,337000,319000,205000,515000,136000,575000,"AL"
2,"Great Horned Owl",3750,28,21,3938.09,3487,0.59182435726099,1555,6741.9,429.475,10161.175,3940,3490,1560,6740,429,10200,"AL"
2,"Red-tailed Hawk",3370,29,5,2274.89,2299.5,0.272474775966445,1423.5,3008.6,1133.475,3390.425,2270,2300,1420,3010,1130,3390,"AL"
2,"Red-headed Woodpecker",4060,28,21,105537.27,104613,0.237511202167085,77014.5,131870.8,58519.125,153410.35,106000,105000,77000,132000,58500,153000,"AL"
2,"American Goldfinch",5290,29,5,36627.56,34805,0.367797986722401,22263.9,54968.8,14671.125,66689.8,36600,34800,22300,55000,14700,66700,"AL"
2,"American Robin",7610,29,5,65786.74,64348.5,0.322074263537943,38527.4,92554.5,30247.825,110781.5,65800,64300,38500,92600,30200,111000,"AL"
