cn,TimeAdj.meanlog,TimeAdj.sdlog,Dist2,Pair2,Aou,Dist.Lower,Dist.Upper,Species,edr,edr_sd,EDR_model,use_edr,availability,availability_sd,availability_model,use_availability,availability_log_scaled,availability_sd_log_scaled
Bald Eagle,0.531446599,0.005017049,300,1.25,3520,220,330,BAEA,155.156629030088,12.783685995704374,Roadside,TRUE,0.35218851692227526,0.032627456189606385,4,TRUE,1.0435886873065308,0.09290842956700374
Baltimore Oriole,0.141448158,0.008339067,125,1.75,5070,105,138,BAOR,87.22893173978561,0.6714850333927131,Roadside,TRUE,0.36560467452174694,0.010556329111742313,2,TRUE,1.006202653592888,0.02888164421706213
Band-tailed Pigeon,0.445606274,0.021296333,200,1.75,3120,140,220,BTPI,108.56669320725304,1.3328797311675444,Intercept,TRUE,0.198802369415777,0.0406082916643245,2,TRUE,1.6154440662402618,0.20717885259862112
Bank Swallow,0.642518351,0.054160354,200,1,6160,140,220,BANS,126.27933157692652,0.8218078484120426,Roadside,TRUE,0.6106053230829935,0.01677321340320964,9,TRUE,0.4933044809286723,0.027476724571010136
Barn Owl,1.639980926,0.005870793,200,2,3650,140,220,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA
Barn Swallow,0.288208703,0.028063207,200,1.5,6130,140,220,BARS,87.11248739430235,0.2845645582032006,Intercept,TRUE,0.4241434880485373,0.008714800726776106,7,TRUE,0.857683465790876,0.02054971410482226
Barred Owl,2.246063781,0.003138642,200,2,3680,140,220,BADO,117.4802928968079,3.1086344862498123,Intercept,TRUE,0.29265213087588116,0.03236000682826201,8,TRUE,1.2287706419596742,0.11102898704197772
Bay-breasted Warbler,0.153659869,0.007650575,80,2,6600,56,88,BBWA,58.87440121422111,2.8831916037585685,Roadside,TRUE,0.569974529992671,0.011685658185545234,4,TRUE,0.5621636033752951,0.020504944133968084
Bell's Sparrow,0.356608677,0.06387064,200,2,5739,140,220,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA
Bell's Vireo,0.180378292,0.007557468,125,2,6330,105,138,BEVI,102.68344498262016,2.554691140638006,Intercept,TRUE,0.6993855043705838,0.01920710652954971,1,TRUE,0.3575531803746446,0.027469739232571705
Belted Kingfisher,0.290382383,0.001070783,200,2,3900,140,220,BEKI,92.3535128462774,2.056105863579482,Roadside,TRUE,0.323318098483097,0.025565618769409326,7,TRUE,1.1291186153564248,0.07923807096014246
