cn,aou,TimeAdj.meanlog,Dist2,Pair2,order,family,genus,family_TimeAdj.meanlog,family_Dist2,family_Pair2,genus_TimeAdj.meanlog,genus_Dist2,genus_Pair2,order_TimeAdj.meanlog,order_Dist2,order_Pair2,Pair2_final,Dist2_final,TimeAdj.meanlog_final,C_t,C_d,C_p,PIF_adj_birds_km2
Mexican Whip-poor-will,4172,3.611336298,300,2,Caprimulgiformes,Caprimulgidae,Antrostomus,2.9320942861666666,300,2,3.3184493656666665,300,2,2.9320942861666666,300,2,2,300,3.611336298,37.015483496972024,0.07073559001086145,2,5.2366241293912426
Montezuma Quail,2960,0.464854806,200,1.25,Galliformes,Odontophoridae,Cyrtonyx,0.4798636745,216.66666666666666,1.6666666666666667,0.464854806,200,1.25,0.4669907040454545,205.6818181818182,1.8295454545454546,1.25,200,0.464854806,1.5917830547590102,0.15915507752443822,1.25,0.3166754443528217
Northern Beardless-Tyrannulet,4720,0.309093639,125,2,Passeriformes,Tyrannidae,Camptostoma,0.3035152834285714,167.85714285714286,1.9285714285714286,0.309093639,125,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,125,0.309093639,1.36218991863338,0.407436998462562,2,1.1100131435678917
Northern Bobwhite,2890,0.471034551,200,1.75,Galliformes,Odontophoridae,Colinus,0.4798636745,216.66666666666666,1.6666666666666667,0.471034551,200,1.75,0.4669907040454545,205.6818181818182,1.8295454545454546,1.75,200,0.471034551,1.6016503253388061,0.15915507752443822,1.75,0.44609386796859396
Northern Hawk Owl,3770,0.236760813,200,2,Strigiformes,Strigidae,Surnia,1.5650317498,181.66666666666666,1.9666666666666666,0.236760813,200,2,1.5697160733125,182.8125,1.96875,2,200,0.236760813,1.2671379985891758,0.15915507752443822,2,0.4033428927992435
Northern Saw-whet Owl,3720,2.47047366,200,2,Strigiformes,Strigidae,Aegolius,1.5650317498,181.66666666666666,1.9666666666666666,1.637745097,200,2,1.5697160733125,182.8125,1.96875,2,200,2.47047366,11.82804799823694,0.15915507752443822,2,3.764987792244353
Northern Shrike,6210,0.257533707,200,1.75,Passeriformes,Laniidae,Lanius,0.257524551,162.5,1.5,0.257524551,162.5,1.5,0.31361236473835125,159.56989247311827,1.793010752688172,1.75,200,0.257533707,1.2937354181851186,0.15915507752443822,1.75,0.3603329813603871
Northern Wheatear,7650,0.336241881,200,2,Passeriformes,Muscicapidae,Oenanthe,0.336241881,200,1.75,0.336241881,200,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,200,0.336241881,1.3996775392720484,0.15915507752443822,2,0.44553157454411557
Olive Warbler,6510,0.336241881,125,2,Passeriformes,Peucedramidae,Peucedramus,0.336241881,125,2,0.336241881,125,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,125,0.336241881,1.3996775392720484,0.407436998462562,2,1.1405608308329362
Painted Redstart,6880,0.180954997,125,2,Passeriformes,Parulidae,Myioborus,0.18184772991489362,125.42553191489361,2,0.180954997,125,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,125,0.180954997,1.198361248228425,0.407436998462562,2,0.9765134201040773
Peregrine Falcon,3560,0.242902263,300,1.25,Falconiformes,Falconidae,Falco,0.2573103881666667,254.16666666666666,1.5,0.2560723988,245,1.6,0.2573103881666667,254.16666666666666,1.5,1.25,300,0.242902263,1.2749440088262056,0.07073559001086145,1.25,0.11272989586891825
Plain Chachalaca,3110,0.498371083,300,2,Galliformes,Cracidae,Ortalis,0.498371083,300,2,0.498371083,300,2,0.4669907040454545,205.6818181818182,1.8295454545454546,2,300,0.498371083,1.6460378267411124,0.07073559001086145,2,0.23286691370945745
