cn,TimeAdj.meanlog,TimeAdj.sdlog,Dist2,Pair2,Aou,Dist.Lower,Dist.Upper,Species,edr,edr_sd,EDR_model,use_edr,cue_rate,cue_rate_sd,use_cue_rate
Black-tailed Gnatcatcher,0.507418109,0.013481356,80,1.75,7520,56,88,BTGN,46.884609609496366,1.3210499336422714,7,TRUE,0.6352420833798895,0.13210858226928057,TRUE
Black-throated Blue Warbler,0.123733234,0.007484617,125,2,6540,105,138,BTBW,66.1399070023308,0.7436462039870122,9,TRUE,0.24395638678786014,0.00788809757234299,TRUE
Black-throated Gray Warbler,0.234857209,0.011166783,125,2,6650,105,138,BTYW,61.15902117805972,0.657736250393917,3,TRUE,0.39106750511746285,0.006571448524663015,TRUE
Black-throated Green Warbler,0.123030348,0.008231303,125,2,6670,105,138,BTNW,79.64656355923171,0.6730505539283342,9,TRUE,0.285128699353093,0.004238158810168091,TRUE
Black-throated Sparrow,0.536376292,0.030266055,125,2,5730,105,138,BTSP,93.59055361745216,0.5404323245647618,5,TRUE,0.3844519327613987,0.009207210510584984,TRUE
Black-whiskered Vireo,0.252790135,0.052592429,125,2,6230,105,138,BWVI,NA,NA,4,FALSE,0.21430732445709094,0.016127431251196034,TRUE
Blue Grosbeak,0.425252098,0.010625576,125,2,5970,105,138,BLGR,70.46716525374713,1.566392350722566,6,TRUE,0.27920913841355377,0.009309096491570412,TRUE
Blue Jay,0.196211491,0.011653135,200,1.25,4770,140,220,BLJA,105.05377655110922,0.5183783308144712,7,TRUE,0.16642542965970347,0.0021107005629772135,TRUE
Blue-gray Gnatcatcher,0.507549726,0.013481573,50,1.75,7510,26,55,BGGN,35.843074209050094,0.23577149108428586,9,TRUE,0.2839052168391115,0.004221581160954169,TRUE
Blue-headed Vireo,0.191732584,0.009143537,125,2,6290,105,138,BHVI,57.39568863175937,0.7324274123900096,7,TRUE,0.22960715848347688,0.004804248272506528,TRUE
Bluethroat,0.336241881,0.212251379,200,1.5,7640,140,220,NA,NA,NA,NA,FALSE,NA,NA,FALSE
Blue-throated Hummingbird,0.282947489,0.030666539,50,1.5,4270,26,55,NA,NA,NA,NA,FALSE,NA,NA,FALSE
Blue-winged Warbler,0.245414125,0.00681225,125,2,6410,105,138,BWWA,51.810188951278796,1.821231220428274,1,TRUE,0.21690493139384065,0.009931857946665068,TRUE
Boat-tailed Grackle,0.627797265,0.044839671,200,1.25,5130,140,220,BTGR,48.16262826809515,1.4908788209589403,8,TRUE,0.09163711985118181,0.02140992757959853,TRUE
Bobolink,0.240408992,0.018723365,200,1.75,4940,140,220,BOBO,109.92444312348668,0.620746764817099,9,TRUE,0.2700366270042585,0.005782252253894282,TRUE
