cn,pGL_UsCa,pWH_UsCa,pGL_WH
Sage Thrasher,1,1,1
Sagebrush Sparrow,1,1,1
Saltmarsh Sparrow,1,1,1
Scarlet Tanager,1,1,1
Seaside Sparrow,1,1,1
Sharp-tailed Grouse,1,1,1
Smith's Longspur,1,1,1
Sooty Grouse,1,1,1
Sprague's Pipit,1,1,1
Spruce Grouse,1,1,1
Swainson's Thrush,1,1,1
Swainson's Warbler,1,1,1
Swamp Sparrow,1,1,1
Tennessee Warbler,1,1,1
Townsend's Warbler,1,1,1
Tree Swallow,1,1,1
Tufted Titmouse,1,1,1
Varied Thrush,1,1,1
Veery,1,1,1
Vesper Sparrow,1,1,1
Virginia's Warbler,1,1,1
White-crowned Sparrow,1,1,1
White-headed Woodpecker,1,1,1
White-tailed Ptarmigan,1,1,1
White-throated Sparrow,1,1,1
Williamson's Sapsucker,1,1,1
Willow Flycatcher,1,1,1
Wilson's Warbler,1,1,1
Winter Wren,1,1,1
Wood Thrush,1,1,1
Worm-eating Warbler,1,1,1
Yellow-bellied Flycatcher,1,1,1
Yellow-bellied Sapsucker,1,1,1
Yellow-billed Magpie,1,1,1
Yellow-rumped Warbler,1,1,1
Yellow-throated Vireo,1,1,1
